year,nuts_id,nuts_year_spec,fte_research_students
2015,UKC1,2013,1355.0
2016,UKC1,2013,1335.0
2017,UKC1,2013,1360.0
2018,UKC1,2016,1365.0
2015,UKC2,2013,2335.0
2016,UKC2,2013,2390.0
2017,UKC2,2013,2390.0
2018,UKC2,2016,2370.0
2015,UKD1,2013,50.0
2016,UKD1,2013,45.0
2017,UKD1,2013,45.0
2018,UKD1,2016,30.0
2015,UKD3,2013,4205.0
2016,UKD3,2013,4300.0
2017,UKD3,2013,4385.0
2018,UKD3,2016,4390.0
2015,UKD4,2013,1730.0
2016,UKD4,2013,1680.0
2017,UKD4,2013,1730.0
2018,UKD4,2016,1645.0
2015,UKD6,2013,210.0
2016,UKD6,2013,230.0
2017,UKD6,2013,215.0
2018,UKD6,2016,225.0
2015,UKD7,2013,1980.0
2016,UKD7,2013,2090.0
2017,UKD7,2013,2100.0
2018,UKD7,2016,2100.0
2015,UKE1,2013,690.0
2016,UKE1,2013,640.0
2017,UKE1,2013,520.0
2018,UKE1,2016,490.0
2015,UKE2,2013,1245.0
2016,UKE2,2013,1240.0
2017,UKE2,2013,1240.0
2018,UKE2,2016,1250.0
2015,UKE3,2013,2600.0
2016,UKE3,2013,2515.0
2017,UKE3,2013,2445.0
2018,UKE3,2016,2490.0
2015,UKE4,2013,3565.0
2016,UKE4,2013,3515.0
2017,UKE4,2013,3545.0
2018,UKE4,2016,3575.0
2015,UKF1,2013,3215.0
2016,UKF1,2013,3200.0
2017,UKF1,2013,3230.0
2018,UKF1,2016,3155.0
2015,UKF2,2013,2560.0
2016,UKF2,2013,2370.0
2017,UKF2,2013,2230.0
2018,UKF2,2016,2325.0
2015,UKF3,2013,355.0
2016,UKF3,2013,330.0
2017,UKF3,2013,350.0
2018,UKF3,2016,360.0
2015,UKG1,2013,75.0
2016,UKG1,2013,80.0
2017,UKG1,2013,75.0
2018,UKG1,2016,90.0
2015,UKG2,2013,510.0
2016,UKG2,2013,510.0
2017,UKG2,2013,465.0
2018,UKG2,2016,455.0
2015,UKG3,2013,4775.0
2016,UKG3,2013,4765.0
2017,UKG3,2013,4880.0
2018,UKG3,2016,2735.0
2015,UKH1,2013,5550.0
2016,UKH1,2013,5470.0
2017,UKH1,2013,5395.0
2018,UKH1,2016,5110.0
2015,UKH2,2013,1305.0
2016,UKH2,2013,1280.0
2017,UKH2,2013,1270.0
2018,UKH2,2016,1200.0
2015,UKH3,2013,985.0
2016,UKH3,2013,880.0
2017,UKH3,2013,905.0
2018,UKH3,2016,865.0
2015,UKI3,2013,12965.0
2016,UKI3,2013,12860.0
2017,UKI3,2013,12820.0
2018,UKI3,2016,12980.0
2015,UKI4,2013,2270.0
2016,UKI4,2013,2250.0
2017,UKI4,2013,2175.0
2018,UKI4,2016,2220.0
2015,UKI5,2013,350.0
2016,UKI5,2013,330.0
2017,UKI5,2013,295.0
2018,UKI5,2016,300.0
2015,UKI6,2013,320.0
2016,UKI6,2013,335.0
2017,UKI6,2013,300.0
2018,UKI6,2016,295.0
2015,UKI7,2013,1005.0
2016,UKI7,2013,870.0
2017,UKI7,2013,800.0
2018,UKI7,2016,875.0
2015,UKJ1,2013,6210.0
2016,UKJ1,2013,6150.0
2017,UKJ1,2013,5525.0
2018,UKJ1,2016,5680.0
2015,UKJ2,2013,2725.0
2016,UKJ2,2013,2580.0
2017,UKJ2,2013,2435.0
2018,UKJ2,2016,2475.0
2015,UKJ3,2013,2890.0
2016,UKJ3,2013,2795.0
2017,UKJ3,2013,2610.0
2018,UKJ3,2016,2530.0
2015,UKJ4,2013,1325.0
2016,UKJ4,2013,1365.0
2017,UKJ4,2013,1350.0
2018,UKJ4,2016,1365.0
2015,UKK1,2013,3115.0
2016,UKK1,2013,3225.0
2017,UKK1,2013,3325.0
2018,UKK1,2016,3250.0
2015,UKK2,2013,390.0
2016,UKK2,2013,420.0
2017,UKK2,2013,375.0
2018,UKK2,2016,360.0
2015,UKK3,2013,20.0
2016,UKK3,2013,15.0
2017,UKK3,2013,20.0
2018,UKK3,2016,25.0
2015,UKK4,2013,1645.0
2016,UKK4,2013,1625.0
2017,UKK4,2013,1680.0
2018,UKK4,2016,1690.0
2015,UKL1,2013,1625.0
2016,UKL1,2013,1705.0
2017,UKL1,2013,1705.0
2018,UKL1,2016,1785.0
2015,UKL2,2013,1605.0
2016,UKL2,2013,1635.0
2017,UKL2,2013,1655.0
2018,UKL2,2016,1705.0
2015,UKM2,2013,5515.0
2016,UKM2,2013,5455.0
2017,UKM2,2013,5455.0
2015,UKM3,2013,4025.0
2016,UKM3,2013,4120.0
2017,UKM3,2013,4220.0
2015,UKM5,2013,1030.0
2016,UKM5,2013,1015.0
2017,UKM5,2013,1005.0
2018,UKM5,2016,975.0
2015,UKM6,2013,50.0
2016,UKM6,2013,70.0
2017,UKM6,2013,105.0
2018,UKM6,2016,120.0
2018,UKM7,2016,5390.0
2018,UKM8,2016,4335.0
2015,UKN0,2013,1765.0
2016,UKN0,2013,1770.0
2017,UKN0,2013,1820.0
2018,UKN0,2016,1810.0
