year,nuts_id,nuts_year_spec,total_trademarks_scientific
2010.0,UKH2,2016,90
2011.0,UKH2,2016,92
2012.0,UKH2,2016,132
2013.0,UKH2,2016,164
2014.0,UKH2,2016,160
2015.0,UKH2,2016,152
2016.0,UKH2,2016,182
2017.0,UKH2,2016,182
2010.0,UKJ1,2016,225
2011.0,UKJ1,2016,198
2012.0,UKJ1,2016,204
2013.0,UKJ1,2016,242
2014.0,UKJ1,2016,282
2015.0,UKJ1,2016,269
2016.0,UKJ1,2016,341
2017.0,UKJ1,2016,365
2010.0,UKD6,2016,36
2011.0,UKD6,2016,37
2012.0,UKD6,2016,58
2013.0,UKD6,2016,53
2014.0,UKD6,2016,57
2015.0,UKD6,2016,52
2016.0,UKD6,2016,80
2017.0,UKD6,2016,73
2010.0,UKK3,2016,19
2011.0,UKK3,2016,23
2012.0,UKK3,2016,11
2013.0,UKK3,2016,24
2014.0,UKK3,2016,26
2015.0,UKK3,2016,33
2016.0,UKK3,2016,37
2017.0,UKK3,2016,24
2010.0,UKD1,2016,7
2011.0,UKD1,2016,21
2012.0,UKD1,2016,12
2013.0,UKD1,2016,4
2014.0,UKD1,2016,8
2015.0,UKD1,2016,22
2016.0,UKD1,2016,20
2017.0,UKD1,2016,16
2010.0,UKF1,2016,41
2011.0,UKF1,2016,45
2012.0,UKF1,2016,60
2013.0,UKF1,2016,92
2014.0,UKF1,2016,81
2015.0,UKF1,2016,92
2016.0,UKF1,2016,128
2017.0,UKF1,2016,98
2010.0,UKK4,2016,32
2011.0,UKK4,2016,29
2012.0,UKK4,2016,53
2013.0,UKK4,2016,53
2014.0,UKK4,2016,62
2015.0,UKK4,2016,57
2016.0,UKK4,2016,79
2017.0,UKK4,2016,73
2010.0,UKK2,2016,39
2011.0,UKK2,2016,59
2012.0,UKK2,2016,52
2013.0,UKK2,2016,69
2014.0,UKK2,2016,62
2015.0,UKK2,2016,66
2016.0,UKK2,2016,94
2017.0,UKK2,2016,78
2010.0,UKH1,2016,118
2011.0,UKH1,2016,128
2012.0,UKH1,2016,146
2013.0,UKH1,2016,125
2014.0,UKH1,2016,148
2015.0,UKH1,2016,192
2016.0,UKH1,2016,211
2017.0,UKH1,2016,203
2010.0,UKL2,2016,42
2011.0,UKL2,2016,53
2012.0,UKL2,2016,58
2013.0,UKL2,2016,71
2014.0,UKL2,2016,71
2015.0,UKL2,2016,59
2016.0,UKL2,2016,74
2017.0,UKL2,2016,83
2010.0,UKE1,2016,18
2011.0,UKE1,2016,17
2012.0,UKE1,2016,15
2013.0,UKE1,2016,23
2014.0,UKE1,2016,29
2015.0,UKE1,2016,39
2016.0,UKE1,2016,38
2017.0,UKE1,2016,44
2010.0,UKM7,2016,82
2011.0,UKM7,2016,78
2012.0,UKM7,2016,107
2013.0,UKM7,2016,81
2014.0,UKM7,2016,98
2015.0,UKM7,2016,89
2016.0,UKM7,2016,136
2017.0,UKM7,2016,145
2010.0,UKH3,2016,55
2011.0,UKH3,2016,49
2012.0,UKH3,2016,63
2013.0,UKH3,2016,44
2014.0,UKH3,2016,84
2015.0,UKH3,2016,77
2016.0,UKH3,2016,85
2017.0,UKH3,2016,108
2010.0,UKK1,2016,153
2011.0,UKK1,2016,167
2012.0,UKK1,2016,182
2013.0,UKK1,2016,194
2014.0,UKK1,2016,191
2015.0,UKK1,2016,198
2016.0,UKK1,2016,242
2017.0,UKK1,2016,192
2010.0,UKD3,2016,82
2011.0,UKD3,2016,114
2012.0,UKD3,2016,111
2013.0,UKD3,2016,146
2014.0,UKD3,2016,167
2015.0,UKD3,2016,173
2016.0,UKD3,2016,220
2017.0,UKD3,2016,214
2010.0,UKJ3,2016,75
2011.0,UKJ3,2016,88
2012.0,UKJ3,2016,123
2013.0,UKJ3,2016,126
2014.0,UKJ3,2016,141
2015.0,UKJ3,2016,208
2016.0,UKJ3,2016,182
2017.0,UKJ3,2016,178
2010.0,UKG1,2016,54
2011.0,UKG1,2016,58
2012.0,UKG1,2016,83
2013.0,UKG1,2016,79
2014.0,UKG1,2016,92
2015.0,UKG1,2016,94
2016.0,UKG1,2016,127
2017.0,UKG1,2016,103
2010.0,UKM6,2016,6
2011.0,UKM6,2016,17
2012.0,UKM6,2016,14
2013.0,UKM6,2016,20
2014.0,UKM6,2016,10
2015.0,UKM6,2016,17
2016.0,UKM6,2016,20
2017.0,UKM6,2016,7
2010.0,UKI4,2016,234
2011.0,UKI4,2016,253
2012.0,UKI4,2016,348
