NUTS_CODE,NUTS_BN_CODE
EL,102
EL4,102
EL43,102
EL432,102
EL,108
EL4,108
EL43,108
EL434,108
EL,112
EL4,112
EL43,112
EL433,112
TR,187
TR6,187
TR62,187
TR622,187
TR,260
TR6,260
TR61,260
TR611,260
ES,298
ES6,298
ES61,298
ES615,298
TR,312
TRC,312
TRC1,312
TRC11,312
TR,315
TR6,315
TR61,315
TR611,315
TR,331
TR6,331
TR63,331
TR633,331
TR,335
TR6,335
TR61,335
TR613,335
ES,336
ES6,336
ES61,336
ES617,336
TR,337
TR6,337
TR61,337
TR613,337
TR,343
TR6,343
TR63,343
TR631,343
TR,346
TR6,346
TR63,346
TR633,346
TR,352
TRC,352
TRC1,352
TRC13,352
ES,353
ES6,353
ES61,353
ES618,353
ES,354
ES6,354
ES61,354
ES618,354
IT,355
ITG,355
ITG1,355
ITG18,355
TR,364
TR6,364
TR62,364
TR622,364
IT,367
ITG,367
ITG1,367
ITG19,367
IT,373
ITG,373
ITG1,373
ITG19,373
IT,376
ITG,376
ITG1,376
ITG18,376
ES,385
ES6,385
ES61,385
ES617,385
TR,394
TRC,394
TRC1,394
TRC11,394
ES,400
ES6,400
ES61,400
ES618,400
ES,409
ES6,409
ES61,409
ES617,409
ES,410
ES6,410
ES61,410
ES617,410
IT,416
ITG,416
ITG1,416
ITG17,416
TR,420
TR6,420
TR62,420
TR622,420
TR,428
TR6,428
TR61,428
TR613,428
IT,440
ITG,440
ITG1,440
ITG19,440
TR,448
TR6,448
TR61,448
TR611,448
ES,449
ES6,449
ES61,449
ES614,449
TR,450
TR6,450
TR62,450
TR622,450
TR,452
TR6,452
TR61,452
TR612,452
TR,453
TR7,453
TR71,453
TR713,453
IT,457
ITG,457
ITG1,457
ITG19,457
PT,468
PT1,468
PT18,468
PT181,468
TR,471
TRC,471
TRC2,471
TRC21,471
TR,473
TR3,473
TR32,473
TR323,473
EL,475
EL6,475
EL65,475
EL653,475
EL,478
EL6,478
EL65,478
EL653,478
EL,479
EL6,479
EL65,479
EL653,479
TR,485
TRC,485
TRC1,485
TRC11,485
TR,492
TR3,492
TR32,492
TR323,492
PT,494
PT1,494
PT15,494
PT150,494
PT,496
PT1,496
PT18,496
PT184,496
PT,497
PT1,497
PT18,497
PT184,497
TR,498
AL,498
AL,498
AL,498
AL,498
AL,498
AL,498
AL,498
