,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
0,2015,nuts 2013 level 2,Tees Valley and Durham,UKC1,0161,30,manufacture_food
1,2015,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0161,50,manufacture_food
2,2015,nuts 2013 level 2,Cumbria,UKD1,0161,250,manufacture_food
3,2015,nuts 2013 level 2,Greater Manchester,UKD3,0161,300,manufacture_food
4,2015,nuts 2013 level 2,Lancashire,UKD4,0161,450,manufacture_food
5,2015,nuts 2013 level 2,Cheshire,UKD6,0161,225,manufacture_food
6,2015,nuts 2013 level 2,Merseyside,UKD7,0161,125,manufacture_food
7,2015,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0161,50,manufacture_food
8,2015,nuts 2013 level 2,North Yorkshire,UKE2,0161,125,manufacture_food
9,2015,nuts 2013 level 2,South Yorkshire,UKE3,0161,30,manufacture_food
10,2015,nuts 2013 level 2,West Yorkshire,UKE4,0161,75,manufacture_food
11,2015,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0161,450,manufacture_food
12,2015,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0161,400,manufacture_food
13,2015,nuts 2013 level 2,Lincolnshire,UKF3,0161,700,manufacture_food
14,2015,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0161,600,manufacture_food
15,2015,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0161,600,manufacture_food
16,2015,nuts 2013 level 2,West Midlands,UKG3,0161,125,manufacture_food
17,2015,nuts 2013 level 2,East Anglia,UKH1,0161,800,manufacture_food
18,2015,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0161,225,manufacture_food
19,2015,nuts 2013 level 2,Essex,UKH3,0161,175,manufacture_food
20,2015,nuts 2013 level 2,Inner London - West,UKI3,0161,50,manufacture_food
21,2015,nuts 2013 level 2,Inner London - East,UKI4,0161,40,manufacture_food
22,2015,nuts 2013 level 2,Outer London - East and North East,UKI5,0161,50,manufacture_food
23,2015,nuts 2013 level 2,Outer London - South,UKI6,0161,50,manufacture_food
24,2015,nuts 2013 level 2,Outer London - West and North West,UKI7,0161,100,manufacture_food
25,2015,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0161,500,manufacture_food
26,2015,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0161,800,manufacture_food
27,2015,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0161,350,manufacture_food
28,2015,nuts 2013 level 2,Kent,UKJ4,0161,1000,manufacture_food
29,2015,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0161,800,manufacture_food
30,2015,nuts 2013 level 2,Dorset and Somerset,UKK2,0161,600,manufacture_food
31,2015,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0161,350,manufacture_food
32,2015,nuts 2013 level 2,Devon,UKK4,0161,400,manufacture_food
33,2015,nuts 2013 level 2,West Wales and The Valleys,UKL1,0161,500,manufacture_food
34,2015,nuts 2013 level 2,East Wales,UKL2,0161,300,manufacture_food
35,2015,nuts 2013 level 2,Eastern Scotland,UKM2,0161,500,manufacture_food
36,2015,nuts 2013 level 2,South Western Scotland,UKM3,0161,350,manufacture_food
37,2015,nuts 2013 level 2,North Eastern Scotland,UKM5,0161,200,manufacture_food
38,2015,nuts 2013 level 2,Highlands and Islands,UKM6,0161,125,manufacture_food
39,2015,nuts 2013 level 2,Tees Valley and Durham,UKC1,0162,75,manufacture_food
40,2015,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0162,50,manufacture_food
41,2015,nuts 2013 level 2,Cumbria,UKD1,0162,300,manufacture_food
42,2015,nuts 2013 level 2,Greater Manchester,UKD3,0162,225,manufacture_food
43,2015,nuts 2013 level 2,Lancashire,UKD4,0162,500,manufacture_food
44,2015,nuts 2013 level 2,Cheshire,UKD6,0162,900,manufacture_food
45,2015,nuts 2013 level 2,Merseyside,UKD7,0162,175,manufacture_food
46,2015,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0162,50,manufacture_food
47,2015,nuts 2013 level 2,North Yorkshire,UKE2,0162,225,manufacture_food
48,2015,nuts 2013 level 2,South Yorkshire,UKE3,0162,125,manufacture_food
49,2015,nuts 2013 level 2,West Yorkshire,UKE4,0162,50,manufacture_food
50,2015,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0162,225,manufacture_food
51,2015,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0162,300,manufacture_food
52,2015,nuts 2013 level 2,Lincolnshire,UKF3,0162,175,manufacture_food
53,2015,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0162,500,manufacture_food
54,2015,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0162,500,manufacture_food
55,2015,nuts 2013 level 2,West Midlands,UKG3,0162,100,manufacture_food
56,2015,nuts 2013 level 2,East Anglia,UKH1,0162,700,manufacture_food
57,2015,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0162,100,manufacture_food
58,2015,nuts 2013 level 2,Essex,UKH3,0162,175,manufacture_food
59,2015,nuts 2013 level 2,Inner London - West,UKI3,0162,10,manufacture_food
60,2015,nuts 2013 level 2,Inner London - East,UKI4,0162,20,manufacture_food
61,2015,nuts 2013 level 2,Outer London - East and North East,UKI5,0162,75,manufacture_food
62,2015,nuts 2013 level 2,Outer London - South,UKI6,0162,100,manufacture_food
63,2015,nuts 2013 level 2,Outer London - West and North West,UKI7,0162,30,manufacture_food
64,2015,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0162,600,manufacture_food
65,2015,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0162,800,manufacture_food
66,2015,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0162,500,manufacture_food
67,2015,nuts 2013 level 2,Kent,UKJ4,0162,400,manufacture_food
68,2015,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0162,1000,manufacture_food
69,2015,nuts 2013 level 2,Dorset and Somerset,UKK2,0162,500,manufacture_food
70,2015,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0162,175,manufacture_food
71,2015,nuts 2013 level 2,Devon,UKK4,0162,400,manufacture_food
72,2015,nuts 2013 level 2,West Wales and The Valleys,UKL1,0162,350,manufacture_food
73,2015,nuts 2013 level 2,East Wales,UKL2,0162,175,manufacture_food
74,2015,nuts 2013 level 2,Eastern Scotland,UKM2,0162,175,manufacture_food
75,2015,nuts 2013 level 2,South Western Scotland,UKM3,0162,175,manufacture_food
76,2015,nuts 2013 level 2,North Eastern Scotland,UKM5,0162,35,manufacture_food
77,2015,nuts 2013 level 2,Highlands and Islands,UKM6,0162,50,manufacture_food
78,2015,nuts 2013 level 2,Tees Valley and Durham,UKC1,0163,0,manufacture_food
79,2015,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0163,0,manufacture_food
80,2015,nuts 2013 level 2,Cumbria,UKD1,0163,0,manufacture_food
