cluster,weighted_median_salary,ashe_median_salary_rank
construction_construction,29047.11773497602,7.0
construction_infrastructure,24507.72037005299,5.0
manufacture_aerospace,38885.13137962982,9.0
manufacture_armaments,36166.25,9.0
manufacture_automotive,33185.40257812628,8.0
manufacture_casting,14890.141031239162,1.0
manufacture_chemical,29529.909849907974,7.0
manufacture_electrical,24704.329860951017,5.0
manufacture_electronics,27963.020673337545,7.0
manufacture_food,19082.802808406035,2.0
manufacture_footwear_leather,10061.599568181691,0.0
manufacture_furniture,19407.556238766745,2.0
manufacture_instruments,22606.417389874074,3.0
manufacture_light,,
manufacture_machinery_tools,26561.946611989417,6.0
manufacture_materials,16160.182897012215,1.0
manufacture_metal_equipment,27912.46491923181,7.0
manufacture_oils,27119.957713815813,6.0
manufacture_paper,29693.060223570992,8.0
manufacture_pesticides,10642.034129993826,0.0
manufacture_pharmaceuticals,31718.19215010201,8.0
manufacture_plastics,23963.98384328097,4.0
manufacture_rubber,25538.312495708356,5.0
manufacture_ships,29687.078779243253,8.0
manufacture_steel_metal,20565.043894998984,3.0
manufacture_textiles,11251.493828799594,0.0
primary_fishing,14501.878253214196,1.0
primary_forestry,16877.363165876715,2.0
primary_oil_gas,27251.841647576322,6.0
primary_quarrying_concrete,26663.711268939915,6.0
services_administrative,20080.105824797047,3.0
services_agricultural,18297.3859981817,2.0
services_air_transport,27922.81548333526,7.0
services_computing,33474.99200755404,8.0
services_consumer_retail,13300.796370529179,0.0
services_content,22804.602339470286,4.0
services_creative,21979.45507545414,3.0
services_cultural,17905.405135874396,2.0
services_education_post_primary,26909.041196711394,6.0
services_education_primary,21512.899916948096,3.0
services_electronics_machinery,9861.509367922288,0.0
services_energy,36328.502158014715,9.0
services_entertainment,14706.62583676456,1.0
services_environmental,23422.50902496797,4.0
services_facilities,10325.203804164368,0.0
services_financial_legal,29134.219944499146,7.0
services_health,21200.369912533246,3.0
services_hospitality,12160.95054921591,0.0
services_house_installation,27488.26353369079,6.0
services_human_resources,16861.168283564348,1.0
services_industrial_equipment,24218.37340950466,5.0
services_insurance_finance,34348.53068425116,9.0
services_kibs,29702.04901478667,8.0
services_land_transport,34118.238233130636,9.0
services_logistics,25278.45182399135,5.0
services_motor,23576.4123047286,4.0
services_passenger,22960.879454037622,4.0
services_printing,23161.974480276935,4.0
services_professional,25359.55122571418,5.0
services_public_administration,28071.068957617226,7.0
services_publishing,25745.065329240577,6.0
services_r_&_d,35149.112341903376,9.0
services_real_state,22616.2045848407,4.0
services_recreation,14684.366104432187,1.0
services_residential,15441.31049619675,1.0
services_sea_transport,25640.257641776625,5.0
services_security,18742.94714783385,2.0
services_telecommunications,34780.15364849151,9.0
services_textiles,11590.298934927581,0.0
services_travelling,17072.784333703825,2.0
services_utilities,33103.90177720155,8.0
services_wholesale,21345.074667447287,3.0
