,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
63,2016,nuts 2013 level 2,Outer London - South,UKI6,0162,15,manufacture_food
64,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0162,5,manufacture_food
65,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0162,75,manufacture_food
66,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0162,105,manufacture_food
67,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0162,55,manufacture_food
68,2016,nuts 2013 level 2,Kent,UKJ4,0162,45,manufacture_food
69,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0162,115,manufacture_food
70,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0162,80,manufacture_food
71,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0162,30,manufacture_food
72,2016,nuts 2013 level 2,Devon,UKK4,0162,90,manufacture_food
73,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0162,80,manufacture_food
74,2016,nuts 2013 level 2,East Wales,UKL2,0162,60,manufacture_food
75,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0162,55,manufacture_food
76,2016,nuts 2013 level 2,South Western Scotland,UKM3,0162,60,manufacture_food
77,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0162,20,manufacture_food
78,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0162,30,manufacture_food
79,2016,nuts 2013 level 2,Northern Ireland,UKN0,0162,45,manufacture_food
80,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0163,0,manufacture_food
81,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0163,0,manufacture_food
82,2016,nuts 2013 level 2,Cumbria,UKD1,0163,0,manufacture_food
83,2016,nuts 2013 level 2,Greater Manchester,UKD3,0163,0,manufacture_food
84,2016,nuts 2013 level 2,Lancashire,UKD4,0163,0,manufacture_food
85,2016,nuts 2013 level 2,Cheshire,UKD6,0163,0,manufacture_food
86,2016,nuts 2013 level 2,Merseyside,UKD7,0163,0,manufacture_food
87,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0163,0,manufacture_food
88,2016,nuts 2013 level 2,North Yorkshire,UKE2,0163,5,manufacture_food
89,2016,nuts 2013 level 2,South Yorkshire,UKE3,0163,0,manufacture_food
90,2016,nuts 2013 level 2,West Yorkshire,UKE4,0163,0,manufacture_food
91,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0163,0,manufacture_food
92,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0163,0,manufacture_food
93,2016,nuts 2013 level 2,Lincolnshire,UKF3,0163,5,manufacture_food
94,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0163,0,manufacture_food
95,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0163,0,manufacture_food
96,2016,nuts 2013 level 2,West Midlands,UKG3,0163,0,manufacture_food
97,2016,nuts 2013 level 2,East Anglia,UKH1,0163,10,manufacture_food
98,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0163,0,manufacture_food
99,2016,nuts 2013 level 2,Essex,UKH3,0163,0,manufacture_food
100,2016,nuts 2013 level 2,Inner London - West,UKI3,0163,5,manufacture_food
101,2016,nuts 2013 level 2,Inner London - East,UKI4,0163,0,manufacture_food
102,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0163,0,manufacture_food
103,2016,nuts 2013 level 2,Outer London - South,UKI6,0163,0,manufacture_food
104,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0163,0,manufacture_food
105,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0163,5,manufacture_food
106,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0163,0,manufacture_food
107,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0163,5,manufacture_food
108,2016,nuts 2013 level 2,Kent,UKJ4,0163,5,manufacture_food
109,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0163,0,manufacture_food
110,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0163,0,manufacture_food
111,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0163,0,manufacture_food
112,2016,nuts 2013 level 2,Devon,UKK4,0163,0,manufacture_food
113,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0163,0,manufacture_food
114,2016,nuts 2013 level 2,East Wales,UKL2,0163,0,manufacture_food
115,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0163,10,manufacture_food
116,2016,nuts 2013 level 2,South Western Scotland,UKM3,0163,0,manufacture_food
117,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0163,0,manufacture_food
