geography_name,geography_code,% with NVQ4+ - aged 16-64
Bedfordshire and Hertfordshire,UKH2,40.9
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,48.3
Cheshire,UKD6,42.7
Cornwall and Isles of Scilly,UKK3,34.8
Cumbria,UKD1,31.8
Derbyshire and Nottinghamshire,UKF1,33.4
Devon,UKK4,36.9
Dorset and Somerset,UKK2,34.6
East Anglia,UKH1,34.2
East Wales,UKL2,40.0
East Yorkshire and Northern Lincolnshire,UKE1,27.0
Eastern Scotland,UKM7,47.5
Essex,UKH3,30.6
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,42.3
Greater Manchester,UKD3,35.6
Hampshire and Isle of Wight,UKJ3,37.8
"Herefordshire, Worcestershire and Warwickshire",UKG1,38.0
Highlands and Islands,UKM6,41.7
Inner London - East,UKI4,57.6
Inner London - West,UKI3,66.5
Kent,UKJ4,34.2
Lancashire,UKD4,34.9
"Leicestershire, Rutland and Northamptonshire",UKF2,34.2
Lincolnshire,UKF3,30.3
Merseyside,UKD7,32.9
North Eastern Scotland,UKM5,46.0
North Yorkshire,UKE2,42.6
Northumberland and Tyne and Wear,UKC2,32.1
Outer London - East and North East,UKI5,42.4
Outer London - South,UKI6,50.9
Outer London - West and North West,UKI7,50.1
Shropshire and Staffordshire,UKG2,33.8
South Yorkshire,UKE3,33.0
Southern Scotland,UKM9,39.5
"Surrey, East and West Sussex",UKJ2,45.0
Tees Valley and Durham,UKC1,29.9
West Central Scotland,UKM8,42.8
West Midlands,UKG3,30.5
West Wales,UKL1,32.6
West Yorkshire,UKE4,32.7
