year,nuts_id,nuts_year_spec,aps_econ_active_stem_associate_profs_data
2012,UKH2,2016,14600
2013,UKH2,2016,19300
2014,UKH2,2016,13800
2015,UKH2,2016,17300
2016,UKH2,2016,18100
2017,UKH2,2016,20300
2018,UKH2,2016,21400
2012,UKJ1,2016,24500
2013,UKJ1,2016,25300
2014,UKJ1,2016,32500
2015,UKJ1,2016,26500
2016,UKJ1,2016,30200
2017,UKJ1,2016,27600
2018,UKJ1,2016,36000
2012,UKD6,2016,12100
2013,UKD6,2016,8900
2014,UKD6,2016,6500
2015,UKD6,2016,8200
2016,UKD6,2016,8400
2017,UKD6,2016,9300
2018,UKD6,2016,9000
2012,UKK3,2016,4400
2013,UKK3,2016,2500
2014,UKK3,2016,3500
2015,UKK3,2016,3100
2016,UKK3,2016,5300
2017,UKK3,2016,4700
2018,UKK3,2016,4100
2012,UKD1,2016,5000
2013,UKD1,2016,4700
2014,UKD1,2016,6700
2015,UKD1,2016,5600
2016,UKD1,2016,5600
2017,UKD1,2016,5300
2018,UKD1,2016,5000
2012,UKF1,2016,17400
2013,UKF1,2016,22600
2014,UKF1,2016,17700
2015,UKF1,2016,21200
2016,UKF1,2016,21200
2017,UKF1,2016,25100
2018,UKF1,2016,22900
2012,UKK4,2016,8600
2013,UKK4,2016,8000
2014,UKK4,2016,8900
2015,UKK4,2016,14600
2016,UKK4,2016,10800
2017,UKK4,2016,10200
2018,UKK4,2016,9600
2012,UKK2,2016,12600
2013,UKK2,2016,12900
2014,UKK2,2016,10000
2015,UKK2,2016,11500
2016,UKK2,2016,10000
2017,UKK2,2016,15100
2018,UKK2,2016,11600
2012,UKH1,2016,26200
2013,UKH1,2016,27000
2014,UKH1,2016,21900
2015,UKH1,2016,25800
2016,UKH1,2016,27000
2017,UKH1,2016,25300
2018,UKH1,2016,28800
2012,UKL2,2016,8400
2013,UKL2,2016,9900
2014,UKL2,2016,11900
2015,UKL2,2016,8200
2016,UKL2,2016,9000
2017,UKL2,2016,11400
2018,UKL2,2016,10700
2012,UKE1,2016,5800
2013,UKE1,2016,5500
2014,UKE1,2016,7800
2015,UKE1,2016,8000
2016,UKE1,2016,10000
2017,UKE1,2016,11000
2018,UKE1,2016,10600
2012,UKM7,2016,18900
2013,UKM7,2016,16700
2014,UKM7,2016,18000
2015,UKM7,2016,16000
2016,UKM7,2016,20200
2017,UKM7,2016,22500
2018,UKM7,2016,21000
2012,UKH3,2016,13500
2013,UKH3,2016,10500
2014,UKH3,2016,14800
2015,UKH3,2016,20400
2016,UKH3,2016,13200
2017,UKH3,2016,16100
2018,UKH3,2016,19000
