year,nuts_id,nuts_year_spec,gbp_innovate_uk_funding
2010,UKC11,2010,374085
2011,UKC11,2010,106919
2012,UKC11,2010,12636
2013,UKC11,2013,254457
2014,UKC11,2013,254873
2015,UKC11,2013,193919
2016,UKC11,2016,275386
2017,UKC11,2016,111459
2018,UKC11,2016,131160
2019,UKC11,2016,533087
2020,UKC11,2016,99470
2010,UKC12,2010,1475015
2011,UKC12,2010,105694608
2012,UKC12,2010,52234652
2013,UKC12,2013,47917218
2014,UKC12,2013,39371824
2015,UKC12,2013,4066003
2016,UKC12,2016,2928410
2017,UKC12,2016,17570564
2018,UKC12,2016,111825124
2019,UKC12,2016,3201030
2020,UKC12,2016,508576
2015,UKC13,2013,10000
2017,UKC13,2016,103068
2020,UKC13,2016,49992
2010,UKC14,2010,839729
2011,UKC14,2010,2225954
2012,UKC14,2010,1521224
2013,UKC14,2013,1810842
2014,UKC14,2013,2516324
2015,UKC14,2013,2409399
2016,UKC14,2016,1862233
2017,UKC14,2016,3740515
2018,UKC14,2016,5301854
2019,UKC14,2016,1869805
2020,UKC14,2016,1154136
2010,UKC21,2010,132961
2011,UKC21,2010,54234199
2012,UKC21,2010,47745807
2013,UKC21,2013,1643749
2014,UKC21,2013,4977642
2015,UKC21,2013,684364
2016,UKC21,2016,632491
2017,UKC21,2016,10689368
2018,UKC21,2016,80339910
2019,UKC21,2016,3588678
2020,UKC21,2016,2340905
2010,UKC22,2010,2126346
2011,UKC22,2010,3766126
2012,UKC22,2010,4329768
2013,UKC22,2013,5884802
2014,UKC22,2013,7356556
2015,UKC22,2013,4239378
2016,UKC22,2016,5602369
2017,UKC22,2016,9881988
2018,UKC22,2016,14468642
2019,UKC22,2016,4605401
2020,UKC22,2016,689224
2010,UKC23,2010,2585374
2011,UKC23,2010,1081233
2012,UKC23,2010,310678
2013,UKC23,2013,180516
2014,UKC23,2013,3689764
2015,UKC23,2013,8551607
2016,UKC23,2016,7022061
2017,UKC23,2016,2454644
2018,UKC23,2016,5005770
2019,UKC23,2016,4536087
2020,UKC23,2016,1210227
2010,UKD11,2010,5384
2011,UKD11,2010,296985
2012,UKD11,2010,119671
2013,UKD11,2013,11040
2014,UKD11,2013,401852
2015,UKD11,2013,81385
2016,UKD11,2016,119905
2017,UKD11,2016,3242048
2018,UKD11,2016,953487
2019,UKD11,2016,259657
2020,UKD11,2016,191693
2010,UKD12,2010,156204
2011,UKD12,2010,1015831
2012,UKD12,2010,257464
2013,UKD12,2013,487248
2014,UKD12,2013,400578
2015,UKD12,2013,78801
2016,UKD12,2016,268637
2017,UKD12,2016,2178487
2018,UKD12,2016,2134806
2019,UKD12,2016,1450556
2020,UKD12,2016,406164
2010,UKD31,2010,3035164
2011,UKD31,2010,4505988
2012,UKD31,2010,5342056
2010,UKD32,2010,501061
2011,UKD32,2010,890054
2012,UKD32,2010,532932
2013,UKD33,2013,5816356
2014,UKD33,2013,13763326
2015,UKD33,2013,8999746
2016,UKD33,2016,7831156
2017,UKD33,2016,17227690
2018,UKD33,2016,15026697
2019,UKD33,2016,5093792
2020,UKD33,2016,1566078
2013,UKD34,2013,1709672
2014,UKD34,2013,1625332
2015,UKD34,2013,805237
2016,UKD34,2016,1365525
2017,UKD34,2016,2244648
2018,UKD34,2016,2025867
2019,UKD34,2016,1179183
2020,UKD34,2016,361359
2013,UKD35,2013,1364951
2014,UKD35,2013,756009
2015,UKD35,2013,684800
2016,UKD35,2016,1377029
2017,UKD35,2016,565075
2018,UKD35,2016,1652645
2019,UKD35,2016,240038
2020,UKD35,2016,131800
2013,UKD36,2013,683828
2014,UKD36,2013,188359
2015,UKD36,2013,208835
2016,UKD36,2016,834636
2017,UKD36,2016,869269
2018,UKD36,2016,454705
2019,UKD36,2016,569864
2020,UKD36,2016,99640
2013,UKD37,2013,506288
2014,UKD37,2013,684569
2015,UKD37,2013,934688
2016,UKD37,2016,284838
2017,UKD37,2016,282638
2018,UKD37,2016,583125
2019,UKD37,2016,373865
2010,UKD41,2010,32000
2011,UKD41,2010,256476
2012,UKD41,2010,24607
2013,UKD41,2013,957069
2014,UKD41,2013,610837
2015,UKD41,2013,65000
2016,UKD41,2016,20629
2017,UKD41,2016,104721
2018,UKD41,2016,906916
2019,UKD41,2016,2164727
2020,UKD41,2016,49989
2013,UKD42,2013,5000
2014,UKD42,2013,5000
2015,UKD42,2013,10000
2017,UKD42,2016,188920
2010,UKD43,2010,1309509
2011,UKD43,2010,1229761
2012,UKD43,2010,2102420
2013,UKD44,2013,1960442
2014,UKD44,2013,1704486
2015,UKD44,2013,1797379
2016,UKD44,2016,1036425
2017,UKD44,2016,4945989
2018,UKD44,2016,2273749
2019,UKD44,2016,4090499
2020,UKD44,2016,610669
2013,UKD45,2013,2206598
2014,UKD45,2013,957647
2015,UKD45,2013,406024
2016,UKD45,2016,220047
2017,UKD45,2016,99758
2018,UKD45,2016,822582
2019,UKD45,2016,1153569
2020,UKD45,2016,49980
2013,UKD46,2013,374702
2014,UKD46,2013,322828
2015,UKD46,2013,1437108
2016,UKD46,2016,459195
2017,UKD46,2016,379250
2018,UKD46,2016,1988967
2019,UKD46,2016,0
2020,UKD46,2016,88293
2013,UKD47,2013,8428
2014,UKD47,2013,133789
2015,UKD47,2013,287810
2017,UKD47,2016,159085
2018,UKD47,2016,159655
2019,UKD47,2016,317365
2020,UKD47,2016,197924
2010,UKD61,2010,352138
2011,UKD61,2010,169928
2012,UKD61,2010,2187522
2013,UKD61,2013,649997
2014,UKD61,2013,888419
2015,UKD61,2013,180065
2016,UKD61,2016,551999
2017,UKD61,2016,2791960
2018,UKD61,2016,768419
2019,UKD61,2016,791300
2020,UKD61,2016,130828
2010,UKD62,2010,799175
2011,UKD62,2010,427211
2012,UKD62,2010,1952666
