year,nuts_id,nuts_year_spec,gbp_innovate_uk_funding
2010,UKC1,2010,2688829
2011,UKC1,2010,108027481
2012,UKC1,2010,53768512
2013,UKC1,2013,49982517
2014,UKC1,2013,42143021
2015,UKC1,2013,6679321
2016,UKC1,2016,5066029
2017,UKC1,2016,21525606
2018,UKC1,2016,117258138
2019,UKC1,2016,5603922
2020,UKC1,2016,1812174
2010,UKC2,2010,4844681
2011,UKC2,2010,59081558
2012,UKC2,2010,52386253
2013,UKC2,2013,7709067
2014,UKC2,2013,16023962
2015,UKC2,2013,13475349
2016,UKC2,2016,13256921
2017,UKC2,2016,23026000
2018,UKC2,2016,99814322
2019,UKC2,2016,12730166
2020,UKC2,2016,4240356
2010,UKD1,2010,161588
2011,UKD1,2010,1312816
2012,UKD1,2010,377135
2013,UKD1,2013,498288
2014,UKD1,2013,802430
2015,UKD1,2013,160186
2016,UKD1,2016,388542
2017,UKD1,2016,5420535
2018,UKD1,2016,3088293
2019,UKD1,2016,1710213
2020,UKD1,2016,597857
2010,UKD3,2010,3536225
2011,UKD3,2010,5396042
2012,UKD3,2010,5874988
2013,UKD3,2013,10081095
2014,UKD3,2013,17017595
2015,UKD3,2013,11633306
2016,UKD3,2016,11693184
2017,UKD3,2016,21189320
2018,UKD3,2016,19743039
2019,UKD3,2016,7456744
2020,UKD3,2016,2158877
2010,UKD4,2010,1341509
2011,UKD4,2010,1486237
2012,UKD4,2010,2127027
2013,UKD4,2013,5512239
2014,UKD4,2013,3734587
2015,UKD4,2013,4003321
2016,UKD4,2016,1736296
2017,UKD4,2016,5877723
2018,UKD4,2016,6151869
2019,UKD4,2016,7726160
2020,UKD4,2016,996855
2010,UKD6,2010,1505536
2011,UKD6,2010,3125347
2012,UKD6,2010,5141258
2013,UKD6,2013,4642965
2014,UKD6,2013,5391239
2015,UKD6,2013,3981572
2016,UKD6,2016,2834441
2017,UKD6,2016,10180530
2018,UKD6,2016,5799456
2019,UKD6,2016,5706025
2020,UKD6,2016,1057083
2010,UKD7,2010,1534794
2011,UKD7,2010,4623438
2012,UKD7,2010,11238355
2013,UKD7,2013,6147629
2014,UKD7,2013,3507582
2015,UKD7,2013,2768481
2016,UKD7,2016,4486299
2017,UKD7,2016,4543267
2018,UKD7,2016,9418898
2019,UKD7,2016,5588924
