clust,sic_4,descr,category,name,cluster
0,4331,Plastering,construction,construction,construction_construction
0,4312,Site preparation,construction,construction,construction_construction
0,4211,Construction of roads and motorways,construction,construction,construction_construction
0,4120,Construction of residential and non-residential buildings,construction,construction,construction_construction
0,4399,Other specialised construction activities n.e.c.,construction,construction,construction_construction
0,4332,Joinery installation,construction,construction,construction_construction
0,4299,Construction of other civil engineering projects n.e.c.,construction,construction,construction_construction
1,4339,Other building completion and finishing,construction,infrastructure,construction_infrastructure
1,4313,Test drilling and boring,construction,infrastructure,construction_infrastructure
1,4311,Demolition,construction,infrastructure,construction_infrastructure
1,4291,Construction of water projects,construction,infrastructure,construction_infrastructure
1,4222,Construction of utility projects for electricity and telecommunications,construction,infrastructure,construction_infrastructure
1,4213,Construction of bridges and tunnels,construction,infrastructure,construction_infrastructure
1,4212,Construction of railways and underground railways,construction,infrastructure,construction_infrastructure
2,3030,Manufacture of air and spacecraft and related machinery,manufacture,aerospace,manufacture_aerospace
2,3316,Repair and maintenance of aircraft and spacecraft,manufacture,aerospace,manufacture_aerospace
3,2540,Manufacture of weapons and ammunition,manufacture,armaments,manufacture_armaments
4,2932,Manufacture of other parts and accessories for motor vehicles,manufacture,automotive,manufacture_automotive
4,2931,Manufacture of electrical and electronic equipment for motor vehicles,manufacture,automotive,manufacture_automotive
4,2910,Manufacture of motor vehicles,manufacture,automotive,manufacture_automotive
4,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,manufacture,automotive,manufacture_automotive
5,2320,Manufacture of refractory products,manufacture,casting,manufacture_casting
5,2451,Casting of iron,manufacture,casting,manufacture_casting
5,2452,Casting of steel,manufacture,casting,manufacture_casting
5,2454,Casting of other non-ferrous metals,manufacture,casting,manufacture_casting
6,2013,Manufacture of other inorganic basic chemicals,manufacture,chemical,manufacture_chemical
6,4675,Wholesale of chemical products,manufacture,chemical,manufacture_chemical
6,2030,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",manufacture,chemical,manufacture_chemical
6,2052,Manufacture of glues,manufacture,chemical,manufacture_chemical
6,2059,Manufacture of other chemical products n.e.c.,manufacture,chemical,manufacture_chemical
6,2399,Manufacture of other non-metallic mineral products n.e.c.,manufacture,chemical,manufacture_chemical
6,2014,Manufacture of other organic basic chemicals,manufacture,chemical,manufacture_chemical
7,2752,Manufacture of non-electric domestic appliances,manufacture,electrical,manufacture_electrical
7,2751,Manufacture of electric domestic appliances,manufacture,electrical,manufacture_electrical
7,2740,Manufacture of electric lighting equipment,manufacture,electrical,manufacture_electrical
7,2732,Manufacture of other electronic and electric wires and cables,manufacture,electrical,manufacture_electrical
7,2711,"Manufacture of electric motors, generators and transformers",manufacture,electrical,manufacture_electrical
7,2712,Manufacture of electricity distribution and control apparatus,manufacture,electrical,manufacture_electrical
7,2790,Manufacture of other electrical equipment,manufacture,electrical,manufacture_electrical
8,2612,Manufacture of loaded electronic boards,manufacture,electronics,manufacture_electronics
8,2611,Manufacture of electronic components,manufacture,electronics,manufacture_electronics
8,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",manufacture,electronics,manufacture_electronics
8,2651,"Manufacture of instruments and appliances for measuring, testing and navigation",manufacture,electronics,manufacture_electronics
8,2640,Manufacture of consumer electronics,manufacture,electronics,manufacture_electronics
8,2620,Manufacture of computers and peripheral equipment,manufacture,electronics,manufacture_electronics
8,2630,Manufacture of communication equipment,manufacture,electronics,manufacture_electronics
9,0163,Post-harvest crop activities,manufacture,food,manufacture_food
9,4622,Wholesale of flowers and plants,manufacture,food,manufacture_food
9,1092,Manufacture of prepared pet foods,manufacture,food,manufacture_food
9,1061,Manufacture of grain mill products,manufacture,food,manufacture_food
9,0161,Support activities for crop production,manufacture,food,manufacture_food
9,0162,Support activities for animal production,manufacture,food,manufacture_food
9,0170,"Hunting, trapping and related service activities",manufacture,food,manufacture_food
9,1011,Processing and preserving of meat,manufacture,food,manufacture_food
9,1013,Production of meat and poultry meat products,manufacture,food,manufacture_food
9,1051,Operation of dairies and cheese making,manufacture,food,manufacture_food
9,1052,Manufacture of ice cream,manufacture,food,manufacture_food
9,1091,Manufacture of prepared feeds for farm animals,manufacture,food,manufacture_food
9,1039,Other processing and preserving of fruit and vegetables,manufacture,food,manufacture_food
9,1031,Processing and preserving of potatoes,manufacture,food,manufacture_food
9,4631,Wholesale of fruit and vegetables,manufacture,food,manufacture_food
9,1012,Processing and preserving of poultry meat,manufacture,food,manufacture_food
9,8292,Packaging activities,manufacture,food,manufacture_food
9,1084,Manufacture of condiments and seasonings,manufacture,food,manufacture_food
9,1072,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,manufacture,food,manufacture_food
9,1082,"Manufacture of cocoa, chocolate and sugar confectionery",manufacture,food,manufacture_food
9,1083,Processing of tea and coffee,manufacture,food,manufacture_food
9,1086,Manufacture of homogenised food preparations and dietetic food,manufacture,food,manufacture_food
9,1085,Manufacture of prepared meals and dishes,manufacture,food,manufacture_food
9,1089,Manufacture of other food products n.e.c.,manufacture,food,manufacture_food
9,1107,Manufacture of soft drinks; production of mineral waters and other bottled waters,manufacture,food,manufacture_food
10,9523,Repair of footwear and leather goods,manufacture,footwear_leather,manufacture_footwear_leather
10,1520,Manufacture of footwear,manufacture,footwear_leather,manufacture_footwear_leather
10,1512,"Manufacture of luggage, handbags and the like, saddlery and harness",manufacture,footwear_leather,manufacture_footwear_leather
10,1511,Tanning and dressing of leather; dressing and dyeing of fur,manufacture,footwear_leather,manufacture_footwear_leather
10,1411,Manufacture of leather clothes,manufacture,footwear_leather,manufacture_footwear_leather
11,1610,Sawmilling and planing of wood,manufacture,furniture,manufacture_furniture
11,9524,Repair of furniture and home furnishings,manufacture,furniture,manufacture_furniture
11,1621,Manufacture of veneer sheets and wood-based panels,manufacture,furniture,manufacture_furniture
11,3291,Manufacture of brooms and brushes,manufacture,furniture,manufacture_furniture
11,3230,Manufacture of sports goods,manufacture,furniture,manufacture_furniture
11,3109,Manufacture of other furniture,manufacture,furniture,manufacture_furniture
11,3101,Manufacture of office and shop furniture,manufacture,furniture,manufacture_furniture
11,3299,Other manufacturing n.e.c.,manufacture,furniture,manufacture_furniture
11,3103,Manufacture of mattresses,manufacture,furniture,manufacture_furniture
11,3240,Manufacture of games and toys,manufacture,furniture,manufacture_furniture
11,3102,Manufacture of kitchen furniture,manufacture,furniture,manufacture_furniture
11,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting",manufacture,furniture,manufacture_furniture
11,1624,Manufacture of wooden containers,manufacture,furniture,manufacture_furniture
11,1623,Manufacture of other builders' carpentry and joinery,manufacture,furniture,manufacture_furniture
12,2670,Manufacture of optical instruments and photographic equipment,manufacture,instruments,manufacture_instruments
12,3091,Manufacture of motorcycles,manufacture,instruments,manufacture_instruments
12,3250,Manufacture of medical and dental instruments and supplies,manufacture,instruments,manufacture_instruments
12,3313,Repair of electronic and optical equipment,manufacture,instruments,manufacture_instruments
12,2652,Manufacture of watches and clocks,manufacture,instruments,manufacture_instruments
13,3220,Manufacture of musical instruments,manufacture,light,manufacture_light
13,3213,Manufacture of imitation jewellery and related articles,manufacture,light,manufacture_light
13,3212,Manufacture of jewellery and related articles,manufacture,light,manufacture_light
14,2829,Manufacture of other general-purpose machinery n.e.c.,manufacture,machinery_tools,manufacture_machinery_tools
14,2822,Manufacture of lifting and handling equipment,manufacture,machinery_tools,manufacture_machinery_tools
14,2573,Manufacture of tools,manufacture,machinery_tools,manufacture_machinery_tools
14,2511,Manufacture of metal structures and parts of structures,manufacture,machinery_tools,manufacture_machinery_tools
14,2561,Treatment and coating of metals,manufacture,machinery_tools,manufacture_machinery_tools
14,2899,Manufacture of other special-purpose machinery n.e.c.,manufacture,machinery_tools,manufacture_machinery_tools
14,2895,Manufacture of machinery for paper and paperboard production,manufacture,machinery_tools,manufacture_machinery_tools
14,2823,Manufacture of office machinery and equipment (except computers and peripheral equipment),manufacture,machinery_tools,manufacture_machinery_tools
14,2562,Machining,manufacture,machinery_tools,manufacture_machinery_tools
14,0510,Mining of hard coal,manufacture,machinery_tools,manufacture_machinery_tools
14,2599,Manufacture of other fabricated metal products n.e.c.,manufacture,machinery_tools,manufacture_machinery_tools
14,2830,Manufacture of agricultural and forestry machinery,manufacture,machinery_tools,manufacture_machinery_tools
14,3311,Repair of fabricated metal products,manufacture,machinery_tools,manufacture_machinery_tools
14,3312,Repair of machinery,manufacture,machinery_tools,manufacture_machinery_tools
15,2341,Manufacture of ceramic household and ornamental articles,manufacture,materials,manufacture_materials
15,2312,Shaping and processing of flat glass,manufacture,materials,manufacture_materials
15,2319,"Manufacture and processing of other glass, including technical glassware",manufacture,materials,manufacture_materials
15,2332,"Manufacture of bricks, tiles and construction products, in baked clay",manufacture,materials,manufacture_materials
15,2349,Manufacture of other ceramic products,manufacture,materials,manufacture_materials
15,2331,Manufacture of ceramic tiles and flags,manufacture,materials,manufacture_materials
15,4644,Wholesale of china and glassware and cleaning materials,manufacture,materials,manufacture_materials
16,2410,Manufacture of basic iron and steel and of ferro-alloys,manufacture,metal_equipment,manufacture_metal_equipment
16,2849,Manufacture of other machine tools,manufacture,metal_equipment,manufacture_metal_equipment
16,2434,Cold drawing of wire,manufacture,metal_equipment,manufacture_metal_equipment
16,2512,Manufacture of doors and windows of metal,manufacture,metal_equipment,manufacture_metal_equipment
16,2529,"Manufacture of other tanks, reservoirs and containers of metal",manufacture,metal_equipment,manufacture_metal_equipment
