year,nuts_id,nuts_year_spec,total_trademarks_scientific
2010,UKC1,2010,19
2011,UKC1,2010,23
2012,UKC1,2010,36
2013,UKC1,2013,23
2014,UKC1,2013,32
2015,UKC1,2013,27
2016,UKC1,2016,44
2017,UKC1,2016,29
2018,UKC1,2016,2
2010,UKC2,2010,49
2011,UKC2,2010,44
2012,UKC2,2010,42
2013,UKC2,2013,80
2014,UKC2,2013,57
2015,UKC2,2013,68
2016,UKC2,2016,93
2017,UKC2,2016,64
2018,UKC2,2016,16
2010,UKD1,2010,7
2011,UKD1,2010,20
2012,UKD1,2010,12
2013,UKD1,2013,4
2014,UKD1,2013,11
2015,UKD1,2013,22
2016,UKD1,2016,20
2017,UKD1,2016,23
2010,UKD3,2010,82
2011,UKD3,2010,114
2012,UKD3,2010,114
2013,UKD3,2013,152
2014,UKD3,2013,174
2015,UKD3,2013,180
2016,UKD3,2016,225
2017,UKD3,2016,259
2018,UKD3,2016,16
2010,UKD4,2010,27
2011,UKD4,2010,34
2012,UKD4,2010,41
2013,UKD4,2013,45
2014,UKD4,2013,70
2015,UKD4,2013,71
2016,UKD4,2016,72
2017,UKD4,2016,63
2018,UKD4,2016,5
2010,UKD6,2010,36
2011,UKD6,2010,37
2012,UKD6,2010,59
2013,UKD6,2013,57
2014,UKD6,2013,58
2015,UKD6,2013,54
2016,UKD6,2016,82
2017,UKD6,2016,76
2018,UKD6,2016,4
2010,UKD7,2010,23
2011,UKD7,2010,27
2012,UKD7,2010,40
2013,UKD7,2013,62
2014,UKD7,2013,46
2015,UKD7,2013,54
2016,UKD7,2016,85
2017,UKD7,2016,85
2018,UKD7,2016,6
2010,UKE1,2010,18
2011,UKE1,2010,17
2012,UKE1,2010,15
2013,UKE1,2013,24
2014,UKE1,2013,30
2015,UKE1,2013,40
2016,UKE1,2016,38
2017,UKE1,2016,50
2018,UKE1,2016,3
2010,UKE2,2010,36
2011,UKE2,2010,17
2012,UKE2,2010,36
2013,UKE2,2013,44
2014,UKE2,2013,57
2015,UKE2,2013,22
2016,UKE2,2016,54
2017,UKE2,2016,56
2018,UKE2,2016,1
2010,UKE3,2010,31
2011,UKE3,2010,37
2012,UKE3,2010,52
2013,UKE3,2013,42
2014,UKE3,2013,66
2015,UKE3,2013,39
2016,UKE3,2016,49
2017,UKE3,2016,57
2018,UKE3,2016,8
2010,UKE4,2010,99
2011,UKE4,2010,89
2012,UKE4,2010,82
2013,UKE4,2013,108
2014,UKE4,2013,153
2015,UKE4,2013,117
2016,UKE4,2016,137
2017,UKE4,2016,160
2018,UKE4,2016,14
2010,UKF1,2010,41
2011,UKF1,2010,45
2012,UKF1,2010,60
2013,UKF1,2013,98
2014,UKF1,2013,82
2015,UKF1,2013,95
2016,UKF1,2016,129
2017,UKF1,2016,119
2018,UKF1,2016,3
2010,UKF2,2010,52
2011,UKF2,2010,62
2012,UKF2,2010,83
2013,UKF2,2013,90
2014,UKF2,2013,95
2015,UKF2,2013,103
2016,UKF2,2016,96
2017,UKF2,2016,109
2018,UKF2,2016,8
2010,UKF3,2010,12
2011,UKF3,2010,14
2012,UKF3,2010,25
2013,UKF3,2013,27
2014,UKF3,2013,29
2015,UKF3,2013,15
2016,UKF3,2016,32
2017,UKF3,2016,20
2018,UKF3,2016,1
2010,UKG1,2010,54
2011,UKG1,2010,58
2012,UKG1,2010,83
2013,UKG1,2013,84
2014,UKG1,2013,95
2015,UKG1,2013,100
2016,UKG1,2016,133
2017,UKG1,2016,123
2018,UKG1,2016,4
2010,UKG2,2010,38
2011,UKG2,2010,41
2012,UKG2,2010,45
2013,UKG2,2013,64
2014,UKG2,2013,65
2015,UKG2,2013,59
2016,UKG2,2016,73
2017,UKG2,2016,79
2018,UKG2,2016,8
2010,UKG3,2010,82
2011,UKG3,2010,88
2012,UKG3,2010,129
2013,UKG3,2013,103
2014,UKG3,2013,98
2015,UKG3,2013,146
2016,UKG3,2016,162
2017,UKG3,2016,160
2018,UKG3,2016,28
2010,UKH1,2010,118
2011,UKH1,2010,127
2012,UKH1,2010,146
2013,UKH1,2013,130
2014,UKH1,2013,153
2015,UKH1,2013,197
2016,UKH1,2016,232
2017,UKH1,2016,242
2018,UKH1,2016,20
2010,UKH2,2010,89
2011,UKH2,2010,93
2012,UKH2,2010,134
2013,UKH2,2013,168
