year,nuts_id,nuts_year_spec,total_trademarks
2010.0,UKH2,2016,873
2011.0,UKH2,2016,940
2012.0,UKH2,2016,1059
2013.0,UKH2,2016,1171
2014.0,UKH2,2016,1441
2015.0,UKH2,2016,1513
2016.0,UKH2,2016,1481
2017.0,UKH2,2016,1516
2010.0,UKJ1,2016,1253
2011.0,UKJ1,2016,1313
2012.0,UKJ1,2016,1403
2013.0,UKJ1,2016,1542
2014.0,UKJ1,2016,1793
2015.0,UKJ1,2016,2060
2016.0,UKJ1,2016,2258
2017.0,UKJ1,2016,2152
2010.0,UKD6,2016,293
2011.0,UKD6,2016,315
2012.0,UKD6,2016,394
2013.0,UKD6,2016,463
2014.0,UKD6,2016,511
2015.0,UKD6,2016,533
2016.0,UKD6,2016,612
2017.0,UKD6,2016,637
2010.0,UKK3,2016,199
2011.0,UKK3,2016,163
2012.0,UKK3,2016,180
2013.0,UKK3,2016,420
2014.0,UKK3,2016,247
2015.0,UKK3,2016,366
2016.0,UKK3,2016,389
2017.0,UKK3,2016,371
2010.0,UKD1,2016,103
2011.0,UKD1,2016,116
2012.0,UKD1,2016,102
2013.0,UKD1,2016,105
2014.0,UKD1,2016,130
2015.0,UKD1,2016,163
2016.0,UKD1,2016,170
2017.0,UKD1,2016,186
2010.0,UKF1,2016,585
2011.0,UKF1,2016,545
2012.0,UKF1,2016,703
2013.0,UKF1,2016,773
2014.0,UKF1,2016,837
2015.0,UKF1,2016,965
2016.0,UKF1,2016,901
2017.0,UKF1,2016,968
2010.0,UKK4,2016,353
2011.0,UKK4,2016,296
2012.0,UKK4,2016,396
2013.0,UKK4,2016,538
2014.0,UKK4,2016,629
2015.0,UKK4,2016,568
2016.0,UKK4,2016,700
2017.0,UKK4,2016,643
2010.0,UKK2,2016,407
2011.0,UKK2,2016,448
2012.0,UKK2,2016,520
2013.0,UKK2,2016,658
2014.0,UKK2,2016,629
2015.0,UKK2,2016,768
2016.0,UKK2,2016,863
2017.0,UKK2,2016,850
2010.0,UKH1,2016,849
2011.0,UKH1,2016,885
2012.0,UKH1,2016,1019
2013.0,UKH1,2016,1138
2014.0,UKH1,2016,1188
2015.0,UKH1,2016,1384
2016.0,UKH1,2016,1520
2017.0,UKH1,2016,1498
2010.0,UKL2,2016,363
2011.0,UKL2,2016,373
2012.0,UKL2,2016,407
2013.0,UKL2,2016,630
2014.0,UKL2,2016,640
2015.0,UKL2,2016,618
2016.0,UKL2,2016,702
2017.0,UKL2,2016,703
2010.0,UKE1,2016,197
2011.0,UKE1,2016,223
2012.0,UKE1,2016,257
2013.0,UKE1,2016,288
2014.0,UKE1,2016,289
2015.0,UKE1,2016,348
2016.0,UKE1,2016,331
2017.0,UKE1,2016,377
2010.0,UKM7,2016,511
2011.0,UKM7,2016,516
2012.0,UKM7,2016,637
2013.0,UKM7,2016,729
2014.0,UKM7,2016,784
2015.0,UKM7,2016,839
2016.0,UKM7,2016,978
2017.0,UKM7,2016,990
2010.0,UKH3,2016,486
2011.0,UKH3,2016,459
2012.0,UKH3,2016,555
2013.0,UKH3,2016,710
2014.0,UKH3,2016,858
2015.0,UKH3,2016,892
2016.0,UKH3,2016,962
2017.0,UKH3,2016,1010
2010.0,UKK1,2016,910
2011.0,UKK1,2016,1046
2012.0,UKK1,2016,1127
2013.0,UKK1,2016,1336
2014.0,UKK1,2016,1431
2015.0,UKK1,2016,1582
2016.0,UKK1,2016,1743
2017.0,UKK1,2016,1738
2010.0,UKD3,2016,937
2011.0,UKD3,2016,1048
2012.0,UKD3,2016,1173
2013.0,UKD3,2016,1425
2014.0,UKD3,2016,1748
2015.0,UKD3,2016,1844
2016.0,UKD3,2016,2006
2017.0,UKD3,2016,2105
2010.0,UKJ3,2016,595
2011.0,UKJ3,2016,609
2012.0,UKJ3,2016,744
2013.0,UKJ3,2016,904
2014.0,UKJ3,2016,1013
2015.0,UKJ3,2016,1130
2016.0,UKJ3,2016,1148
2017.0,UKJ3,2016,1200
2010.0,UKG1,2016,583
2011.0,UKG1,2016,544
2012.0,UKG1,2016,647
2013.0,UKG1,2016,719
2014.0,UKG1,2016,868
2015.0,UKG1,2016,910
2016.0,UKG1,2016,1053
2017.0,UKG1,2016,980
2010.0,UKM6,2016,56
2011.0,UKM6,2016,83
2012.0,UKM6,2016,100
2013.0,UKM6,2016,130
2014.0,UKM6,2016,121
2015.0,UKM6,2016,142
2016.0,UKM6,2016,197
2017.0,UKM6,2016,219
2010.0,UKI4,2016,1576
2011.0,UKI4,2016,1825
2012.0,UKI4,2016,2261
2013.0,UKI4,2016,3041
2014.0,UKI4,2016,3318
2015.0,UKI4,2016,3844
2016.0,UKI4,2016,3950
2017.0,UKI4,2016,4308
2010.0,UKI3,2016,3168
2011.0,UKI3,2016,3188
2012.0,UKI3,2016,3489
2013.0,UKI3,2016,4203
2014.0,UKI3,2016,4780
2015.0,UKI3,2016,5162
2016.0,UKI3,2016,5898
2017.0,UKI3,2016,5378
2010.0,UKJ4,2016,491
2011.0,UKJ4,2016,531
2012.0,UKJ4,2016,599
2013.0,UKJ4,2016,713
2014.0,UKJ4,2016,825
2015.0,UKJ4,2016,847
2016.0,UKJ4,2016,1350
2017.0,UKJ4,2016,1098
2010.0,UKD4,2016,577
2011.0,UKD4,2016,411
2012.0,UKD4,2016,566
2013.0,UKD4,2016,656
2014.0,UKD4,2016,773
2015.0,UKD4,2016,842
2016.0,UKD4,2016,942
2017.0,UKD4,2016,874
2010.0,UKF2,2016,626
2011.0,UKF2,2016,654
2012.0,UKF2,2016,823
2013.0,UKF2,2016,924
2014.0,UKF2,2016,1025
2015.0,UKF2,2016,1109
2016.0,UKF2,2016,1192
2017.0,UKF2,2016,1197
2010.0,UKF3,2016,173
2011.0,UKF3,2016,184
2012.0,UKF3,2016,196
2013.0,UKF3,2016,236
2014.0,UKF3,2016,265
2015.0,UKF3,2016,277
2016.0,UKF3,2016,307
2017.0,UKF3,2016,310
2010.0,UKD7,2016,344
2011.0,UKD7,2016,361
2012.0,UKD7,2016,439
2013.0,UKD7,2016,518
2014.0,UKD7,2016,530
2015.0,UKD7,2016,553
2016.0,UKD7,2016,705
2017.0,UKD7,2016,742
2010.0,UKM5,2016,109
2011.0,UKM5,2016,116
2012.0,UKM5,2016,132
2013.0,UKM5,2016,152
2014.0,UKM5,2016,178
2015.0,UKM5,2016,199
2016.0,UKM5,2016,226
2017.0,UKM5,2016,213
2010.0,UKE2,2016,294
2011.0,UKE2,2016,310
2012.0,UKE2,2016,297
2013.0,UKE2,2016,417
2014.0,UKE2,2016,474
2015.0,UKE2,2016,456
2016.0,UKE2,2016,508
2017.0,UKE2,2016,585
2010.0,UKN0,2016,174
2011.0,UKN0,2016,213
2012.0,UKN0,2016,269
2013.0,UKN0,2016,340
2014.0,UKN0,2016,413
2015.0,UKN0,2016,394
2016.0,UKN0,2016,479
2017.0,UKN0,2016,487
2010.0,UKC2,2016,323
2011.0,UKC2,2016,304
2012.0,UKC2,2016,360
2013.0,UKC2,2016,463
2014.0,UKC2,2016,448
2015.0,UKC2,2016,535
2016.0,UKC2,2016,607
2017.0,UKC2,2016,577
2010.0,UKI5,2016,473
2011.0,UKI5,2016,560
2012.0,UKI5,2016,618
2013.0,UKI5,2016,850
2014.0,UKI5,2016,1027
2015.0,UKI5,2016,1196
2016.0,UKI5,2016,1312
2017.0,UKI5,2016,1372
2010.0,UKI6,2016,413
2011.0,UKI6,2016,482
2012.0,UKI6,2016,574
2013.0,UKI6,2016,642
2014.0,UKI6,2016,842
2015.0,UKI6,2016,885
2016.0,UKI6,2016,989
2017.0,UKI6,2016,1010
2010.0,UKI7,2016,1345
2011.0,UKI7,2016,1348
2012.0,UKI7,2016,1561
2013.0,UKI7,2016,1807
2014.0,UKI7,2016,2234
2015.0,UKI7,2016,2212
2016.0,UKI7,2016,2543
2017.0,UKI7,2016,2390
2010.0,UKG2,2016,370
2011.0,UKG2,2016,442
2012.0,UKG2,2016,569
2013.0,UKG2,2016,610
2014.0,UKG2,2016,630
2015.0,UKG2,2016,624
2016.0,UKG2,2016,695
2017.0,UKG2,2016,725
2010.0,UKE3,2016,270
2011.0,UKE3,2016,322
2012.0,UKE3,2016,367
2013.0,UKE3,2016,374
2014.0,UKE3,2016,419
2015.0,UKE3,2016,445
