year,nuts_id,nuts_year_spec,total_gtr_projects_all_disciplines
2010,UKC1,2010,4354809
2011,UKC1,2010,607195
2012,UKC1,2010,726770
2013,UKC1,2013,4637404
2014,UKC1,2013,2171246
2015,UKC1,2013,3856315
2016,UKC1,2016,1822131
2017,UKC1,2016,2961818
2018,UKC1,2016,17100272
2010,UKC2,2010,18486740
2011,UKC2,2010,28460622
2012,UKC2,2010,29421477
2013,UKC2,2013,46309800
2014,UKC2,2013,33467548
2015,UKC2,2013,29249817
2016,UKC2,2016,89928327
2017,UKC2,2016,49316458
2018,UKC2,2016,59849619
2011,UKD1,2010,948225
2012,UKD1,2010,1555926
2013,UKD1,2013,534164
2014,UKD1,2013,823784
2015,UKD1,2013,1343769
2016,UKD1,2016,5000
2017,UKD1,2016,1275776
2018,UKD1,2016,3041409
2010,UKD3,2010,60262488
2011,UKD3,2010,53219369
2012,UKD3,2010,113105254
2013,UKD3,2013,70715244
2014,UKD3,2013,112666267
2015,UKD3,2013,95875997
2016,UKD3,2016,234830504
2017,UKD3,2016,137006171
2018,UKD3,2016,75763149
2010,UKD4,2010,13786452
2011,UKD4,2010,6080084
2012,UKD4,2010,14917898
2013,UKD4,2013,22192358
2014,UKD4,2013,11057459
2015,UKD4,2013,31243216
2016,UKD4,2016,22755876
2017,UKD4,2016,25404099
2018,UKD4,2016,19290380
2010,UKD6,2010,699804
2011,UKD6,2010,399104
2012,UKD6,2010,3883992
2013,UKD6,2013,2886878
2014,UKD6,2013,3008033
2015,UKD6,2013,3906271
2016,UKD6,2016,1114452
2017,UKD6,2016,6309299
2018,UKD6,2016,8438257
2010,UKD7,2010,1878819
2011,UKD7,2010,7038446
2012,UKD7,2010,7544429
2013,UKD7,2013,4342329
2014,UKD7,2013,11925278
2015,UKD7,2013,12407062
2016,UKD7,2016,3851107
2017,UKD7,2016,16832553
2018,UKD7,2016,9171251
2010,UKE1,2010,2157590
2011,UKE1,2010,4681172
2012,UKE1,2010,2804957
2013,UKE1,2013,2976861
2014,UKE1,2013,5707951
2015,UKE1,2013,4988899
2016,UKE1,2016,1455434
2017,UKE1,2016,1652459
2018,UKE1,2016,3722410
2010,UKE2,2010,11191670
2011,UKE2,2010,11443811
2012,UKE2,2010,15984991
2013,UKE2,2013,23005647
2014,UKE2,2013,62697845
2015,UKE2,2013,30450200
2016,UKE2,2016,22742294
2017,UKE2,2016,29512687
2018,UKE2,2016,35462907
2010,UKE3,2010,37081198
2011,UKE3,2010,37900133
2012,UKE3,2010,45927128
2013,UKE3,2013,47538545
2014,UKE3,2013,45184644
2015,UKE3,2013,50798044
2016,UKE3,2016,94767115
2017,UKE3,2016,60383715
2018,UKE3,2016,56712853
2010,UKE4,2010,44915289
2011,UKE4,2010,35758939
2012,UKE4,2010,34499801
2013,UKE4,2013,38339603
2014,UKE4,2013,59998563
2015,UKE4,2013,44628715
2016,UKE4,2016,50996842
2017,UKE4,2016,88194763
2018,UKE4,2016,91925187
2010,UKF1,2010,26351909
2011,UKF1,2010,36642422
2012,UKF1,2010,58859684
2013,UKF1,2013,70858756
2014,UKF1,2013,64408986
2015,UKF1,2013,54948047
2016,UKF1,2016,60518368
2017,UKF1,2016,79790678
2018,UKF1,2016,54460502
2010,UKF2,2010,51049012
2011,UKF2,2010,24388569
2012,UKF2,2010,37104295
2013,UKF2,2013,48477947
2014,UKF2,2013,36871712
2015,UKF2,2013,28110354
2016,UKF2,2016,37609389
2017,UKF2,2016,29716663
2018,UKF2,2016,42741876
2010,UKF3,2010,1612704
2011,UKF3,2010,1907222
2012,UKF3,2010,930596
2013,UKF3,2013,2616256
2014,UKF3,2013,1744752
2015,UKF3,2013,834760
2016,UKF3,2016,3097616
2017,UKF3,2016,2929764
2018,UKF3,2016,9075095
2010,UKG1,2010,9433247
2011,UKG1,2010,1856851
2012,UKG1,2010,4338931
2013,UKG1,2013,4230172
2014,UKG1,2013,4139851
2015,UKG1,2013,23466387
2016,UKG1,2016,2931259
2017,UKG1,2016,31803377
2018,UKG1,2016,14363747
2010,UKG2,2010,2388926
2011,UKG2,2010,3611048
2012,UKG2,2010,3306570
2013,UKG2,2013,2963574
2014,UKG2,2013,14953851
2015,UKG2,2013,8606978
2016,UKG2,2016,4323213
2017,UKG2,2016,7780875
2018,UKG2,2016,5836902
2010,UKG3,2010,60839726
2011,UKG3,2010,48464483
2012,UKG3,2010,78778720
2013,UKG3,2013,139651627
2014,UKG3,2013,164840482
2015,UKG3,2013,72557693
2016,UKG3,2016,93983190
2017,UKG3,2016,115110744
2018,UKG3,2016,122085081
2010,UKH1,2010,156693817
2011,UKH1,2010,116563381
2012,UKH1,2010,183294811
2013,UKH1,2013,185570941
2014,UKH1,2013,187426145
2015,UKH1,2013,179988998
2016,UKH1,2016,172217392
2017,UKH1,2016,231182756
2018,UKH1,2016,224555827
2010,UKH2,2010,17799868
2011,UKH2,2010,23267178
2012,UKH2,2010,65248953
2013,UKH2,2013,20931656
2014,UKH2,2013,26531058
2015,UKH2,2013,21637912
2016,UKH2,2016,20452478
2017,UKH2,2016,44551510
2018,UKH2,2016,36848929
