year,nuts_id,nuts_year_spec,total_ukri_funding
2011,UKG1,2010,161973.94
2011,UKG2,2010,200516.57
2011,UKG3,2010,1034548.06
2011,UKH1,2010,407592.26
2011,UKH2,2010,364888.98
2011,UKH3,2010,432658.09
2011,UKI1,2010,514629.2
2011,UKI2,2010,205110.43
2011,UKJ1,2010,436996.45
2011,UKJ2,2010,414124.56
2011,UKJ3,2010,394750.63
2011,UKJ4,2010,155638.36
2011,UKK1,2010,415964.38
2011,UKK2,2010,114887.28
2011,UKK3,2010,525311.0
2011,UKK4,2010,172439.52
2011,UKL1,2010,273578.56
2011,UKL2,2010,95292.44
2011,UKM2,2010,493400.86
2011,UKM3,2010,459220.46
2011,UKM5,2010,165446.75
2011,UKM6,2010,158341.79
2011,UKN0,2010,243180.18
2012,UKC1,2010,1736550.88
2012,UKC2,2010,284625.47
2012,UKD1,2010,343074.93
2012,UKD3,2010,602078.42
2012,UKD4,2010,259131.79
2012,UKD6,2010,176065.92
2012,UKD7,2010,363610.6
2012,UKE1,2010,126495.07
2012,UKE2,2010,265181.02
2012,UKE3,2010,324702.11
2012,UKE4,2010,336840.42
2012,UKF1,2010,359315.29
2012,UKF2,2010,313983.99
2012,UKF3,2010,78838.48
2012,UKG1,2010,602521.7
2012,UKG2,2010,172633.22
2012,UKG3,2010,389375.9
2012,UKH1,2010,395851.47
2012,UKH2,2010,291596.65
2012,UKH3,2010,788393.92
2012,UKI1,2010,605582.42
2012,UKI2,2010,137097.64
2012,UKJ1,2010,379700.59
2012,UKJ2,2010,258608.61
2012,UKJ3,2010,398477.05
2012,UKJ4,2010,115497.01
2012,UKK1,2010,516190.62
2012,UKK2,2010,98288.38
2012,UKK3,2010,64115.15
2012,UKK4,2010,262659.03
2012,UKL1,2010,223356.53
2012,UKL2,2010,97098.48
2012,UKM2,2010,423235.49
2012,UKM3,2010,471838.45
2012,UKM5,2010,252299.56
2012,UKM6,2010,7543.08
2012,UKN0,2010,265725.4
2013,UKC1,2013,147119.95
2013,UKC2,2013,377993.71
2013,UKD1,2013,77018.31
2013,UKD3,2013,385002.42
2013,UKD4,2013,242531.56
2013,UKD6,2013,104885.39
2013,UKD7,2013,83476.75
2013,UKE1,2013,154567.22
2013,UKE2,2013,311310.97
2013,UKE3,2013,338165.97
2013,UKE4,2013,284054.37
2013,UKF1,2013,338377.94
2013,UKF2,2013,320246.66
2013,UKF3,2013,81952.56
2013,UKG1,2013,86522.4
2013,UKG2,2013,134544.12
2013,UKG3,2013,699495.44
2013,UKH1,2013,416908.69
2013,UKH2,2013,217906.09
2013,UKH3,2013,695260.86
2013,UKI3,2013,638532.11
2013,UKI4,2013,274521.89
2013,UKI5,2013,163715.06
2013,UKI6,2013,47195.25
2013,UKI7,2013,195454.43
2013,UKJ1,2013,478140.12
2013,UKJ2,2013,263494.71
2013,UKJ3,2013,396536.05
2013,UKJ4,2013,178634.87
2013,UKK1,2013,433486.94
2013,UKK2,2013,165054.85
2013,UKK3,2013,78957.72
2013,UKK4,2013,315725.55
2013,UKL1,2013,424666.62
2013,UKL2,2013,114605.77
2013,UKM2,2013,510029.32
2013,UKM3,2013,517381.81
2013,UKM5,2013,297921.71
2013,UKM6,2013,51000.26
2013,UKN0,2013,415733.41
2014,UKC1,2013,91991.72
2014,UKC2,2013,394766.38
2014,UKD1,2013,83816.06
2014,UKD3,2013,497830.4
2014,UKD4,2013,199274.73
2014,UKD6,2013,109146.58
2014,UKD7,2013,152848.54
2014,UKE1,2013,206887.63
2014,UKE2,2013,683712.29
2014,UKE3,2013,380889.55
2014,UKE4,2013,463474.52
2014,UKF1,2013,443679.78
2014,UKF2,2013,288542.85
2014,UKF3,2013,289183.75
2014,UKG1,2013,298499.27
2014,UKG2,2013,290279.93
2014,UKG3,2013,893668.73
2014,UKH1,2013,459596.99
2014,UKH2,2013,258764.01
2014,UKH3,2013,665870.05
2014,UKI3,2013,830038.25
2014,UKI4,2013,577671.35
2014,UKI5,2013,106007.3
2014,UKI6,2013,64289.05
2014,UKI7,2013,174709.75
2014,UKJ1,2013,785906.1
2014,UKJ2,2013,290814.58
2014,UKJ3,2013,518154.79
2014,UKJ4,2013,301193.19
2014,UKK1,2013,770137.33
2014,UKK2,2013,134098.66
2014,UKK3,2013,62363.26
2014,UKK4,2013,317657.47
2014,UKL1,2013,253193.21
2014,UKL2,2013,141873.98
2014,UKM2,2013,460362.45
2014,UKM3,2013,592626.88
2014,UKM5,2013,194553.24
2014,UKM6,2013,46815.56
2014,UKN0,2013,291262.32
2015,UKC1,2013,96516.74
2015,UKC2,2013,293574.51
2015,UKD1,2013,129218.54
2015,UKD3,2013,378800.53
2015,UKD4,2013,245454.89
2015,UKD6,2013,110424.17
2015,UKD7,2013,195169.97
2015,UKE1,2013,178837.02
2015,UKE2,2013,278633.28
2015,UKE3,2013,328472.02
2015,UKE4,2013,329812.09
2015,UKF1,2013,282546.8
2015,UKF2,2013,226506.57
2015,UKF3,2013,73244.45
2015,UKG1,2013,319617.14
2015,UKG2,2013,160838.74
2015,UKG3,2013,457143.42
2015,UKH1,2013,403511.74
2015,UKH2,2013,297919.97
2015,UKH3,2013,283022.12
2015,UKI3,2013,666388.87
2015,UKI4,2013,703988.19
2015,UKI5,2013,56619.58
2015,UKI6,2013,60212.59
2015,UKI7,2013,232704.09
2015,UKJ1,2013,509285.09
2015,UKJ2,2013,205110.9
2015,UKJ3,2013,358672.42
2015,UKJ4,2013,172708.47
2015,UKK1,2013,569793.0
2015,UKK2,2013,173749.41
2015,UKK3,2013,47999.93
2015,UKK4,2013,240522.13
2015,UKL1,2013,231147.7
2015,UKL2,2013,112939.22
2015,UKM2,2013,346983.39
2015,UKM3,2013,752957.28
2015,UKM5,2013,194093.45
2015,UKM6,2013,62548.22
2015,UKN0,2013,317229.82
2016,UKC1,2016,122751.4
2016,UKC2,2016,692290.43
2016,UKD1,2016,5000.0
2016,UKD3,2016,915351.1
2016,UKD4,2016,242569.62
2016,UKD6,2016,1480324.18
2016,UKD7,2016,149735.12
2016,UKE1,2016,205396.22
2016,UKE2,2016,568507.13
2016,UKE3,2016,557816.21
2016,UKE4,2016,317851.78
2016,UKF1,2016,459274.53
2016,UKF2,2016,281081.38
2016,UKF3,2016,222557.87
2016,UKG1,2016,148434.42
2016,UKG2,2016,324337.65
2016,UKG3,2016,1130083.58
2016,UKH1,2016,357358.74
2016,UKH2,2016,438314.45
2016,UKH3,2016,1129509.8
2016,UKI3,2016,549674.59
2016,UKI4,2016,211986.1
2016,UKI5,2016,167605.05
2016,UKI6,2016,236044.72
2016,UKI7,2016,213669.35
2016,UKJ1,2016,364978.91
2016,UKJ2,2016,414135.08
2016,UKJ3,2016,470725.74
2016,UKJ4,2016,205888.92
2016,UKK1,2016,440017.07
2016,UKK2,2016,161597.62
2016,UKK3,2016,310456.05
2016,UKK4,2016,281802.91
2016,UKL1,2016,235458.9
2016,UKL2,2016,127272.2
2016,UKM5,2016,243377.56
2016,UKM6,2016,119274.77
2016,UKM7,2016,297262.27
2016,UKM8,2016,286308.26
2016,UKM9,2016,18083.35
2016,UKN0,2016,223068.74
2017,UKC1,2016,214489.51
2017,UKC2,2016,263916.81
2017,UKD1,2016,317682.68
2017,UKD3,2016,280230.02
2017,UKD4,2016,255989.87
2017,UKD6,2016,219825.01
2017,UKD7,2016,255949.42
2017,UKE1,2016,193698.46
2017,UKE2,2016,214718.63
2017,UKE3,2016,291376.27
2017,UKE4,2016,370216.03
2017,UKF1,2016,264955.59
2017,UKF2,2016,204573.4
2017,UKF3,2016,203536.47
2017,UKG1,2016,751209.78
2017,UKG2,2016,388186.09
2017,UKG3,2016,495542.49
2017,UKH1,2016,273800.55
2017,UKH2,2016,300483.97
2017,UKH3,2016,1119762.59
2017,UKI3,2016,346601.22
2017,UKI4,2016,322109.13
2017,UKI5,2016,276634.44
2017,UKI6,2016,184096.83
2017,UKI7,2016,208097.16
2017,UKJ1,2016,328308.58
2017,UKJ2,2016,245835.86
2017,UKJ3,2016,380731.67
2017,UKJ4,2016,359521.15
2017,UKK1,2016,450114.02
2017,UKK2,2016,778317.74
2017,UKK3,2016,111811.14
2017,UKK4,2016,280851.89
2017,UKL1,2016,277681.56
2017,UKL2,2016,241103.88
2017,UKM5,2016,229462.1
2017,UKM6,2016,432948.16
2017,UKM7,2016,249521.33
2017,UKM8,2016,308188.23
2017,UKM9,2016,413056.68
2017,UKN0,2016,290636.0
2018,UKC1,2016,904283.89
