year,lep_id,lep_year_spec,total_ukri_funding
2006,E37000001,-2014,238522.0
2006,E37000002,-2014,356116.15
2006,E37000003,-2014,438752.62
2006,E37000004,-2014,436463.68
2006,E37000005,-2014,11090.25
2006,E37000006,-2014,395645.74
2006,E37000007,-2014,289353.0
2006,E37000008,-2014,390869.57
2006,E37000009,-2014,222682.03
2006,E37000010,-2014,365309.56
2006,E37000011,-2014,2187412.92
2006,E37000012,-2014,274884.53
2006,E37000013,-2014,479632.92
2006,E37000014,-2014,211474.93
2006,E37000015,-2014,346369.88
2006,E37000016,-2014,232121.36
2006,E37000017,-2014,453525.53
2006,E37000018,-2014,161666.53
2006,E37000019,-2014,210635.37
2006,E37000020,-2014,650207.65
2006,E37000021,-2014,378351.51
2006,E37000022,-2014,368549.69
2006,E37000023,-2014,393898.01
2006,E37000024,-2014,288713.23
2006,E37000025,-2014,299818.16
2006,E37000026,-2014,12814.5
2006,E37000027,-2014,568584.99
2006,E37000029,-2014,354326.22
2006,E37000030,-2014,255487.83
2006,E37000031,-2014,197693.08
2006,E37000032,-2014,263815.18
2006,E37000033,-2014,572861.97
2006,E37000034,-2014,150000.0
2006,E37000035,-2014,205557.99
2006,E37000036,-2014,506378.6
2006,E37000037,-2014,337258.94
2006,E37000038,-2014,980725.34
2006,E37000039,-2014,250819.67
2006,E37000040,-2014,336378.48
2007,E37000002,-2014,298180.63
2007,E37000003,-2014,398861.35
2007,E37000004,-2014,257355.84
2007,E37000006,-2014,358966.43
2007,E37000007,-2014,166519.0
2007,E37000008,-2014,317304.26
2007,E37000009,-2014,534729.11
2007,E37000010,-2014,232642.09
2007,E37000011,-2014,1142044.5
2007,E37000012,-2014,343696.33
2007,E37000013,-2014,432054.56
2007,E37000014,-2014,84389.81
2007,E37000015,-2014,359809.92
2007,E37000016,-2014,483473.66
2007,E37000017,-2014,300197.85
2007,E37000018,-2014,196626.78
2007,E37000019,-2014,164048.88
2007,E37000020,-2014,289525.4
2007,E37000021,-2014,414871.75
2007,E37000022,-2014,273242.22
2007,E37000023,-2014,382327.69
2007,E37000024,-2014,257079.33
2007,E37000025,-2014,235344.05
2007,E37000026,-2014,162130.29
2007,E37000027,-2014,463139.25
2007,E37000029,-2014,280304.34
2007,E37000030,-2014,347868.12
2007,E37000031,-2014,405544.63
2007,E37000032,-2014,312924.59
2007,E37000033,-2014,374436.2
2007,E37000034,-2014,463976.72
2007,E37000035,-2014,359831.66
2007,E37000037,-2014,448206.76
2007,E37000038,-2014,421320.0
2007,E37000039,-2014,212721.94
2007,E37000040,-2014,322683.9
2008,E37000001,-2014,15000.0
2008,E37000002,-2014,259894.15
2008,E37000003,-2014,422921.5
2008,E37000004,-2014,328441.31
2008,E37000006,-2014,602401.6
2008,E37000008,-2014,348684.15
2008,E37000009,-2014,343142.94
2008,E37000010,-2014,292163.51
2008,E37000011,-2014,273747.53
2008,E37000012,-2014,534506.71
2008,E37000013,-2014,489259.4
2008,E37000014,-2014,559715.05
2008,E37000015,-2014,371461.17
2008,E37000016,-2014,262996.07
2008,E37000017,-2014,357161.89
2008,E37000018,-2014,126158.51
2008,E37000019,-2014,212053.06
2008,E37000020,-2014,346698.1
2008,E37000021,-2014,365221.11
2008,E37000022,-2014,388758.42
2008,E37000023,-2014,434189.06
2008,E37000024,-2014,301429.31
2008,E37000025,-2014,376252.28
2008,E37000026,-2014,1230390.08
2008,E37000027,-2014,650625.25
2008,E37000029,-2014,378028.57
2008,E37000030,-2014,526023.92
2008,E37000031,-2014,268528.98
2008,E37000032,-2014,188787.52
2008,E37000033,-2014,2433020.04
2008,E37000034,-2014,543566.4
2008,E37000035,-2014,585769.46
2008,E37000036,-2014,188321.05
2008,E37000037,-2014,381317.02
2008,E37000038,-2014,646574.56
2008,E37000039,-2014,316887.37
2008,E37000040,-2014,372199.09
2009,E37000001,-2014,86678.33
2009,E37000002,-2014,201032.07
2009,E37000003,-2014,736869.39
2009,E37000004,-2014,350938.92
2009,E37000005,-2014,18103.64
2009,E37000006,-2014,379056.39
2009,E37000007,-2014,64596.61
2009,E37000008,-2014,484271.36
2009,E37000009,-2014,65557.95
2009,E37000010,-2014,516991.84
2009,E37000011,-2014,326775.92
2009,E37000012,-2014,481663.0
2009,E37000013,-2014,532162.87
2009,E37000014,-2014,64372.04
2009,E37000015,-2014,500044.57
2009,E37000016,-2014,269336.76
2009,E37000017,-2014,532934.85
2009,E37000018,-2014,123125.83
2009,E37000019,-2014,310588.0
2009,E37000020,-2014,340839.1
2009,E37000021,-2014,312704.97
2009,E37000022,-2014,595058.27
2009,E37000023,-2014,542385.81
2009,E37000024,-2014,330968.91
2009,E37000025,-2014,485872.92
2009,E37000026,-2014,111469.49
2009,E37000027,-2014,507548.35
2009,E37000029,-2014,601973.83
2009,E37000030,-2014,238356.29
2009,E37000031,-2014,313150.83
2009,E37000032,-2014,165586.44
2009,E37000033,-2014,120217.39
2009,E37000034,-2014,76900.09
2009,E37000035,-2014,351115.05
2009,E37000036,-2014,286342.51
2009,E37000037,-2014,552245.57
2009,E37000038,-2014,0.0
2009,E37000039,-2014,280161.12
2009,E37000040,-2014,473909.53
2010,E37000001,-2014,40532.0
2010,E37000002,-2014,98628.73
2010,E37000003,-2014,155775.44
2010,E37000004,-2014,289323.58
2010,E37000005,-2014,110118.55
2010,E37000006,-2014,474180.81
2010,E37000007,-2014,114590.91
2010,E37000008,-2014,241564.18
2010,E37000009,-2014,256834.5
2010,E37000010,-2014,432608.24
2010,E37000011,-2014,312267.36
2010,E37000012,-2014,280388.98
2010,E37000013,-2014,456800.38
2010,E37000014,-2014,189591.23
2010,E37000015,-2014,371232.01
2010,E37000016,-2014,288204.98
2010,E37000017,-2014,310761.07
2010,E37000018,-2014,121297.55
2010,E37000019,-2014,239549.96
2010,E37000020,-2014,256985.69
2010,E37000021,-2014,364281.0
2010,E37000022,-2014,291155.24
2010,E37000023,-2014,362919.42
2010,E37000024,-2014,206960.59
2010,E37000025,-2014,213989.01
2010,E37000026,-2014,91510.89
2010,E37000027,-2014,1060938.97
2010,E37000029,-2014,408745.4
2010,E37000030,-2014,539794.03
2010,E37000031,-2014,186813.19
2010,E37000032,-2014,159951.79
2010,E37000033,-2014,470052.05
2010,E37000034,-2014,291163.05
2010,E37000035,-2014,322439.82
2010,E37000036,-2014,135593.5
