lep17nm,angel,convertible_note,corporate_round,debt_financing,equity_crowdfunding,grant,initial_coin_offering,non_equity_assistance,post_ipo_debt,post_ipo_equity,pre_seed,private_equity,product_crowdfunding,secondary_market,seed,series_a,series_b,series_c,series_d,series_e,series_f,series_g,series_h,series_unknown,undisclosed
Black Country,0.0,0.0,0.0,101527500.0,286250.0,1205066.04,0.0,0.0,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38387855.0,0.0
Buckinghamshire Thames Valley,210000.0,0.0,0.0,5250000.0,1584493.0,15004520.0,0.0,0.0,0.0,6000000.0,150000.0,12000000.0,0.0,0.0,1450000.0,9189998.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,30108754.3935,253968.0
Cheshire and Warrington,1150000.0,0.0,3000000.0,1226886580.0,3687228.0,9463279.052000001,0.0,0.0,0.0,10000000.0,20000.0,412650000.0,1000000.0,0.0,7896896.0,21118650.0,11000000.0,14000000.0,0.0,0.0,0.0,0.0,0.0,118893728.0,41550000.0
Coast to Capital,335000.0,0.0,0.0,15070000.0,4760958.0,17736722.5,0.0,0.0,0.0,38300000.0,86200.0,796400000.0,0.0,220000000.0,4316953.5,15650000.0,47500000.0,4500000.0,0.0,0.0,0.0,0.0,0.0,118651957.0,5000000.0
Cornwall and Isles of Scilly,0.0,0.0,0.0,0.0,4960230.0,135335.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,943616.1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28017500.0,3800000.0
Coventry and Warwickshire,3120000.0,25000.0,0.0,63200000.0,10234138.0,12782334.37036,0.0,0.0,0.0,0.0,604880.4,200159000.0,0.0,0.0,5864000.0,13000000.0,27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,71539235.432,1850000.0
Cumbria,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574500.0,500000.0
"Derby, Derbyshire, Nottingham and Nottinghamshire",500000.0,150000.0,7000000.0,50000.0,4269600.0,22507880.026430003,0.0,0.0,0.0,2400000.0,0.0,75530000.0,50000.0,0.0,5835906.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81583347.12810001,19839600.0
Dorset,0.0,0.0,0.0,0.0,574016.0,912771.0,0.0,0.0,0.0,0.0,0.0,14743050.0,0.0,0.0,1412020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750000.0,20000000.0
Enterprise M3,1613315.0,0.0,0.0,41435000.0,14565493.0,14066211.4406,0.0,0.0,20000000.0,159800000.0,120000.0,67200000.0,0.0,0.0,14315507.0803,31571810.0,13050000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,171129897.0,807040.0
Gloucestershire,0.0,0.0,0.0,150000.0,643200.0,181994.0,0.0,9000.0,0.0,1500000.0,70000.0,4000000.0,16000.0,0.0,6165000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42895750.0,0.0
Greater Birmingham and Solihull,1290000.0,35000.0,0.0,50984400.0,2450897.0,782587685.6604,0.0,1000000.0,0.0,10000000.0,0.0,71300000.0,285000.0,0.0,9543570.0,17550000.0,58000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,187331050.0,0.0
Greater Cambridge and Greater Peterborough,11090000.0,0.0,0.0,33096500.0,15672395.0,59400300.06589,0.0,0.0,0.0,93095000.0,747633.0,628396040.0,286908.0,0.0,49476484.4,146165083.072,237550000.0,74900000.0,5000000.0,0.0,999629.25,311292.0,0.0,350100905.40000004,45786000.0
Greater Lincolnshire,0.0,61049.02895,0.0,90000000.0,165890.0,427704.55354999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16250000.0,0.0
Greater Manchester,3567500.0,173306.0,0.0,357263520.0,5543187.0,10893724.8994,8000000.0,1069810.0,0.0,21250000.0,0.0,97100000.0,61090.0,0.0,56310069.6,92800000.0,287095500.0,0.0,0.0,0.0,0.0,0.0,0.0,241199627.0,11360000.0
Heart of the South West,1621000.0,0.0,0.0,1033000.0,19294260.0,167280.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,3624406.5,2500000.0,6696160.0,0.0,0.0,0.0,0.0,0.0,0.0,22730058.626465,1500000.0
Hertfordshire,0.0,0.0,0.0,46425000.0,2188535.0,25477986.4472,0.0,0.0,0.0,150200000.0,630000.0,83150000.0,5720.22,0.0,25168593.3843,15348736.4621,7500000.0,25000000.0,0.0,0.0,0.0,0.0,0.0,28786529.0,11410000.0
Humber,0.0,0.0,0.0,90000000.0,165890.0,577704.55355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5450000.0,0.0
Lancashire,300000.0,0.0,0.0,6215000.0,3114665.0,3250706.85243,0.0,0.0,0.0,0.0,0.0,81910000.0,0.0,0.0,7266320.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22037000.0,39000000.0
Leeds City Region,1004000.0,35000.0,0.0,132040000.0,10521760.0,18475993.5,0.0,0.0,0.0,1500000.0,35550.0,55100000.0,0.0,0.0,9592125.473592,22847270.9476,13400000.0,0.0,0.0,0.0,0.0,0.0,0.0,126399325.0,500000.0
Leicester and Leicestershire,0.0,0.0,0.0,507530000.0,1521308.0,654971.2872499999,0.0,0.0,0.0,0.0,0.0,22500000.0,0.0,0.0,1732158.5,3500000.0,0.0,2130000.0,0.0,0.0,0.0,0.0,0.0,33608081.0,500000.0
Liverpool City Region,500000.0,0.0,0.0,2337000.0,971892.0,1737836.5,1833820.418,0.0,0.0,0.0,0.0,29000000.0,0.0,0.0,8330573.75,3600000.0,4100000.0,3690000.0,0.0,0.0,0.0,0.0,0.0,46125547.0,970025.0
London,206590996.0565,27997419.936325,212587345.873,6958562332.56555,393383881.22034997,201531180.0426674,1000000.0,1425201.475451,1550686750.0,1368127877.18895,18907332.810000002,3579855674.9,36793773.022182,2106000000.0,914792686.5318786,1341115884.65,978201814.0,652209102.5255,293084000.0,125100000.0,32000000.0,60000000.0,0.0,2582041275.00777,193918437.4456
New Anglia,2360000.0,0.0,5000000.0,17250000.0,1406730.0,13029328.6608,0.0,0.0,0.0,60000000.0,17633.0,24000000.0,0.0,0.0,9437344.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39380000.0,22475000.0
North East,1603100.0,12491.25,0.0,126230000.0,2425697.0,8819370.086550001,0.0,0.0,0.0,21000000.0,50000.0,80500000.0,0.0,0.0,49204231.0,6570000.0,5166118.0,0.0,12300000.0,0.0,0.0,0.0,0.0,485468320.8,944000.0
Oxfordshire,7916700.0,117075.0,0.0,148675750.0,11442677.0,147112768.35543,0.0,0.0,0.0,42150000.0,1070000.0,338568255.0,0.0,56400000.0,33337946.0,146974671.5,179050000.0,70300000.0,8020000.0,0.0,0.0,0.0,0.0,725491751.03415,27978305.6
Sheffield City Region,2825662.0,166478.0,0.0,35550000.0,3901680.0,9780005.01425,0.0,0.0,150000000.0,70700000.0,0.0,33030000.0,270814.0,0.0,6480894.9862,4215000.0,3200000.0,0.0,20000000.0,0.0,0.0,0.0,0.0,101737457.8312,14349600.0
Solent,1650000.0,450000.0,0.0,1740000.0,5270686.0,3130950.6348,0.0,0.0,0.0,0.0,31500.0,125600000.0,0.0,0.0,9697562.0,20020000.0,9227500.0,3300000.0,3000000.0,0.0,0.0,0.0,0.0,49668436.464200005,0.0
South East,200000.0,0.0,0.0,225910000.0,28245044.0,15206791.381719999,0.0,0.0,33000000.0,60000000.0,0.0,347347500.0,0.0,0.0,9079874.0,20392900.0,22000000.0,29500000.0,1000000.0,0.0,0.0,0.0,0.0,121247819.0,6395000.0
