nuts218nm,angel,convertible_note,corporate_round,debt_financing,equity_crowdfunding,grant,initial_coin_offering,non_equity_assistance,post_ipo_debt,post_ipo_equity,pre_seed,private_equity,product_crowdfunding,secondary_market,seed,series_a,series_b,series_c,series_d,series_e,series_f,series_g,series_h,series_unknown,undisclosed
Bedfordshire and Hertfordshire,150000.0,0.0,0.0,46825000.0,6551515.0,25600615.3944,0.0,0.0,0.0,150600000.0,1260000.0,96683500.0,5720.22,0.0,28358593.3843,15348736.4621,7500000.0,25000000.0,0.0,0.0,0.0,0.0,0.0,55836529.0,11410000.0
"Berkshire, Buckinghamshire and Oxfordshire",11726700.0,472208.8067,0.0,276869856.14539003,20672304.98048,176275643.28161997,0.0,0.0,0.0,1061150000.0,1348649.5529999998,532468255.0,0.0,56400000.0,50717089.6971,195276361.5,211450000.0,87100000.0,16040000.0,0.0,0.0,0.0,0.0,895314417.42765,36351838.84043001
Cheshire,1150000.0,0.0,3000000.0,1226886580.0,3687228.0,9463279.052000001,0.0,0.0,0.0,10000000.0,20000.0,412650000.0,1000000.0,0.0,7896896.0,21118650.0,11000000.0,14000000.0,0.0,0.0,0.0,0.0,0.0,118893728.0,41550000.0
Cornwall and Isles of Scilly,0.0,0.0,0.0,0.0,4960230.0,135335.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,943616.1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28017500.0,3800000.0
Cumbria,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574500.0,500000.0
Derbyshire and Nottinghamshire,500000.0,300000.0,7000000.0,75000.0,4686770.0,22820640.026430003,0.0,0.0,0.0,2400000.0,0.0,85760000.0,100000.0,0.0,6495906.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83891849.10460001,33809200.0
Devon,1621000.0,0.0,0.0,1033000.0,15698440.0,167280.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,3318450.0,2500000.0,6696160.0,0.0,0.0,0.0,0.0,0.0,0.0,22630058.626465,1500000.0
Dorset and Somerset,0.0,0.0,0.0,0.0,4169836.0,912771.0,0.0,0.0,0.0,0.0,0.0,14743050.0,0.0,0.0,1717976.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8850000.0,20000000.0
East Anglia,13450000.0,0.0,5000000.0,49846500.0,16856335.0,69106999.77949,0.0,0.0,0.0,153095000.0,135266.0,648146040.0,286908.0,0.0,58879824.4,146415083.072,237550000.0,74900000.0,5000000.0,0.0,999629.25,311292.0,0.0,363380905.40000004,68261000.0
East Wales,788140.0,0.0,0.0,122651000.0,4046117.0,1271165.5,0.0,0.0,0.0,146700000.0,0.0,39000000.0,0.0,0.0,20876077.5,7360000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,94818800.0,1785000.0
East Yorkshire and Northern Lincolnshire,0.0,0.0,0.0,180000000.0,331780.0,955409.1070999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700000.0,0.0
Eastern Scotland,10705000.0,8050000.0,0.0,7250000.0,6868066.0,47254456.40758,0.0,21118.25,0.0,0.0,1830000.0,82936000.0,757383.0,0.0,32820177.0,53190000.0,17861073.55872,4455350.0,0.0,0.0,0.0,0.0,0.0,176051281.5,12986050.0
Essex,200000.0,0.0,0.0,223610000.0,1406113.0,9448841.381719999,0.0,0.0,15000000.0,60000000.0,0.0,43697500.0,0.0,0.0,564548.0,6505000.0,22000000.0,25000000.0,0.0,0.0,0.0,0.0,0.0,72650000.0,0.0
"Gloucestershire, Wiltshire and Bath/Bristol area",3150000.0,0.0,1000000.0,5850000.0,24851002.0,50242205.17087,0.0,685000.0,0.0,17500000.0,70000.0,65020000.0,62000.0,0.0,29368235.5,12200000.0,60569200.0,35000000.0,0.0,0.0,0.0,0.0,0.0,259155250.0,9645000.0
