year,nuts_id,nuts_year_spec,gbp_venture_capital_received
2015,UKI4,2016,0
2016,UKI4,2016,5800000
2017,UKI4,2016,1800000
2018,UKI4,2016,2000000
2019,UKI4,2016,6005972
2012,UKI5,2016,0
2013,UKI5,2016,0
2014,UKI5,2016,0
2015,UKI5,2016,0
2016,UKI5,2016,0
2017,UKI5,2016,0
2018,UKI5,2016,3400000
2011,UKI6,2016,0
2012,UKI6,2016,607000
2013,UKI6,2016,0
2014,UKI6,2016,57800000
2015,UKI6,2016,1855250
2016,UKI6,2016,32000000
2017,UKI6,2016,32000000
2018,UKI6,2016,6000000
2019,UKI6,2016,0
2011,UKI7,2016,0
2012,UKI7,2016,0
2013,UKI7,2016,10800000
2014,UKI7,2016,3050000
2015,UKI7,2016,29150000
2016,UKI7,2016,26200000
2017,UKI7,2016,5000000
2018,UKI7,2016,4411900
2019,UKI7,2016,0
2011,UKJ1,2016,54515102
2012,UKJ1,2016,110781899
2013,UKJ1,2016,101090000
2014,UKJ1,2016,73848790
2015,UKJ1,2016,190962450
2016,UKJ1,2016,194238862
2017,UKJ1,2016,181068675
2018,UKJ1,2016,468410000
2019,UKJ1,2016,125451500
2011,UKJ2,2016,11881810
2012,UKJ2,2016,18250000
2013,UKJ2,2016,40150000
2014,UKJ2,2016,22300000
2015,UKJ2,2016,52735788
2016,UKJ2,2016,31900000
2017,UKJ2,2016,23800000
2018,UKJ2,2016,83701957
2019,UKJ2,2016,3200000
2011,UKJ3,2016,13750000
2012,UKJ3,2016,12449875
2013,UKJ3,2016,12713950
2014,UKJ3,2016,14967500
2015,UKJ3,2016,14578502
2016,UKJ3,2016,31730000
2017,UKJ3,2016,24370000
2018,UKJ3,2016,39035923
2019,UKJ3,2016,6000000
2011,UKJ4,2016,0
2012,UKJ4,2016,1000000
2013,UKJ4,2016,0
2014,UKJ4,2016,13953819
2015,UKJ4,2016,11500000
2016,UKJ4,2016,8830700
2017,UKJ4,2016,14420000
2018,UKJ4,2016,4266200
2019,UKJ4,2016,26589300
2011,UKK1,2016,26900000
2012,UKK1,2016,5150000
2013,UKK1,2016,14819500
2014,UKK1,2016,43581200
2015,UKK1,2016,28569200
2016,UKK1,2016,17214550
2017,UKK1,2016,121030000
2018,UKK1,2016,107660000
2019,UKK1,2016,23845000
2011,UKK2,2016,2250000
2012,UKK2,2016,0
2013,UKK2,2016,0
2014,UKK2,2016,0
2015,UKK2,2016,0
2016,UKK2,2016,0
2017,UKK2,2016,6500000
2018,UKK2,2016,100000
2019,UKK2,2016,0
2011,UKK3,2016,10000000
2012,UKK3,2016,0
2013,UKK3,2016,0
2014,UKK3,2016,2017500
2015,UKK3,2016,0
2016,UKK3,2016,0
2017,UKK3,2016,0
2018,UKK3,2016,16000000
2019,UKK3,2016,2450000
2011,UKK4,2016,0
2012,UKK4,2016,750000
2013,UKK4,2016,5058
2014,UKK4,2016,0
2015,UKK4,2016,10000000
2016,UKK4,2016,6696160
2017,UKK4,2016,2500000
2018,UKK4,2016,11875000
2019,UKK4,2016,0
2011,UKL1,2016,6000000
2012,UKL1,2016,8500000
2013,UKL1,2016,3600000
2014,UKL1,2016,7574100
2015,UKL1,2016,3500000
2016,UKL1,2016,8778995
2017,UKL1,2016,16240000
2018,UKL1,2016,17840000
2019,UKL1,2016,7250000
2011,UKL2,2016,0
2012,UKL2,2016,7095000
2013,UKL2,2016,0
2014,UKL2,2016,14200000
2015,UKL2,2016,10000000
2016,UKL2,2016,0
2017,UKL2,2016,9433800
2018,UKL2,2016,58500000
2019,UKL2,2016,1100000
2011,UKM5,2016,0
2012,UKM5,2016,17300000
2013,UKM5,2016,7850000
2014,UKM5,2016,5000000
2015,UKM5,2016,5000000
2016,UKM5,2016,3000000
2017,UKM5,2016,0
2018,UKM5,2016,0
2019,UKM5,2016,0
2011,UKM6,2016,4000000
2013,UKM6,2016,6800000
2015,UKM6,2016,0
2016,UKM6,2016,0
2017,UKM6,2016,0
2018,UKM6,2016,5000000
2011,UKM7,2016,13030000
2012,UKM7,2016,12772000
2013,UKM7,2016,13750000
2014,UKM7,2016,16571067
2015,UKM7,2016,22141507
2016,UKM7,2016,36301500
2017,UKM7,2016,74760000
2018,UKM7,2016,51321630
2019,UKM7,2016,8700000
2011,UKM8,2016,17900000
2012,UKM8,2016,7653000
2013,UKM8,2016,3537383
2014,UKM8,2016,18800000
2015,UKM8,2016,16336037
2016,UKM8,2016,15079847
2017,UKM8,2016,56300000
2018,UKM8,2016,61460000
2019,UKM8,2016,3522000
2012,UKM9,2016,4924500
2013,UKM9,2016,2000000
2014,UKM9,2016,4100000
2015,UKM9,2016,0
2016,UKM9,2016,6600000
2017,UKM9,2016,1800000
2018,UKM9,2016,4533898
2019,UKM9,2016,0
2011,UKN0,2016,0
2012,UKN0,2016,6960000
2013,UKN0,2016,0
2014,UKN0,2016,1989250
2015,UKN0,2016,1732240
2016,UKN0,2016,16600000
2017,UKN0,2016,10300000
2018,UKN0,2016,14382985
2019,UKN0,2016,10100000
