Unnamed: 0,year,nuts_id,nuts_year_spec,total_inventions
0,2013,UKC1,2013,157
6,2013,UKC2,2013,170
12,2013,UKD1,2013,43
18,2013,UKD3,2013,274
24,2013,UKD4,2013,109
30,2013,UKD6,2013,240
36,2013,UKD7,2013,195
42,2013,UKE1,2013,70
48,2013,UKE2,2013,109
54,2013,UKE3,2013,104
60,2013,UKE4,2013,195
66,2013,UKF1,2013,476
72,2013,UKF2,2013,255
78,2013,UKF3,2013,69
84,2013,UKG1,2013,231
90,2013,UKG2,2013,182
96,2013,UKG3,2013,436
102,2013,UKH1,2013,788
108,2013,UKH2,2013,411
114,2013,UKH3,2013,195
120,2013,UKI3,2013,512
126,2013,UKI4,2013,234
132,2013,UKI5,2013,51
138,2013,UKI6,2013,105
144,2013,UKI7,2013,248
150,2013,UKJ1,2013,997
156,2013,UKJ2,2013,636
162,2013,UKJ3,2013,495
168,2013,UKJ4,2013,144
174,2013,UKK1,2013,981
180,2013,UKK2,2013,154
186,2013,UKK3,2013,40
192,2013,UKK4,2013,64
198,2013,UKL1,2013,164
204,2013,UKL2,2013,159
210,2013,UKM2,2013,288
216,2013,UKM3,2013,118
222,2013,UKM5,2013,160
228,2013,UKM6,2013,39
234,2013,UKN0,2013,122
1,2014,UKC1,2013,162
7,2014,UKC2,2013,186
13,2014,UKD1,2013,52
19,2014,UKD3,2013,295
25,2014,UKD4,2013,144
31,2014,UKD6,2013,210
37,2014,UKD7,2013,199
43,2014,UKE1,2013,81
49,2014,UKE2,2013,110
55,2014,UKE3,2013,107
61,2014,UKE4,2013,188
67,2014,UKF1,2013,451
73,2014,UKF2,2013,245
79,2014,UKF3,2013,60
85,2014,UKG1,2013,320
91,2014,UKG2,2013,186
97,2014,UKG3,2013,423
103,2014,UKH1,2013,776
109,2014,UKH2,2013,345
115,2014,UKH3,2013,213
121,2014,UKI3,2013,598
127,2014,UKI4,2013,258
133,2014,UKI5,2013,56
139,2014,UKI6,2013,128
145,2014,UKI7,2013,285
151,2014,UKJ1,2013,897
157,2014,UKJ2,2013,702
163,2014,UKJ3,2013,505
169,2014,UKJ4,2013,154
175,2014,UKK1,2013,830
181,2014,UKK2,2013,163
187,2014,UKK3,2013,37
193,2014,UKK4,2013,49
199,2014,UKL1,2013,154
205,2014,UKL2,2013,164
211,2014,UKM2,2013,304
217,2014,UKM3,2013,142
223,2014,UKM5,2013,168
229,2014,UKM6,2013,45
235,2014,UKN0,2013,150
2,2015,UKC1,2013,152
8,2015,UKC2,2013,151
14,2015,UKD1,2013,31
20,2015,UKD3,2013,231
26,2015,UKD4,2013,120
32,2015,UKD6,2013,143
38,2015,UKD7,2013,138
44,2015,UKE1,2013,43
50,2015,UKE2,2013,96
56,2015,UKE3,2013,78
62,2015,UKE4,2013,119
