nuts_name,nuts_code,inv_nuts,appl_nuts
Tees Valley and Durham,UKC1,88,31
Northumberland and Tyne and Wear,UKC2,247,51
Cumbria,UKD1,23,10
Greater Manchester,UKD3,164,106
Lancashire,UKD4,144,67
Cheshire,UKD6,146,89
Merseyside,UKD7,177,48
East Yorkshire and Northern Lincolnshire,UKE1,34,20
North Yorkshire,UKE2,103,44
South Yorkshire,UKE3,61,41
West Yorkshire,UKE4,100,79
Derbyshire and Nottinghamshire,UKF1,592,101
"Leicestershire, Rutland and Northamptonshire",UKF2,162,107
Lincolnshire,UKF3,91,10
"Herefordshire, Worcestershire and Warwickshire",UKG1,213,148
Shropshire and Staffordshire,UKG2,175,69
West Midlands,UKG3,266,303
East Anglia,UKH1,641,381
Bedfordshire and Hertfordshire,UKH2,343,252
Essex,UKH3,179,63
Inner London - West,UKI3,503,1553
Inner London - East,UKI4,213,122
Outer London - East and North East,UKI5,80,25
Outer London - South,UKI6,59,27
Outer London - West and North West,UKI7,184,183
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,649,538
"Surrey, East and West Sussex",UKJ2,609,285
Hampshire and Isle of Wight,UKJ3,440,179
Kent,UKJ4,169,62
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,536,436
Dorset and Somerset,UKK2,125,39
Cornwall and Isles of Scilly,UKK3,21,20
Devon,UKK4,74,52
West Wales and The Valleys,UKL1,119,77
East Wales,UKL2,121,68
Eastern Scotland,UKM2,214,151
South Western Scotland,UKM3,79,53
North Eastern Scotland,UKM5,82,58
Highlands and Islands,UKM6,20,12
Northern Ireland,UKN0,135,111
