year,nuts_id,nuts_year_spec,employment_high_tech
2016,UKH2,2013,89435
2016,UKJ1,2013,179235
2016,UKD6,2013,43155
2016,UKK3,2013,9375
2016,UKD1,2013,11725
2016,UKF1,2013,75835
2016,UKK4,2013,30240
2016,UKK2,2013,37190
2016,UKH1,2013,99275
2016,UKL2,2013,39445
2016,UKE1,2013,20415
2016,UKM2,2013,66380
2016,UKH3,2013,50060
2016,UKK1,2013,122740
2016,UKD3,2013,81145
2016,UKJ3,2013,94140
2016,UKG1,2013,48120
2016,UKM6,2013,11150
2016,UKI4,2013,116110
2016,UKI3,2013,192030
2016,UKJ4,2013,46055
2016,UKD4,2013,50455
2016,UKF2,2013,45835
2016,UKF3,2013,15270
2016,UKD7,2013,32475
2016,UKM5,2013,55435
2016,UKE2,2013,26920
2016,UKC2,2013,39125
2016,UKI5,2013,30145
2016,UKI6,2013,43310
2016,UKI7,2013,73965
2016,UKG2,2013,41895
2016,UKM3,2013,65145
2016,UKE3,2013,28685
2016,UKJ2,2013,122265
2016,UKC1,2013,31420
2016,UKG3,2013,67020
2016,UKL1,2013,46120
2016,UKE4,2013,62695
2017,UKH2,2013,86760
2017,UKJ1,2013,165365
2017,UKD6,2013,48490
2017,UKK3,2013,9875
2017,UKD1,2013,11040
2017,UKF1,2013,84025
2017,UKK4,2013,31105
2017,UKK2,2013,38090
2017,UKH1,2013,103125
2017,UKL2,2013,48190
2017,UKE1,2013,20285
2017,UKM2,2013,70295
2017,UKH3,2013,51865
2017,UKK1,2013,118595
2017,UKD3,2013,86625
2017,UKJ3,2013,85145
2017,UKG1,2013,45930
2017,UKM6,2013,11760
2017,UKI4,2013,106395
2017,UKI3,2013,173100
2017,UKJ4,2013,39740
2017,UKD4,2013,52950
2017,UKF2,2013,53230
2017,UKF3,2013,17235
2017,UKD7,2013,35225
2017,UKM5,2013,31805
2017,UKE2,2013,25210
2017,UKC2,2013,39825
2017,UKI5,2013,25065
2017,UKI6,2013,35935
2017,UKI7,2013,61360
2017,UKG2,2013,39545
2017,UKM3,2013,65585
2017,UKE3,2013,30635
2017,UKJ2,2013,108610
2017,UKC1,2013,34800
2017,UKG3,2013,63515
2017,UKL1,2013,52690
2017,UKE4,2013,65240
2018,UKH2,2013,86040
2018,UKJ1,2013,168015
2018,UKD6,2013,44150
2018,UKK3,2013,9840
2018,UKD1,2013,11290
2018,UKF1,2013,83115
2018,UKK4,2013,29455
2018,UKK2,2013,36680
2018,UKH1,2013,105830
2018,UKL2,2013,37965
2018,UKE1,2013,18810
2018,UKM2,2013,76200
2018,UKH3,2013,48620
2018,UKK1,2013,114575
2018,UKD3,2013,84550
2018,UKJ3,2013,92030
2018,UKG1,2013,45295
2018,UKM6,2013,10145
2018,UKI4,2013,112635
2018,UKI3,2013,193555
2018,UKJ4,2013,44455
2018,UKD4,2013,50375
2018,UKF2,2013,51660
2018,UKF3,2013,15560
2018,UKD7,2013,32290
2018,UKM5,2013,30440
2018,UKE2,2013,24460
2018,UKC2,2013,41685
2018,UKI5,2013,26855
2018,UKI6,2013,36045
2018,UKI7,2013,63860
2018,UKG2,2013,38920
2018,UKM3,2013,68035
2018,UKE3,2013,31795
2018,UKJ2,2013,116280
2018,UKC1,2013,27580
2018,UKG3,2013,65585
2018,UKL1,2013,42615
2018,UKE4,2013,66980
2019,UKH2,2013,90295
2019,UKJ1,2013,173725
2019,UKD6,2013,47445
2019,UKK3,2013,9010
2019,UKD1,2013,12475
2019,UKF1,2013,81325
2019,UKK4,2013,27455
2019,UKK2,2013,35080
2019,UKH1,2013,111125
2019,UKL2,2013,33980
2019,UKE1,2013,20330
2019,UKM2,2013,76570
2019,UKH3,2013,52040
2019,UKK1,2013,112865
2019,UKD3,2013,94460
2019,UKJ3,2013,89655
2019,UKG1,2013,45100
2019,UKM6,2013,11150
2019,UKI4,2013,121405
2019,UKI3,2013,207080
2019,UKJ4,2013,43080
2019,UKD4,2013,56405
2019,UKF2,2013,51150
2019,UKF3,2013,13900
2019,UKD7,2013,36800
2019,UKM5,2013,34860
2019,UKE2,2013,24560
2019,UKC2,2013,42195
2019,UKI5,2013,28055
2019,UKI6,2013,35480
2019,UKI7,2013,64470
2019,UKG2,2013,39310
2019,UKM3,2013,72785
2019,UKE3,2013,33640
2019,UKJ2,2013,117535
2019,UKC1,2013,30550
2019,UKG3,2013,65745
2019,UKL1,2013,37845
2019,UKE4,2013,66795
