year,nuts_id,nuts_year_spec,location_quotient_high_tech
2016,UKH2,2013,1.2661
2016,UKJ1,2013,1.7193
2016,UKD6,2013,1.0921
2016,UKK3,2013,0.5411
2016,UKD1,2013,0.6498
2016,UKF1,2013,1.005
2016,UKK4,2013,0.7869
2016,UKK2,2013,0.8402
2016,UKH1,2013,1.1152
2016,UKL2,2013,0.92
2016,UKE1,2013,0.6667
2016,UKM2,2013,0.888
2016,UKH3,2013,0.8772
2016,UKK1,2013,1.2978
2016,UKD3,2013,0.8002
2016,UKJ3,2013,1.347
2016,UKG1,2013,0.9869
2016,UKM6,2013,0.6522
2016,UKI4,2013,1.1655
2016,UKI3,2013,1.2429
2016,UKJ4,2013,0.8163
2016,UKD4,2013,1.0121
2016,UKF2,2013,0.689
2016,UKF3,2013,0.6637
2016,UKD7,2013,0.6573
2016,UKM5,2013,2.5037
2016,UKE2,2013,0.8919
2016,UKC2,2013,0.7949
2016,UKI5,2013,0.7038
2016,UKI6,2013,1.1818
2016,UKI7,2013,1.0363
2016,UKG2,2013,0.7915
2016,UKM3,2013,0.7775
2016,UKE3,2013,0.648
2016,UKJ2,2013,1.1924
2016,UKC1,2013,0.9188
2016,UKG3,2013,0.6825
2016,UKL1,2013,0.8018
2016,UKE4,2013,0.7621
2017,UKH2,2013,1.2439
2017,UKJ1,2013,1.6766
2017,UKD6,2013,1.2751
2017,UKK3,2013,0.589
2017,UKD1,2013,0.6445
2017,UKF1,2013,1.1875
2017,UKK4,2013,0.841
2017,UKK2,2013,0.8842
2017,UKH1,2013,1.1821
2017,UKL2,2013,1.156
2017,UKE1,2013,0.6689
2017,UKM2,2013,0.9708
2017,UKH3,2013,0.9396
2017,UKK1,2013,1.3007
2017,UKD3,2013,0.863
2017,UKJ3,2013,1.2768
2017,UKG1,2013,0.9322
2017,UKM6,2013,0.7261
2017,UKI4,2013,1.0907
2017,UKI3,2013,1.1436
2017,UKJ4,2013,0.7347
2017,UKD4,2013,1.106
2017,UKF2,2013,0.8148
2017,UKF3,2013,0.7804
2017,UKD7,2013,0.7321
2017,UKM5,2013,1.5017
2017,UKE2,2013,0.8549
2017,UKC2,2013,0.8305
2017,UKI5,2013,0.5789
2017,UKI6,2013,0.9743
2017,UKI7,2013,0.8785
2017,UKG2,2013,0.7614
2017,UKM3,2013,0.8269
2017,UKE3,2013,0.7124
2017,UKJ2,2013,1.1097
2017,UKC1,2013,1.0361
2017,UKG3,2013,0.6549
2017,UKL1,2013,0.9718
2017,UKE4,2013,0.8096
2018,UKH2,2013,1.231
2018,UKJ1,2013,1.6797
2018,UKD6,2013,1.1734
2018,UKK3,2013,0.5862
2018,UKD1,2013,0.648
2018,UKF1,2013,1.1553
2018,UKK4,2013,0.7905
2018,UKK2,2013,0.8395
2018,UKH1,2013,1.2139
2018,UKL2,2013,0.8924
2018,UKE1,2013,0.6262
2018,UKM2,2013,1.0384
2018,UKH3,2013,0.872
2018,UKK1,2013,1.2453
2018,UKD3,2013,0.8234
2018,UKJ3,2013,1.3731
2018,UKG1,2013,0.9388
2018,UKM6,2013,0.6225
2018,UKI4,2013,1.1326
2018,UKI3,2013,1.263
2018,UKJ4,2013,0.8235
2018,UKD4,2013,1.04
2018,UKF2,2013,0.7867
2018,UKF3,2013,0.7084
2018,UKD7,2013,0.664
2018,UKM5,2013,1.4439
2018,UKE2,2013,0.8429
2018,UKC2,2013,0.8782
2018,UKI5,2013,0.6291
2018,UKI6,2013,1.0195
2018,UKI7,2013,0.9496
2018,UKG2,2013,0.7512
2018,UKM3,2013,0.8468
2018,UKE3,2013,0.7346
2018,UKJ2,2013,1.1845
2018,UKC1,2013,0.8484
2018,UKG3,2013,0.6763
2018,UKL1,2013,0.7679
2018,UKE4,2013,0.8203
2019,UKH2,2013,1.2685
2019,UKJ1,2013,1.6788
2019,UKD6,2013,1.214
2019,UKK3,2013,0.5178
2019,UKD1,2013,0.7048
2019,UKF1,2013,1.1069
2019,UKK4,2013,0.7119
2019,UKK2,2013,0.791
2019,UKH1,2013,1.2391
2019,UKL2,2013,0.7926
2019,UKE1,2013,0.668
2019,UKM2,2013,1.0328
2019,UKH3,2013,0.9248
2019,UKK1,2013,1.1863
2019,UKD3,2013,0.8931
2019,UKJ3,2013,1.3009
2019,UKG1,2013,0.8973
2019,UKM6,2013,0.6557
2019,UKI4,2013,1.1826
2019,UKI3,2013,1.2965
2019,UKJ4,2013,0.7712
2019,UKD4,2013,1.1296
2019,UKF2,2013,0.7562
2019,UKF3,2013,0.6113
2019,UKD7,2013,0.7204
2019,UKM5,2013,1.6455
2019,UKE2,2013,0.8147
2019,UKC2,2013,0.8609
2019,UKI5,2013,0.6379
2019,UKI6,2013,0.9832
2019,UKI7,2013,0.9221
2019,UKG2,2013,0.7397
2019,UKM3,2013,0.895
2019,UKE3,2013,0.7589
2019,UKJ2,2013,1.166
2019,UKC1,2013,0.8894
2019,UKG3,2013,0.6663
2019,UKL1,2013,0.6742
2019,UKE4,2013,0.8018
