year,nuts_id,nuts_year_spec,employment_culture_entertainment_recreation
2016,UKH2,2013,39390
2016,UKJ1,2013,53725
2016,UKD6,2013,18320
2016,UKK3,2013,10435
2016,UKD1,2013,8555
2016,UKF1,2013,28875
2016,UKK4,2013,19245
2016,UKK2,2013,23120
2016,UKH1,2013,54900
2016,UKL2,2013,20970
2016,UKE1,2013,12555
2016,UKM2,2013,50110
2016,UKH3,2013,28360
2016,UKK1,2013,48145
2016,UKD3,2013,44460
2016,UKJ3,2013,42045
2016,UKG1,2013,27045
2016,UKM6,2013,13810
2016,UKI4,2013,54400
2016,UKI3,2013,82575
2016,UKJ4,2013,28050
2016,UKD4,2013,23245
2016,UKF2,2013,30355
2016,UKF3,2013,8700
2016,UKD7,2013,25785
2016,UKM5,2013,12440
2016,UKE2,2013,17935
2016,UKC2,2013,29790
2016,UKI5,2013,22850
2016,UKI6,2013,20315
2016,UKI7,2013,43895
2016,UKG2,2013,35555
2016,UKM3,2013,46100
2016,UKE3,2013,20250
2016,UKJ2,2013,69670
2016,UKC1,2013,16805
2016,UKG3,2013,49150
2016,UKL1,2013,28155
2016,UKE4,2013,37385
2017,UKH2,2013,37640
2017,UKJ1,2013,60460
2017,UKD6,2013,20190
2017,UKK3,2013,11185
2017,UKD1,2013,9340
2017,UKF1,2013,30650
2017,UKK4,2013,20745
2017,UKK2,2013,23970
2017,UKH1,2013,51500
2017,UKL2,2013,22940
2017,UKE1,2013,12355
2017,UKM2,2013,50465
2017,UKH3,2013,27050
2017,UKK1,2013,49385
2017,UKD3,2013,49900
2017,UKJ3,2013,44675
2017,UKG1,2013,28500
2017,UKM6,2013,13605
2017,UKI4,2013,56665
2017,UKI3,2013,85000
2017,UKJ4,2013,30980
2017,UKD4,2013,26745
2017,UKF2,2013,31875
2017,UKF3,2013,9935
2017,UKD7,2013,31345
2017,UKM5,2013,12815
2017,UKE2,2013,18435
2017,UKC2,2013,26180
2017,UKI5,2013,24375
2017,UKI6,2013,20685
2017,UKI7,2013,43635
2017,UKG2,2013,36265
2017,UKM3,2013,47250
2017,UKE3,2013,20590
2017,UKJ2,2013,72795
2017,UKC1,2013,16420
2017,UKG3,2013,47825
2017,UKL1,2013,28825
2017,UKE4,2013,37990
2018,UKH2,2013,33570
2018,UKJ1,2013,56550
2018,UKD6,2013,20130
2018,UKK3,2013,11755
2018,UKD1,2013,9945
2018,UKF1,2013,40710
2018,UKK4,2013,23320
2018,UKK2,2013,26775
2018,UKH1,2013,48825
2018,UKL2,2013,22130
2018,UKE1,2013,12020
2018,UKM2,2013,53175
2018,UKH3,2013,24425
2018,UKK1,2013,56055
2018,UKD3,2013,52415
2018,UKJ3,2013,42570
2018,UKG1,2013,26825
2018,UKM6,2013,14280
2018,UKI4,2013,60905
2018,UKI3,2013,85875
2018,UKJ4,2013,28815
2018,UKD4,2013,25480
2018,UKF2,2013,39500
2018,UKF3,2013,12040
2018,UKD7,2013,29190
2018,UKM5,2013,14140
2018,UKE2,2013,18465
2018,UKC2,2013,26150
2018,UKI5,2013,26470
2018,UKI6,2013,21245
2018,UKI7,2013,41490
2018,UKG2,2013,32540
2018,UKM3,2013,50925
2018,UKE3,2013,20125
2018,UKJ2,2013,67220
2018,UKC1,2013,16185
2018,UKG3,2013,44975
2018,UKL1,2013,28050
2018,UKE4,2013,38545
2018,UKH2,2013,33570
2018,UKJ1,2013,56550
2018,UKD6,2013,20130
2018,UKK3,2013,11755
2018,UKD1,2013,9945
2018,UKF1,2013,40710
2018,UKK4,2013,23320
2018,UKK2,2013,26775
2018,UKH1,2013,48825
2018,UKL2,2013,22130
2018,UKE1,2013,12020
2018,UKM2,2013,53175
2018,UKH3,2013,24425
2018,UKK1,2013,56055
2018,UKD3,2013,52415
2018,UKJ3,2013,42570
2018,UKG1,2013,26825
2018,UKM6,2013,14280
2018,UKI4,2013,60905
2018,UKI3,2013,85875
2018,UKJ4,2013,28815
2018,UKD4,2013,25480
2018,UKF2,2013,39500
2018,UKF3,2013,12040
2018,UKD7,2013,29190
2018,UKM5,2013,14140
2018,UKE2,2013,18465
2018,UKC2,2013,26150
2018,UKI5,2013,26470
2018,UKI6,2013,21245
2018,UKI7,2013,41490
2018,UKG2,2013,32540
2018,UKM3,2013,50925
2018,UKE3,2013,20125
2018,UKJ2,2013,67220
2018,UKC1,2013,16185
2018,UKG3,2013,44975
2018,UKL1,2013,28050
2018,UKE4,2013,38545
