year,lep_id,lep_year_spec,economic_complexity_index
2019,UKM66,2013,-0.045
2019,UKN01,2013,0.0513
2019,UKN02,2013,-0.0338
2019,UKN03,2013,-0.0655
2019,UKN04,2013,-0.0693
2019,UKN05,2013,-0.0725
2018,UKC11,2013,-0.0325
2018,UKC12,2013,-0.0327
2018,UKC13,2013,-0.053
2018,UKC14,2013,-0.0461
2018,UKC21,2013,-0.0527
2018,UKC22,2013,-0.0243
2018,UKC23,2013,-0.0344
2018,UKD11,2013,-0.0602
2018,UKD12,2013,-0.0424
2018,UKD33,2013,0.149
2018,UKD34,2013,0.0912
2018,UKD35,2013,-0.0166
2018,UKD36,2013,-0.0368
2018,UKD37,2013,-0.0228
2018,UKD41,2013,0.0036
2018,UKD42,2013,-0.0339
2018,UKD44,2013,-0.0575
2018,UKD45,2013,-0.0249
2018,UKD46,2013,-0.0411
2018,UKD47,2013,-0.043
2018,UKD61,2013,-0.0047
2018,UKD62,2013,0.0731
2018,UKD63,2013,0.0284
2018,UKD71,2013,-0.0267
2018,UKD72,2013,0.0401
2018,UKD73,2013,-0.0239
2018,UKD74,2013,-0.0266
2018,UKE11,2013,-0.0533
2018,UKE12,2013,-0.0507
2018,UKE13,2013,-0.0594
2018,UKE21,2013,0.0149
2018,UKE22,2013,-0.0455
2018,UKE31,2013,-0.0525
2018,UKE32,2013,-0.0249
2018,UKE41,2013,-0.0273
2018,UKE42,2013,0.0419
2018,UKE44,2013,-0.0477
2018,UKE45,2013,-0.0511
2018,UKF11,2013,-0.0152
2018,UKF12,2013,-0.0435
2018,UKF13,2013,-0.0595
2018,UKF14,2013,0.0415
2018,UKF15,2013,-0.0409
2018,UKF16,2013,0.0282
2018,UKF21,2013,0.0041
2018,UKF22,2013,-0.0047
2018,UKF24,2013,0.0062
2018,UKF25,2013,-0.0435
2018,UKF30,2013,-0.0663
2018,UKG11,2013,-0.0245
2018,UKG12,2013,-0.0152
2018,UKG13,2013,0.0094
2018,UKG21,2013,-0.0372
2018,UKG22,2013,-0.0675
2018,UKG23,2013,-0.0435
2018,UKG24,2013,-0.0508
2018,UKG31,2013,0.0024
2018,UKG32,2013,0.0906
2018,UKG33,2013,-0.0048
2018,UKG36,2013,-0.0403
2018,UKG37,2013,-0.0403
2018,UKG38,2013,-0.0391
2018,UKG39,2013,-0.0437
2018,UKH11,2013,-0.0039
2018,UKH12,2013,0.017
2018,UKH14,2013,-0.0445
2018,UKH15,2013,-0.0473
2018,UKH16,2013,-0.0454
2018,UKH17,2013,-0.0522
2018,UKH21,2013,0.0445
2018,UKH23,2013,0.1182
2018,UKH24,2013,0.0387
2018,UKH25,2013,-0.0034
2018,UKH31,2013,0.0193
2018,UKH32,2013,-0.0444
2018,UKH34,2013,-0.0411
2018,UKH35,2013,0.0651
2018,UKH36,2013,0.0293
2018,UKH37,2013,-0.0047
2018,UKI31,2013,0.2039
2018,UKI32,2013,0.1686
2018,UKI33,2013,0.1733
2018,UKI34,2013,0.2145
2018,UKI41,2013,0.203
2018,UKI42,2013,0.1534
2018,UKI43,2013,0.2056
2018,UKI44,2013,0.1726
2018,UKI45,2013,0.21
2018,UKI51,2013,0.0958
2018,UKI52,2013,0.0098
2018,UKI53,2013,0.1555
2018,UKI54,2013,0.1281
2018,UKI61,2013,0.1685
2018,UKI62,2013,0.119
2018,UKI63,2013,0.1615
2018,UKI71,2013,0.1717
2018,UKI72,2013,0.1755
2018,UKI73,2013,0.1686
2018,UKI74,2013,0.1471
2018,UKI75,2013,0.1817
2018,UKJ11,2013,0.0823
2018,UKJ12,2013,0.0495
2018,UKJ13,2013,0.1121
2018,UKJ14,2013,0.0481
2018,UKJ21,2013,0.1461
2018,UKJ22,2013,0.0302
2018,UKJ25,2013,0.1509
2018,UKJ26,2013,0.1243
2018,UKJ27,2013,-0.0173
2018,UKJ28,2013,0.0738
2018,UKJ31,2013,-0.0318
2018,UKJ32,2013,-0.0044
2018,UKJ34,2013,-0.032
2018,UKJ35,2013,-0.0145
2018,UKJ36,2013,0.0216
2018,UKJ37,2013,0.0775
2018,UKJ41,2013,-0.0369
2018,UKJ43,2013,-0.0335
2018,UKJ44,2013,-0.0168
2018,UKJ45,2013,0.0183
2018,UKJ46,2013,0.0907
2018,UKK11,2013,0.089
2018,UKK12,2013,0.0173
2018,UKK13,2013,-0.013
2018,UKK14,2013,0.0172
2018,UKK15,2013,0.0204
2018,UKK21,2013,0.0166
2018,UKK22,2013,-0.0363
2018,UKK23,2013,-0.0596
2018,UKK30,2013,-0.0467
2018,UKK41,2013,-0.0104
2018,UKK42,2013,-0.0148
2018,UKK43,2013,-0.0387
2018,UKL11,2013,-0.0644
2018,UKL12,2013,-0.0547
2018,UKL13,2013,-0.0509
2018,UKL14,2013,-0.0671
2018,UKL15,2013,-0.0473
2018,UKL16,2013,-0.0555
2018,UKL17,2013,-0.047
2018,UKL18,2013,-0.0026
2018,UKL21,2013,-0.0327
2018,UKL22,2013,0.0736
2018,UKL23,2013,-0.0544
2018,UKL24,2013,-0.0713
2018,UKM21,2013,-0.0495
2018,UKM22,2013,-0.0422
2018,UKM23,2013,-0.0348
2018,UKM24,2013,-0.0548
2018,UKM25,2013,0.1004
2018,UKM26,2013,-0.0592
2018,UKM27,2013,-0.0472
2018,UKM28,2013,-0.0309
2018,UKM31,2013,-0.0267
2018,UKM32,2013,-0.0744
2018,UKM33,2013,-0.0502
2018,UKM34,2013,0.0509
2018,UKM35,2013,-0.036
2018,UKM36,2013,-0.0415
2018,UKM37,2013,-0.0542
2018,UKM38,2013,-0.0558
