year,nuts_id,nuts_year_spec,economic_complexity_index
2019,UKC1,2013,-0.0832
2019,UKC2,2013,-0.0885
2019,UKD1,2013,-0.0772
2019,UKD3,2013,0.0838
2019,UKD4,2013,-0.071
2019,UKD6,2013,0.0154
2019,UKD7,2013,-0.0036
2019,UKE1,2013,-0.1225
2019,UKE2,2013,-0.0911
2019,UKE3,2013,-0.0881
2019,UKE4,2013,-0.0233
2019,UKF1,2013,-0.0748
2019,UKF2,2013,-0.0121
2019,UKF3,2013,-0.1312
2019,UKG1,2013,-0.0331
2019,UKG2,2013,-0.1029
2019,UKG3,2013,0.0049
2019,UKH1,2013,-0.0631
2019,UKH2,2013,0.2122
2019,UKH3,2013,0.0266
2019,UKI3,2013,0.3411
2019,UKI4,2013,0.3578
2019,UKI5,2013,0.2664
2019,UKI6,2013,0.3936
2019,UKI7,2013,0.4058
2019,UKJ1,2013,0.2376
2019,UKJ2,2013,0.2889
2019,UKJ3,2013,0.0404
2019,UKJ4,2013,0.0154
2019,UKK1,2013,0.0667
2019,UKK2,2013,-0.085
2019,UKK3,2013,-0.0929
2019,UKK4,2013,-0.0752
2019,UKL1,2013,-0.1095
2019,UKL2,2013,-0.0468
2019,UKM2,2013,-0.0381
2019,UKM3,2013,-0.1124
2019,UKM5,2013,-0.0491
2019,UKM6,2013,-0.0756
2019,UKN0,2013,-0.1094
2018,UKC1,2013,-0.1017
2018,UKC2,2013,-0.0781
2018,UKD1,2013,-0.103
2018,UKD3,2013,0.0681
2018,UKD4,2013,-0.0769
2018,UKD6,2013,0.0814
2018,UKD7,2013,-0.0054
2018,UKE1,2013,-0.1104
2018,UKE2,2013,-0.0898
2018,UKE3,2013,-0.0903
2018,UKE4,2013,-0.0155
2018,UKF1,2013,-0.0591
2018,UKF2,2013,-0.0056
2018,UKF3,2013,-0.1216
2018,UKG1,2013,0.0083
2018,UKG2,2013,-0.0963
2018,UKG3,2013,-0.0052
2018,UKH1,2013,-0.054
2018,UKH2,2013,0.2333
2018,UKH3,2013,-0.0086
2018,UKI3,2013,0.3413
2018,UKI4,2013,0.3628
2018,UKI5,2013,0.2495
2018,UKI6,2013,0.3754
2018,UKI7,2013,0.4304
2018,UKJ1,2013,0.215
2018,UKJ2,2013,0.2801
2018,UKJ3,2013,0.066
2018,UKJ4,2013,0.0113
2018,UKK1,2013,0.0153
2018,UKK2,2013,-0.0746
2018,UKK3,2013,-0.0882
2018,UKK4,2013,-0.0714
2018,UKL1,2013,-0.1115
2018,UKL2,2013,-0.0779
2018,UKM2,2013,-0.08
2018,UKM3,2013,-0.1073
2018,UKM5,2013,-0.042
2018,UKM6,2013,-0.0824
2018,UKN0,2013,-0.1124
2017,UKC1,2013,-0.1127
2017,UKC2,2013,-0.0907
2017,UKD1,2013,-0.0882
2017,UKD3,2013,0.0577
2017,UKD4,2013,-0.0537
2017,UKD6,2013,0.0893
2017,UKD7,2013,-0.0207
2017,UKE1,2013,-0.1119
2017,UKE2,2013,-0.1107
2017,UKE3,2013,-0.0701
2017,UKE4,2013,-0.005
2017,UKF1,2013,-0.0533
2017,UKF2,2013,-0.0172
2017,UKF3,2013,-0.1363
2017,UKG1,2013,-0.0425
2017,UKG2,2013,-0.0742
2017,UKG3,2013,0.0103
2017,UKH1,2013,-0.0451
2017,UKH2,2013,0.2361
2017,UKH3,2013,0.0477
2017,UKI3,2013,0.3585
2017,UKI4,2013,0.3541
2017,UKI5,2013,0.229
2017,UKI6,2013,0.3723
2017,UKI7,2013,0.3988
2017,UKJ1,2013,0.2388
2017,UKJ2,2013,0.2694
2017,UKJ3,2013,0.0535
2017,UKJ4,2013,0.0249
2017,UKK1,2013,0.0571
2017,UKK2,2013,-0.0713
2017,UKK3,2013,-0.1133
2017,UKK4,2013,-0.0772
2017,UKL1,2013,-0.1194
2017,UKL2,2013,-0.1269
2017,UKM2,2013,-0.0746
2017,UKM3,2013,-0.1241
2017,UKM5,2013,-0.0689
2017,UKM6,2013,-0.0836
2017,UKN0,2013,-0.1023
2016,UKC1,2013,-0.1023
2016,UKC2,2013,-0.0922
2016,UKD1,2013,-0.1151
2016,UKD3,2013,0.0354
2016,UKD4,2013,-0.0792
2016,UKD6,2013,0.0942
2016,UKD7,2013,-0.0594
2016,UKE1,2013,-0.1003
2016,UKE2,2013,-0.1027
2016,UKE3,2013,-0.0673
2016,UKE4,2013,-0.0246
2016,UKF1,2013,-0.0492
2016,UKF2,2013,-0.0243
2016,UKF3,2013,-0.1469
2016,UKG1,2013,-0.0037
2016,UKG2,2013,-0.071
2016,UKG3,2013,-0.0065
2016,UKH1,2013,-0.0358
2016,UKH2,2013,0.2465
2016,UKH3,2013,0.0614
2016,UKI3,2013,0.312
2016,UKI4,2013,0.4019
2016,UKI5,2013,0.2194
2016,UKI6,2013,0.3652
2016,UKI7,2013,0.3967
2016,UKJ1,2013,0.2101
2016,UKJ2,2013,0.276
2016,UKJ3,2013,0.073
2016,UKJ4,2013,0.0439
2016,UKK1,2013,0.0392
2016,UKK2,2013,-0.0489
2016,UKK3,2013,-0.1227
2016,UKK4,2013,-0.0741
2016,UKL1,2013,-0.1311
2016,UKL2,2013,-0.1226
2016,UKM2,2013,-0.086
2016,UKM3,2013,-0.1247
2016,UKM5,2013,-0.0482
2016,UKM6,2013,-0.0839
2016,UKN0,2013,-0.1109
