year,lep_id,lep_year_spec,employment_culture_entertainment_recreation
2016,E37000001,2017,20930
2016,E37000002,2017,9985
2016,E37000003,2017,18320
2016,E37000004,2017,39975
2016,E37000005,2017,10435
2016,E37000006,2017,16840
2016,E37000007,2017,8555
2016,E37000008,2017,28875
2016,E37000009,2017,13920
2016,E37000010,2017,46035
2016,E37000011,2017,11315
2016,E37000012,2017,41710
2016,E37000042,2017,35510
2016,E37000014,2017,13230
2016,E37000015,2017,44460
2016,E37000016,2017,28590
2016,E37000017,2017,26220
2016,E37000018,2017,12555
2016,E37000019,2017,23245
2016,E37000020,2017,50850
2016,E37000021,2017,18340
2016,E37000022,2017,25785
2016,E37000023,2017,224500
2016,E37000024,2017,34150
2016,E37000025,2017,37890
2016,E37000027,2017,14360
2016,E37000040,2017,26460
2016,E37000029,2017,22070
2016,E37000030,2017,66745
2016,E37000041,2017,37310
2016,E37000032,2017,27870
2016,E37000033,2017,15390
2016,E37000034,2017,9580
2016,E37000035,2017,22010
2016,E37000036,2017,12350
2016,E37000037,2017,20045
2016,E37000038,2017,10950
2016,E37000039,2017,21620
2017,E37000001,2017,20685
2017,E37000002,2017,11950
2017,E37000003,2017,20190
2017,E37000004,2017,41805
2017,E37000005,2017,11185
2017,E37000006,2017,18200
2017,E37000007,2017,9340
2017,E37000008,2017,30650
2017,E37000009,2017,14925
2017,E37000010,2017,47655
2017,E37000011,2017,11155
2017,E37000012,2017,35880
2017,E37000042,2017,35830
2017,E37000014,2017,14235
2017,E37000015,2017,49900
2017,E37000016,2017,30200
2017,E37000017,2017,26145
2017,E37000018,2017,12355
2017,E37000019,2017,26745
2017,E37000020,2017,50800
2017,E37000021,2017,18665
2017,E37000022,2017,31345
2017,E37000023,2017,231850
2017,E37000024,2017,31490
2017,E37000025,2017,33235
2017,E37000027,2017,16210
2017,E37000040,2017,25935
2017,E37000029,2017,24200
2017,E37000030,2017,68625
2017,E37000041,2017,38330
2017,E37000032,2017,26260
2017,E37000033,2017,15030
2017,E37000034,2017,9605
2017,E37000035,2017,26100
2017,E37000036,2017,12960
2017,E37000037,2017,22415
2017,E37000038,2017,12635
2017,E37000039,2017,21615
2018,E37000001,2017,19110
2018,E37000002,2017,9945
2018,E37000003,2017,20130
2018,E37000004,2017,39025
2018,E37000005,2017,11755
2018,E37000006,2017,18360
2018,E37000007,2017,9945
2018,E37000008,2017,40710
2018,E37000009,2017,16695
2018,E37000010,2017,45780
2018,E37000011,2017,13125
2018,E37000012,2017,33965
2018,E37000042,2017,32775
2018,E37000014,2017,16540
2018,E37000015,2017,52415
2018,E37000016,2017,33450
2018,E37000017,2017,22190
2018,E37000018,2017,12020
2018,E37000019,2017,25480
2018,E37000020,2017,53600
2018,E37000021,2017,21150
2018,E37000022,2017,29190
2018,E37000023,2017,236250
2018,E37000024,2017,29500
2018,E37000025,2017,32450
2018,E37000027,2017,15395
2018,E37000040,2017,28645
2018,E37000029,2017,22030
2018,E37000030,2017,63600
2018,E37000041,2017,44035
2018,E37000032,2017,24405
2018,E37000033,2017,16670
2018,E37000034,2017,9555
2018,E37000035,2017,23145
2018,E37000036,2017,10705
2018,E37000037,2017,24725
2018,E37000038,2017,10695
2018,E37000039,2017,21740
2018,E37000001,2017,19110
2018,E37000002,2017,9945
2018,E37000003,2017,20130
2018,E37000004,2017,39025
2018,E37000005,2017,11755
2018,E37000006,2017,18360
2018,E37000007,2017,9945
2018,E37000008,2017,40710
2018,E37000009,2017,16695
2018,E37000010,2017,45780
2018,E37000011,2017,13125
2018,E37000012,2017,33965
2018,E37000042,2017,32775
2018,E37000014,2017,16540
2018,E37000015,2017,52415
2018,E37000016,2017,33450
2018,E37000017,2017,22190
2018,E37000018,2017,12020
2018,E37000019,2017,25480
2018,E37000020,2017,53600
2018,E37000021,2017,21150
2018,E37000022,2017,29190
2018,E37000023,2017,236250
2018,E37000024,2017,29500
2018,E37000025,2017,32450
2018,E37000027,2017,15395
2018,E37000040,2017,28645
2018,E37000029,2017,22030
2018,E37000030,2017,63600
2018,E37000041,2017,44035
2018,E37000032,2017,24405
2018,E37000033,2017,16670
2018,E37000034,2017,9555
2018,E37000035,2017,23145
2018,E37000036,2017,10705
2018,E37000037,2017,24725
2018,E37000038,2017,10695
2018,E37000039,2017,21740
