year,nuts_id,nuts_year_spec,speed
2019,UKD12,2016,37.1
2019,UKD36,2016,100.7
2019,UKD62,2016,74.5
2019,UKD63,2016,51.4
2019,UKD73,2016,81.7
2019,UKE11,2016,154.7
2019,UKE31,2016,84.3
2019,UKE32,2016,48.1
2019,UKE45,2016,38.9
2019,UKF11,2016,105.8
2019,UKF12,2016,65.8
2019,UKF14,2016,60.0
2019,UKF22,2016,69.0
2019,UKF25,2016,52.9
2019,UKG12,2016,24.5
2019,UKG13,2016,71.9
2019,UKG21,2016,99.9
2019,UKG22,2016,42.5
2019,UKG23,2016,81.3
2019,UKG24,2016,117.6
2019,UKH14,2016,63.8
2019,UKH16,2016,31.0
2019,UKH21,2016,81.2
2019,UKH23,2016,26.9
2019,UKH31,2016,40.7
2019,UKH34,2016,56.0
2019,UKI41,2016,52.1
2019,UKI45,2016,0.0
2019,UKI54,2016,75.9
2019,UKI61,2016,72.2
2019,UKI74,2016,26.8
2019,UKJ11,2016,59.5
2019,UKJ13,2016,32.3
2019,UKJ25,2016,102.7
2019,UKJ26,2016,44.6
2019,UKJ28,2016,4.5
2019,UKK13,2016,67.9
2019,UKK15,2016,50.3
2019,UKK23,2016,20.5
2019,UKK41,2016,95.3
2019,UKL17,2016,13.7
2019,UKL22,2016,100.4
2019,UKM75,2016,75.7
2019,UKM84,2016,89.85
2019,UKM92,2016,28.4
2019,UKN15,2016,65.2
