year,lep_id,lep_year_spec,broadband_download_speed_data
2015,E37000034,2014,34.226
2016,E37000034,2014,50.155
2017,E37000034,2017,63.053
2018,E37000034,2017,66.052
2019,E37000034,2017,80.588
2014,E37000035,2014,21.943
2015,E37000035,2014,26.516
2016,E37000035,2014,38.417
2017,E37000035,2017,46.692
2018,E37000035,2017,54.573
2019,E37000035,2017,66.194
2014,E37000036,2014,13.375
2015,E37000036,2014,15.964
2016,E37000036,2014,23.87
2017,E37000036,2017,30.245
2018,E37000036,2017,34.151
2019,E37000036,2017,45.191
2014,E37000037,2014,23.662
2015,E37000037,2014,29.399
2016,E37000037,2014,41.883
2017,E37000037,2017,51.103
2018,E37000037,2017,54.617
2019,E37000037,2017,69.088
2014,E37000038,2014,16.179
2015,E37000038,2014,19.099
2016,E37000038,2014,27.642
2017,E37000038,2017,33.209
2018,E37000038,2017,37.817
2019,E37000038,2017,48.314
2014,E37000039,2014,13.779
2015,E37000039,2014,16.28
2016,E37000039,2014,27.206
2017,E37000039,2017,42.33
2018,E37000039,2017,40.691
2019,E37000039,2017,53.805
2014,E37000040,2014,17.029
2015,E37000040,2014,19.999
2016,E37000040,2014,27.101
2017,E37000040,2017,34.262
2018,E37000040,2017,38.352
2019,E37000040,2017,48.713
2017,E37000041,2017,45.817
2018,E37000041,2017,51.783
2019,E37000041,2017,64.039
2017,E37000042,2017,38.801
2018,E37000042,2017,42.901
2019,E37000042,2017,54.767
