year,lep_id,lep_year_spec,collaborative_research_cash
2015,E37000001,2014,0
2015,E37000002,2014,23000
2015,E37000003,2014,0
2015,E37000004,2014,708000
2015,E37000005,2014,136000
2015,E37000006,2014,324000
2015,E37000007,2014,1000
2015,E37000008,2014,230000
2015,E37000009,2014,102000
2015,E37000010,2014,450000
2015,E37000011,2014,0
2015,E37000012,2014,65000
2015,E37000013,2014,6226000
2015,E37000014,2014,112000
2015,E37000015,2014,1198000
2015,E37000016,2014,779000
2015,E37000017,2014,205000
2015,E37000018,2014,71000
2015,E37000019,2014,431000
2015,E37000020,2014,3258000
2015,E37000021,2014,1112000
2015,E37000022,2014,2321000
2015,E37000023,2014,36148000
2015,E37000024,2014,61000
2015,E37000025,2014,3379000
2015,E37000026,2014,51000
2015,E37000027,2014,1230000
2015,E37000029,2014,664000
2015,E37000030,2014,798000
2015,E37000031,2014,952000
2015,E37000032,2014,171000
2015,E37000034,2014,1794000
2015,E37000035,2014,680000
2015,E37000036,2014,269000
2015,E37000037,2014,2925000
2015,E37000038,2014,10000
2015,E37000039,2014,560000
2015,E37000040,2014,2327000
2016,E37000001,2014,158000
2016,E37000002,2014,397000
2016,E37000003,2014,360000
2016,E37000004,2014,311000
2016,E37000005,2014,252000
2016,E37000006,2014,716000
2016,E37000007,2014,0
2016,E37000008,2014,314000
2016,E37000009,2014,215000
2016,E37000010,2014,501000
2016,E37000011,2014,0
2016,E37000012,2014,216000
2016,E37000013,2014,5191000
2016,E37000014,2014,121000
2016,E37000015,2014,1471000
2016,E37000016,2014,657000
2016,E37000017,2014,142000
2016,E37000018,2014,192000
2016,E37000019,2014,373000
2016,E37000020,2014,3117000
2016,E37000021,2014,1584000
2016,E37000022,2014,2435000
2016,E37000023,2014,43583000
2016,E37000024,2014,222000
2016,E37000025,2014,2945000
2016,E37000026,2014,55000
2016,E37000027,2014,3094000
2016,E37000029,2014,476000
2016,E37000030,2014,1035000
2016,E37000031,2014,1103000
2016,E37000032,2014,161000
2016,E37000034,2014,1607000
2016,E37000035,2014,897000
2016,E37000036,2014,509000
2016,E37000037,2014,2110000
2016,E37000038,2014,7000
2016,E37000039,2014,210000
2016,E37000040,2014,2242000
2017,E37000001,2017,32000
2017,E37000002,2017,750000
2017,E37000003,2017,0
2017,E37000004,2017,288000
2017,E37000005,2017,280000
2017,E37000006,2017,1598000
2017,E37000007,2017,0
2017,E37000008,2017,380000
2017,E37000009,2017,145000
2017,E37000010,2017,414000
2017,E37000011,2017,0
2017,E37000012,2017,247000
2017,E37000014,2017,114000
2017,E37000015,2017,2638000
2017,E37000016,2017,537000
2017,E37000017,2017,171000
2017,E37000018,2017,245000
2017,E37000019,2017,2655000
2017,E37000020,2017,3952000
2017,E37000021,2017,1532000
2017,E37000022,2017,4388000
2017,E37000023,2017,51201000
2017,E37000024,2017,503000
2017,E37000025,2017,2349000
2017,E37000027,2017,1660000
2017,E37000029,2017,464000
2017,E37000030,2017,940000
2017,E37000032,2017,116000
2017,E37000034,2017,1735000
2017,E37000035,2017,776000
2017,E37000036,2017,1568000
2017,E37000037,2017,2183000
2017,E37000038,2017,3000
2017,E37000039,2017,439000
2017,E37000040,2017,2054000
2017,E37000041,2017,1523000
2017,E37000042,2017,3055000
2018,E37000001,2017,163000
2018,E37000002,2017,173000
2018,E37000003,2017,0
2018,E37000004,2017,341000
2018,E37000005,2017,172000
2018,E37000006,2017,3224000
2018,E37000007,2017,0
2018,E37000008,2017,530000
2018,E37000009,2017,73000
2018,E37000010,2017,300000
2018,E37000011,2017,0
2018,E37000012,2017,256000
2018,E37000014,2017,139000
2018,E37000015,2017,3886000
2018,E37000016,2017,793000
2018,E37000017,2017,245000
2018,E37000018,2017,360000
2018,E37000019,2017,2426000
2018,E37000020,2017,3754000
2018,E37000021,2017,1433000
2018,E37000022,2017,5229000
2018,E37000023,2017,58046000
2018,E37000024,2017,420000
2018,E37000025,2017,1528000
2018,E37000027,2017,1048000
2018,E37000029,2017,702000
2018,E37000030,2017,1253000
2018,E37000032,2017,237000
2018,E37000034,2017,2201000
2018,E37000035,2017,642000
2018,E37000036,2017,1639000
2018,E37000037,2017,1604000
2018,E37000038,2017,0
2018,E37000039,2017,428000
2018,E37000040,2017,2347000
2018,E37000041,2017,185000
2018,E37000042,2017,7110000
