year,nuts_id,nuts_year_spec,ce_cpd_learner_days
2015,UKL15,2013,66679000.0
2015,UKL18,2013,17990000.0
2015,UKL22,2013,67425000.0
2015,UKL23,2013,14948000.0
2015,UKM21,2013,7121000.0
2015,UKM22,2013,0.0
2015,UKM23,2013,7865000.0
2015,UKM25,2013,7637000.0
2015,UKM27,2013,42929000.0
2015,UKM34,2013,18602000.0
2015,UKM35,2013,1500000.0
2015,UKM50,2013,16687000.0
2015,UKM62,2013,23032000.0
2015,UKN01,2013,16921000.0
2015,UKN04,2013,25117000.0
2016,UKC12,2016,184307000.0
2016,UKC14,2016,9457000.0
2016,UKC22,2016,59650000.0
2016,UKC23,2016,10080000.0
2016,UKD12,2016,20899000.0
2016,UKD33,2016,139592000.0
2016,UKD34,2016,34873000.0
2016,UKD36,2016,5670000.0
2016,UKD44,2016,7306000.0
2016,UKD45,2016,77580000.0
2016,UKD47,2016,5854000.0
2016,UKD63,2016,24110000.0
2016,UKD72,2016,39951000.0
2016,UKE11,2016,9510000.0
2016,UKE21,2016,14226000.0
2016,UKE32,2016,10726000.0
2016,UKE41,2016,13680000.0
2016,UKE42,2016,18927000.0
2016,UKE44,2016,2537000.0
2016,UKF11,2016,0.0
2016,UKF14,2016,29217000.0
2016,UKF21,2016,75818000.0
2016,UKF22,2016,3339000.0
2016,UKF24,2016,5100000.0
2016,UKF30,2016,45485000.0
2016,UKG12,2016,3446000.0
2016,UKG21,2016,4947000.0
2016,UKG23,2016,0.0
2016,UKG24,2016,35171000.0
2016,UKG31,2016,92673000.0
2016,UKG33,2016,215368000.0
2016,UKG39,2016,8379000.0
2016,UKH12,2016,53358000.0
2016,UKH14,2016,2838000.0
2016,UKH15,2016,22572000.0
2016,UKH21,2016,25136000.0
2016,UKH23,2016,12464000.0
2016,UKH25,2016,0.0
2016,UKH34,2016,0.0
2016,UKH36,2016,263181000.0
2016,UKI31,2016,617412000.0
2016,UKI32,2016,271025000.0
2016,UKI33,2016,0.0
2016,UKI34,2016,14810000.0
2016,UKI41,2016,6613000.0
2016,UKI42,2016,3980000.0
2016,UKI43,2016,62177000.0
2016,UKI44,2016,111725000.0
2016,UKI51,2016,11692000.0
2016,UKI63,2016,19265000.0
2016,UKI71,2016,73059000.0
2016,UKI73,2016,0.0
2016,UKI74,2016,6184000.0
2016,UKI75,2016,4377000.0
2016,UKJ11,2016,25399000.0
2016,UKJ12,2016,32859000.0
2016,UKJ13,2016,16119000.0
2016,UKJ14,2016,37475000.0
2016,UKJ21,2016,103675000.0
2016,UKJ25,2016,12674000.0
2016,UKJ27,2016,0.0
2016,UKJ31,2016,30773000.0
2016,UKJ32,2016,110781000.0
2016,UKJ36,2016,4131000.0
2016,UKJ44,2016,94969000.0
2016,UKK11,2016,4170000.0
2016,UKK12,2016,64874000.0
2016,UKK13,2016,3330000.0
2016,UKK21,2016,24006000.0
2016,UKK30,2016,691000.0
2016,UKK41,2016,7156000.0
2016,UKK43,2016,0.0
2016,UKL12,2016,52585000.0
2016,UKL14,2016,18288000.0
2016,UKL15,2016,64105000.0
2016,UKL18,2016,19989000.0
2016,UKL22,2016,107532000.0
2016,UKL23,2016,5405000.0
2016,UKM50,2016,26830000.0
2016,UKM62,2016,23120000.0
2016,UKM71,2016,5013000.0
2016,UKM72,2016,0.0
2016,UKM73,2016,8808000.0
2016,UKM75,2016,7631000.0
2016,UKM77,2016,36277000.0
2016,UKM82,2016,20974000.0
2016,UKM83,2016,1800000.0
2016,UKN06,2016,16771000.0
2016,UKN12,2016,21966000.0
2017,UKC12,2016,184546000.0
2017,UKC14,2016,9544000.0
2017,UKC22,2016,39919000.0
2017,UKC23,2016,11367000.0
2017,UKD12,2016,18343000.0
2017,UKD33,2016,267915000.0
2017,UKD34,2016,32227000.0
2017,UKD36,2016,5871000.0
2017,UKD44,2016,4660000.0
2017,UKD45,2016,67995000.0
2017,UKD47,2016,4865000.0
2017,UKD63,2016,16242000.0
2017,UKD72,2016,52979000.0
2017,UKE11,2016,5559000.0
2017,UKE21,2016,12773000.0
2017,UKE32,2016,35221000.0
2017,UKE41,2016,9286000.0
2017,UKE42,2016,37400000.0
2017,UKE44,2016,3861000.0
2017,UKF11,2016,0.0
2017,UKF14,2016,33053000.0
2017,UKF21,2016,79771000.0
2017,UKF22,2016,3460000.0
2017,UKF24,2016,5812000.0
2017,UKF30,2016,45247000.0
2017,UKG12,2016,3326000.0
2017,UKG21,2016,3989000.0
2017,UKG23,2016,0.0
2017,UKG24,2016,28621000.0
2017,UKG31,2016,69756000.0
2017,UKG33,2016,212003000.0
2017,UKG39,2016,3327000.0
2017,UKH12,2016,48854000.0
2017,UKH14,2016,2819000.0
2017,UKH15,2016,17317000.0
2017,UKH21,2016,12501000.0
2017,UKH23,2016,11820000.0
2017,UKH25,2016,25535000.0
2017,UKH34,2016,0.0
2017,UKH36,2016,188406000.0
2017,UKI31,2016,519931000.0
2017,UKI32,2016,276507000.0
2017,UKI33,2016,1045000.0
2017,UKI34,2016,23075000.0
2017,UKI41,2016,22027000.0
2017,UKI42,2016,3622000.0
2017,UKI43,2016,64814000.0
2017,UKI44,2016,59817000.0
2017,UKI51,2016,9511000.0
2017,UKI63,2016,17862000.0
2017,UKI71,2016,73962000.0
2017,UKI73,2016,3814000.0
2017,UKI74,2016,7768000.0
2017,UKI75,2016,4877000.0
2017,UKJ11,2016,24844000.0
2017,UKJ12,2016,36884000.0
2017,UKJ13,2016,12085000.0
2017,UKJ14,2016,121925000.0
2017,UKJ21,2016,81951000.0
2017,UKJ25,2016,12219000.0
2017,UKJ27,2016,0.0
2017,UKJ31,2016,40522000.0
2017,UKJ32,2016,43764000.0
2017,UKJ36,2016,2236000.0
2017,UKJ44,2016,98793000.0
2017,UKK11,2016,4213000.0
2017,UKK12,2016,66098000.0
2017,UKK13,2016,5748000.0
2017,UKK21,2016,23172000.0
2017,UKK30,2016,691000.0
2017,UKK41,2016,10431000.0
2017,UKK43,2016,0.0
2017,UKL12,2016,47779000.0
2017,UKL14,2016,17146000.0
2017,UKL15,2016,70891000.0
2017,UKL18,2016,24762000.0
2017,UKL22,2016,83126000.0
2017,UKL23,2016,11049000.0
2017,UKM50,2016,40039000.0
2017,UKM62,2016,17721000.0
2017,UKM71,2016,4924000.0
2017,UKM72,2016,0.0
2017,UKM73,2016,7800000.0
2017,UKM75,2016,7423000.0
2017,UKM77,2016,38333000.0
2017,UKM82,2016,15871000.0
2017,UKM83,2016,1500000.0
2017,UKN06,2016,24346000.0
2017,UKN12,2016,20013000.0
2018,UKC12,2016,153898000.0
2018,UKC14,2016,15834000.0
2018,UKC22,2016,42971000.0
2018,UKC23,2016,10248000.0
2018,UKD12,2016,33958000.0
2018,UKD33,2016,293540000.0
2018,UKD34,2016,22429000.0
2018,UKD36,2016,5460000.0
2018,UKD44,2016,10906000.0
2018,UKD45,2016,74835000.0
2018,UKD47,2016,5800000.0
2018,UKD63,2016,9770000.0
2018,UKD72,2016,43111000.0
2018,UKE11,2016,5904000.0
2018,UKE21,2016,35846000.0
2018,UKE32,2016,52049000.0
2018,UKE41,2016,11294000.0
2018,UKE42,2016,47006000.0
2018,UKE44,2016,2350000.0
2018,UKF11,2016,25490000.0
2018,UKF14,2016,35327000.0
2018,UKF21,2016,88059000.0
2018,UKF22,2016,3390000.0
2018,UKF24,2016,3936000.0
2018,UKF30,2016,50145000.0
2018,UKG12,2016,2076000.0
2018,UKG21,2016,4734000.0
2018,UKG23,2016,0.0
2018,UKG24,2016,31889000.0
2018,UKG31,2016,61264000.0
2018,UKG33,2016,221484000.0
2018,UKG39,2016,1072000.0
2018,UKH12,2016,56956000.0
2018,UKH14,2016,6530000.0
2018,UKH15,2016,20061000.0
2018,UKH21,2016,351000000.0
2018,UKH23,2016,15571000.0
2018,UKH25,2016,24828000.0
2018,UKH34,2016,6957000.0
2018,UKH36,2016,128609000.0
2018,UKI31,2016,498626000.0
2018,UKI32,2016,305948000.0
2018,UKI33,2016,523000.0
2018,UKI34,2016,12348000.0
2018,UKI41,2016,22298000.0
2018,UKI42,2016,5560000.0
2018,UKI43,2016,59468000.0
2018,UKI44,2016,53410000.0
2018,UKI51,2016,10488000.0
2018,UKI63,2016,14116000.0
2018,UKI71,2016,63923000.0
2018,UKI73,2016,3507000.0
2018,UKI74,2016,8149000.0
2018,UKI75,2016,4889000.0
2018,UKJ11,2016,24955000.0
2018,UKJ12,2016,37183000.0
2018,UKJ13,2016,6936000.0
2018,UKJ14,2016,106679000.0
2018,UKJ21,2016,78067000.0
2018,UKJ25,2016,13499000.0
2018,UKJ27,2016,0.0
2018,UKJ31,2016,35042000.0
2018,UKJ32,2016,109517000.0
2018,UKJ36,2016,5068000.0
2018,UKJ44,2016,106917000.0
2018,UKK11,2016,6804000.0
2018,UKK12,2016,75681000.0
2018,UKK13,2016,5882000.0
2018,UKK21,2016,19964000.0
2018,UKK30,2016,132000.0
2018,UKK41,2016,2788000.0
2018,UKK43,2016,0.0
2018,UKL12,2016,46579000.0
2018,UKL14,2016,39862000.0
2018,UKL15,2016,73926000.0
2018,UKL18,2016,18786000.0
2018,UKL22,2016,91184000.0
2018,UKL23,2016,14006000.0
2018,UKM50,2016,105507000.0
2018,UKM62,2016,7345000.0
2018,UKM71,2016,4782000.0
2018,UKM72,2016,0.0
2018,UKM73,2016,5700000.0
2018,UKM75,2016,7582000.0
2018,UKM77,2016,35064000.0
2018,UKM82,2016,15704000.0
2018,UKM83,2016,1350000.0
2018,UKN06,2016,25391000.0
2018,UKN12,2016,9475000.0
