year,nuts_id,nuts_year_spec,regeneration_development
2014,UKC12,2013,1776000.0
2014,UKC14,2013,575000.0
2014,UKC22,2013,860000.0
2014,UKC23,2013,505000.0
2014,UKD12,2013,557000.0
2014,UKD33,2013,746000.0
2014,UKD34,2013,1048000.0
2014,UKD36,2013,148000.0
2014,UKD44,2013,32357000.0
2014,UKD45,2013,1681000.0
2014,UKD47,2013,54000.0
2014,UKD63,2013,1854000.0
2014,UKD72,2013,3731000.0
2014,UKE11,2013,176000.0
2014,UKE21,2013,4071000.0
2014,UKE32,2013,2454000.0
2014,UKE41,2013,651000.0
2014,UKE42,2013,123000.0
2014,UKE44,2013,265000.0
2014,UKF11,2013,2447000.0
2014,UKF14,2013,4252000.0
2014,UKF21,2013,6086000.0
2014,UKF22,2013,3438000.0
2014,UKF24,2013,340000.0
2014,UKF30,2013,830000.0
2014,UKG12,2013,118000.0
2014,UKG21,2013,0.0
2014,UKG23,2013,112000.0
2014,UKG24,2013,594000.0
2014,UKG31,2013,22398000.0
2014,UKG33,2013,6222000.0
2014,UKG39,2013,6483000.0
2014,UKH12,2013,483000.0
2014,UKH14,2013,0.0
2014,UKH15,2013,719000.0
2014,UKH21,2013,179000.0
2014,UKH23,2013,12200000.0
2014,UKH25,2013,535000.0
2014,UKH34,2013,66000.0
2014,UKH36,2013,3555000.0
2014,UKI31,2013,1263000.0
2014,UKI32,2013,367000.0
2014,UKI33,2013,0.0
2014,UKI34,2013,206000.0
2014,UKI41,2013,157000.0
2014,UKI42,2013,0.0
2014,UKI43,2013,97000.0
2014,UKI44,2013,191000.0
2014,UKI51,2013,1737000.0
2014,UKI63,2013,44000.0
2014,UKI71,2013,139000.0
2014,UKI73,2013,0.0
2014,UKI74,2013,176000.0
2014,UKI75,2013,0.0
2014,UKJ11,2013,0.0
2014,UKJ12,2013,0.0
2014,UKJ13,2013,0.0
2014,UKJ14,2013,0.0
2014,UKJ21,2013,243000.0
2014,UKJ25,2013,692000.0
2014,UKJ27,2013,56000.0
2014,UKJ31,2013,4116000.0
2014,UKJ32,2013,1904000.0
2014,UKJ36,2013,46000.0
2014,UKJ44,2013,442000.0
2014,UKK11,2013,1000.0
2014,UKK12,2013,5248000.0
2014,UKK13,2013,927000.0
2014,UKK21,2013,151000.0
2014,UKK30,2013,1273000.0
2014,UKK41,2013,2840000.0
2014,UKK43,2013,3599000.0
2014,UKL12,2013,3906000.0
2014,UKL14,2013,5924000.0
2014,UKL15,2013,8496000.0
2014,UKL18,2013,7972000.0
2014,UKL22,2013,6826000.0
2014,UKL23,2013,582000.0
2014,UKM21,2013,418000.0
2014,UKM22,2013,499000.0
2014,UKM23,2013,0.0
2014,UKM25,2013,514000.0
2014,UKM27,2013,130000.0
2014,UKM34,2013,6577000.0
2014,UKM35,2013,0.0
2014,UKM50,2013,875000.0
2014,UKM62,2013,1264000.0
2014,UKN01,2013,5498000.0
2014,UKN04,2013,4748000.0
2015,UKC12,2013,1494000.0
2015,UKC14,2013,511000.0
2015,UKC22,2013,182000.0
2015,UKC23,2013,5844000.0
2015,UKD12,2013,39000.0
2015,UKD33,2013,1021000.0
2015,UKD34,2013,728000.0
2015,UKD36,2013,45000.0
2015,UKD44,2013,7018000.0
2015,UKD45,2013,1203000.0
2015,UKD47,2013,28000.0
2015,UKD63,2013,541000.0
2015,UKD72,2013,912000.0
2015,UKE11,2013,193000.0
2015,UKE21,2013,2510000.0
2015,UKE32,2013,1556000.0
2015,UKE41,2013,419000.0
2015,UKE42,2013,282000.0
2015,UKE44,2013,0.0
2015,UKF11,2013,9013000.0
2015,UKF14,2013,2131000.0
2015,UKF21,2013,4913000.0
2015,UKF22,2013,2030000.0
