year,nuts_id,nuts_year_spec,ip_revenue
2014,UKC1,2013,170000
2014,UKC2,2013,779000
2014,UKD1,2013,7000
2014,UKD3,2013,1780000
2014,UKD4,2013,264000
2014,UKD6,2013,0
2014,UKD7,2013,362000
2014,UKE1,2013,423000
2014,UKE2,2013,1106000
2014,UKE3,2013,1507000
2014,UKE4,2013,3798000
2014,UKF1,2013,1142000
2014,UKF2,2013,3792000
2014,UKF3,2013,52000
2014,UKG1,2013,0
2014,UKG2,2013,117000
2014,UKG3,2013,1352000
2014,UKH1,2013,26343000
2014,UKH2,2013,345000
2014,UKH3,2013,49000
2014,UKI3,2013,36682000
2014,UKI4,2013,881000
2014,UKI5,2013,290000
2014,UKI6,2013,2000
2014,UKI7,2013,20000
2014,UKJ1,2013,21230000
2014,UKJ2,2013,908000
2014,UKJ3,2013,1798000
2014,UKJ4,2013,110000
2014,UKK1,2013,2608000
2014,UKK2,2013,59000
2014,UKK3,2013,0
2014,UKK4,2013,205000
2014,UKL1,2013,391000
2014,UKL2,2013,1441000
2014,UKM2,2013,4770000
2014,UKM3,2013,1958000
2014,UKM5,2013,4064000
2014,UKM6,2013,1000
2014,UKN0,2013,34814000
2015,UKC1,2013,58000
2015,UKC2,2013,651000
2015,UKD1,2013,17000
2015,UKD3,2013,3956000
2015,UKD4,2013,307000
2015,UKD6,2013,1000
2015,UKD7,2013,525000
2015,UKE1,2013,538000
2015,UKE2,2013,1259000
2015,UKE3,2013,2110000
2015,UKE4,2013,3950000
2015,UKF1,2013,737000
2015,UKF2,2013,3128000
2015,UKF3,2013,0
2015,UKG1,2013,0
2015,UKG2,2013,625000
2015,UKG3,2013,1726000
2015,UKH1,2013,20443000
2015,UKH2,2013,512000
2015,UKH3,2013,4000
2015,UKI3,2013,76205000
2015,UKI4,2013,910000
2015,UKI5,2013,352000
2015,UKI6,2013,0
2015,UKI7,2013,12000
2015,UKJ1,2013,17630000
2015,UKJ2,2013,794000
2015,UKJ3,2013,1167000
2015,UKJ4,2013,146000
2015,UKK1,2013,991000
2015,UKK2,2013,62000
2015,UKK3,2013,0
2015,UKK4,2013,1243000
2015,UKL1,2013,290000
2015,UKL2,2013,13445000
2015,UKM2,2013,8801000
2015,UKM3,2013,1850000
2015,UKM5,2013,1766000
2015,UKM6,2013,1000
2015,UKN0,2013,9282000
2016,UKC1,2016,123000
2016,UKC2,2016,1132000
2016,UKD1,2016,5000
2016,UKD3,2016,1527000
2016,UKD4,2016,213000
2016,UKD6,2016,1000
2016,UKD7,2016,684000
2016,UKE1,2016,525000
2016,UKE2,2016,5794000
2016,UKE3,2016,4830000
2016,UKE4,2016,2010000
2016,UKF1,2016,3937000
2016,UKF2,2016,2204000
2016,UKF3,2016,0
2016,UKG1,2016,0
2016,UKG2,2016,605000
2016,UKG3,2016,2468000
2016,UKH1,2016,20692000
2016,UKH2,2016,586000
2016,UKH3,2016,2000
2016,UKI3,2016,42665000
2016,UKI4,2016,856000
2016,UKI5,2016,392000
2016,UKI6,2016,0
2016,UKI7,2016,2005000
2016,UKJ1,2016,20819000
2016,UKJ2,2016,1243000
2016,UKJ3,2016,1268000
2016,UKJ4,2016,64000
2016,UKK1,2016,1113000
2016,UKK2,2016,12000
2016,UKK3,2016,0
2016,UKK4,2016,215000
2016,UKL1,2016,384000
2016,UKL2,2016,1837000
2016,UKM5,2016,839000
2016,UKM6,2016,0
2016,UKM7,2016,10020000
2016,UKM8,2016,6167000
2016,UKN0,2016,10946000
2017,UKC1,2016,844000
2017,UKC2,2016,1821000
2017,UKD1,2016,0
2017,UKD3,2016,3943000
2017,UKD4,2016,198000
2017,UKD6,2016,0
2017,UKD7,2016,903000
2017,UKE1,2016,657000
2017,UKE2,2016,1290000
2017,UKE3,2016,12755000
2017,UKE4,2016,5031000
2017,UKF1,2016,12387000
2017,UKF2,2016,2022000
2017,UKF3,2016,0
2017,UKG1,2016,0
2017,UKG2,2016,656000
2017,UKG3,2016,1164000
2017,UKH1,2016,9621000
2017,UKH2,2016,613000
2017,UKH3,2016,3000
2017,UKI3,2016,50312000
2017,UKI4,2016,1745000
2017,UKI5,2016,283000
2017,UKI6,2016,0
2017,UKI7,2016,2497000
2017,UKJ1,2016,59835000
2017,UKJ2,2016,834000
2017,UKJ3,2016,1001000
2017,UKJ4,2016,84000
2017,UKK1,2016,1293000
2017,UKK2,2016,11000
2017,UKK3,2016,0
2017,UKK4,2016,799000
2017,UKL1,2016,863000
2017,UKL2,2016,2384000
2017,UKM5,2016,1215000
2017,UKM6,2016,0
2017,UKM7,2016,4592000
2017,UKM8,2016,2149000
2017,UKN0,2016,23522000
2018,UKC1,2016,51000
2018,UKC2,2016,26237000
2018,UKD1,2016,0
2018,UKD3,2016,2567000
2018,UKD4,2016,175000
2018,UKD6,2016,0
2018,UKD7,2016,2842000
2018,UKE1,2016,211000
2018,UKE2,2016,2190000
2018,UKE3,2016,17371000
2018,UKE4,2016,2366000
2018,UKF1,2016,1087000
2018,UKF2,2016,1808000
2018,UKF3,2016,26000
2018,UKG1,2016,0
2018,UKG2,2016,474000
2018,UKG3,2016,1111000
2018,UKH1,2016,27831000
2018,UKH2,2016,751000
2018,UKH3,2016,42000
2018,UKI3,2016,60229000
2018,UKI4,2016,2321000
2018,UKI5,2016,353000
2018,UKI6,2016,1000
2018,UKI7,2016,2609000
2018,UKJ1,2016,86882000
2018,UKJ2,2016,938000
2018,UKJ3,2016,4066000
2018,UKJ4,2016,46000
2018,UKK1,2016,5707000
2018,UKK2,2016,11000
2018,UKK3,2016,0
2018,UKK4,2016,421000
2018,UKL1,2016,952000
2018,UKL2,2016,2582000
2018,UKM5,2016,2211000
2018,UKM6,2016,0
2018,UKM7,2016,4746000
2018,UKM8,2016,2226000
2018,UKN0,2016,5779000
