year,nuts_id,nuts_year_spec,spinoff_revenue
2014,UKC12,2013,4699000.0
2014,UKC14,2013,36978000.0
2014,UKC22,2013,83537000.0
2014,UKC23,2013,749000.0
2014,UKD12,2013,235000.0
2014,UKD33,2013,33670000.0
2014,UKD34,2013,5129000.0
2014,UKD36,2013,0.0
2014,UKD44,2013,33760000.0
2014,UKD45,2013,37360000.0
2014,UKD47,2013,0.0
2014,UKD63,2013,0.0
2014,UKD72,2013,27272000.0
2014,UKE11,2013,2995000.0
2014,UKE21,2013,5464000.0
2014,UKE32,2013,0.0
2014,UKE41,2013,2312000.0
2014,UKE42,2013,57714000.0
2014,UKE44,2013,300000.0
2014,UKF11,2013,3895000.0
2014,UKF14,2013,24868000.0
2014,UKF21,2013,11795000.0
2014,UKF22,2013,103000000.0
2014,UKF24,2013,1755000.0
2014,UKF30,2013,809000.0
2014,UKG12,2013,0.0
2014,UKG21,2013,0.0
2014,UKG23,2013,644000.0
2014,UKG24,2013,412000.0
2014,UKG31,2013,31258000.0
2014,UKG33,2013,82441000.0
2014,UKG39,2013,5431000.0
2014,UKH12,2013,37713000.0
2014,UKH14,2013,0.0
2014,UKH15,2013,7086000.0
2014,UKH21,2013,15404000.0
2014,UKH23,2013,3524000.0
2014,UKH25,2013,6109000.0
2014,UKH34,2013,280000.0
2014,UKH36,2013,0.0
2014,UKI31,2013,40220000.0
2014,UKI32,2013,84047000.0
2014,UKI33,2013,3514000.0
2014,UKI34,2013,2229000.0
2014,UKI41,2013,1166000.0
2014,UKI42,2013,22472000.0
2014,UKI43,2013,27856000.0
2014,UKI44,2013,965000.0
2014,UKI51,2013,352000.0
2014,UKI63,2013,30686000.0
2014,UKI71,2013,8803000.0
2014,UKI73,2013,0.0
2014,UKI74,2013,15000.0
2014,UKI75,2013,0.0
2014,UKJ11,2013,150000.0
2014,UKJ12,2013,1648000.0
2014,UKJ13,2013,0.0
2014,UKJ14,2013,95968000.0
2014,UKJ21,2013,11187000.0
2014,UKJ25,2013,121177000.0
2014,UKJ27,2013,0.0
2014,UKJ31,2013,12470000.0
2014,UKJ32,2013,98160000.0
2014,UKJ36,2013,609000.0
2014,UKJ44,2013,2512000.0
