year,nuts_id,nuts_year_spec,consultancy_facilities_sme
2014,UKC12,2013,298000
2014,UKC14,2013,913000
2014,UKC22,2013,940000
2014,UKC23,2013,31000
2014,UKD12,2013,20000
2014,UKD33,2013,1678000
2014,UKD34,2013,1224000
2014,UKD36,2013,25000
2014,UKD44,2013,6743000
2014,UKD45,2013,2021000
2014,UKD47,2013,75000
2014,UKD63,2013,226000
2014,UKD72,2013,11318000
2014,UKE11,2013,176000
2014,UKE21,2013,3939000
2014,UKE32,2013,885000
2014,UKE41,2013,180000
2014,UKE42,2013,2459000
2014,UKE44,2013,293000
2014,UKF11,2013,595000
2014,UKF14,2013,4728000
2014,UKF21,2013,461000
2014,UKF22,2013,581000
2014,UKF24,2013,360000
2014,UKF30,2013,365000
2014,UKG12,2013,8000
2014,UKG21,2013,1000
2014,UKG23,2013,388000
2014,UKG24,2013,1544000
2014,UKG31,2013,984000
2014,UKG33,2013,4213000
2014,UKG39,2013,2929000
2014,UKH12,2013,2752000
2014,UKH14,2013,10000
2014,UKH15,2013,737000
2014,UKH21,2013,352000
2014,UKH23,2013,4036000
2014,UKH25,2013,577000
2014,UKH34,2013,182000
2014,UKH36,2013,8945000
2014,UKI31,2013,11826000
2014,UKI32,2013,3237000
2014,UKI33,2013,0
2014,UKI34,2013,57000
2014,UKI41,2013,410000
2014,UKI42,2013,496000
2014,UKI43,2013,608000
2014,UKI44,2013,1436000
2014,UKI51,2013,615000
2014,UKI63,2013,89000
2014,UKI71,2013,6000
2014,UKI73,2013,10000
2014,UKI74,2013,2196000
2014,UKI75,2013,181000
2014,UKJ11,2013,2589000
2014,UKJ12,2013,69000
2014,UKJ13,2013,14000
2014,UKJ14,2013,2173000
2014,UKJ21,2013,1823000
2014,UKJ25,2013,5199000
2014,UKJ27,2013,13000
2014,UKJ31,2013,174000
2014,UKJ32,2013,8797000
2014,UKJ36,2013,60000
2014,UKJ44,2013,402000
2014,UKK11,2013,2225000
2014,UKK12,2013,783000
2014,UKK13,2013,329000
2014,UKK21,2013,339000
2014,UKK30,2013,41000
2014,UKK41,2013,2551000
2014,UKK43,2013,842000
2014,UKL12,2013,320000
2014,UKL14,2013,18000
2014,UKL15,2013,196000
2014,UKL18,2013,270000
2014,UKL22,2013,2279000
2014,UKL23,2013,23000
2014,UKM21,2013,238000
2014,UKM22,2013,2001000
2014,UKM23,2013,2000
2014,UKM25,2013,11090000
2014,UKM27,2013,181000
2014,UKM34,2013,906000
2014,UKM35,2013,64000
2014,UKM50,2013,503000
2014,UKM62,2013,1110000
2014,UKN01,2013,1759000
2014,UKN04,2013,1715000
2015,UKC12,2013,415000
2015,UKC14,2013,813000
2015,UKC22,2013,1010000
2015,UKC23,2013,111000
2015,UKD12,2013,23000
2015,UKD33,2013,2159000
2015,UKD34,2013,1149000
2015,UKD36,2013,2000
2015,UKD44,2013,4388000
2015,UKD45,2013,540000
2015,UKD47,2013,53000
2015,UKD63,2013,433000
2015,UKD72,2013,10735000
2015,UKE11,2013,134000
2015,UKE21,2013,3382000
2015,UKE32,2013,914000
2015,UKE41,2013,149000
2015,UKE42,2013,2045000
2015,UKE44,2013,503000
2015,UKF11,2013,325000
2015,UKF14,2013,5430000
2015,UKF21,2013,434000
2015,UKF22,2013,987000
2015,UKF24,2013,239000
2015,UKF30,2013,335000
2015,UKG12,2013,23000
2015,UKG21,2013,68000
2015,UKG23,2013,416000
2015,UKG24,2013,1600000
2015,UKG31,2013,1454000
2015,UKG33,2013,4541000
2015,UKG39,2013,4021000
2015,UKH12,2013,3154000
2015,UKH14,2013,6000
2015,UKH15,2013,623000
2015,UKH21,2013,560000
2015,UKH23,2013,2935000
2015,UKH25,2013,432000
2015,UKH34,2013,282000
2015,UKH36,2013,8681000
2015,UKI31,2013,13386000
2015,UKI32,2013,2959000
2015,UKI33,2013,4000
2015,UKI34,2013,51000
2015,UKI41,2013,401000
2015,UKI42,2013,484000
2015,UKI43,2013,971000
2015,UKI44,2013,1656000
2015,UKI51,2013,695000
2015,UKI63,2013,78000
2015,UKI71,2013,11000
2015,UKI73,2013,10000
2015,UKI74,2013,2255000
2015,UKI75,2013,409000
2015,UKJ11,2013,2222000
2015,UKJ12,2013,53000
2015,UKJ13,2013,8000
2015,UKJ14,2013,3480000
2015,UKJ21,2013,1907000
2015,UKJ25,2013,6263000
2015,UKJ27,2013,35000
2015,UKJ31,2013,802000
2015,UKJ32,2013,8437000
2015,UKJ36,2013,40000
2015,UKJ44,2013,410000
2015,UKK11,2013,1915000
2015,UKK12,2013,1020000
2015,UKK13,2013,402000
2015,UKK21,2013,199000
2015,UKK30,2013,22000
2015,UKK41,2013,2368000
2015,UKK43,2013,860000
2015,UKL12,2013,306000
2015,UKL14,2013,87000
2015,UKL15,2013,139000
2015,UKL18,2013,229000
2015,UKL22,2013,1808000
2015,UKL23,2013,12000
2015,UKM21,2013,361000
2015,UKM22,2013,2341000
2015,UKM23,2013,10000
2015,UKM25,2013,16031000
2015,UKM27,2013,193000
2015,UKM34,2013,971000
2015,UKM35,2013,47000
2015,UKM50,2013,610000
2015,UKM62,2013,1044000
2015,UKN01,2013,1491000
2015,UKN04,2013,1384000
2016,UKC12,2016,438000
2016,UKC14,2016,273000
2016,UKC22,2016,1151000
2016,UKC23,2016,32000
2016,UKD12,2016,27000
2016,UKD33,2016,1919000
2016,UKD34,2016,1067000
2016,UKD36,2016,7000
2016,UKD44,2016,2236000
2016,UKD45,2016,232000
2016,UKD47,2016,44000
2016,UKD63,2016,735000
2016,UKD72,2016,10938000
2016,UKE11,2016,182000
2016,UKE21,2016,3776000
2016,UKE32,2016,1260000
2016,UKE41,2016,130000
2016,UKE42,2016,1914000
2016,UKE44,2016,837000
2016,UKF11,2016,377000
2016,UKF14,2016,6506000
2016,UKF21,2016,485000
2016,UKF22,2016,1114000
2016,UKF24,2016,223000
2016,UKF30,2016,360000
2016,UKG12,2016,34000
2016,UKG21,2016,277000
2016,UKG23,2016,502000
2016,UKG24,2016,2333000
2016,UKG31,2016,1318000
2016,UKG33,2016,4088000
2016,UKG39,2016,2761000
2016,UKH12,2016,3266000
2016,UKH14,2016,47000
2016,UKH15,2016,1397000
2016,UKH21,2016,722000
2016,UKH23,2016,2766000
2016,UKH25,2016,385000
2016,UKH34,2016,530000
2016,UKH36,2016,7378000
2016,UKI31,2016,14837000
2016,UKI32,2016,4984000
2016,UKI33,2016,0
2016,UKI34,2016,229000
2016,UKI41,2016,299000
2016,UKI42,2016,445000
2016,UKI43,2016,813000
2016,UKI44,2016,1187000
2016,UKI51,2016,764000
2016,UKI63,2016,32000
2016,UKI71,2016,10000
2016,UKI73,2016,10000
2016,UKI74,2016,1780000
2016,UKI75,2016,428000
2016,UKJ11,2016,2509000
2016,UKJ12,2016,61000
2016,UKJ13,2016,41000
2016,UKJ14,2016,5147000
2016,UKJ21,2016,2190000
2016,UKJ25,2016,6214000
2016,UKJ27,2016,109000
2016,UKJ31,2016,790000
2016,UKJ32,2016,9196000
2016,UKJ36,2016,135000
2016,UKJ44,2016,268000
2016,UKK11,2016,2670000
2016,UKK12,2016,725000
2016,UKK13,2016,251000
2016,UKK21,2016,117000
2016,UKK30,2016,35000
2016,UKK41,2016,2374000
2016,UKK43,2016,993000
2016,UKL12,2016,164000
2016,UKL14,2016,40000
2016,UKL15,2016,165000
2016,UKL18,2016,519000
2016,UKL22,2016,1771000
2016,UKL23,2016,15000
2016,UKM50,2016,508000
2016,UKM62,2016,1468000
2016,UKM71,2016,394000
2016,UKM72,2016,3042000
2016,UKM73,2016,21000
2016,UKM75,2016,16788000
2016,UKM77,2016,138000
2016,UKM82,2016,784000
2016,UKM83,2016,47000
2016,UKN06,2016,1916000
2016,UKN12,2016,1503000
2017,UKC12,2016,460000
2017,UKC14,2016,255000
2017,UKC22,2016,1349000
2017,UKC23,2016,31000
2017,UKD12,2016,31000
2017,UKD33,2016,1880000
2017,UKD34,2016,1058000
2017,UKD36,2016,1000
2017,UKD44,2016,3104000
2017,UKD45,2016,112000
2017,UKD47,2016,22000
2017,UKD63,2016,917000
2017,UKD72,2016,11203000
2017,UKE11,2016,98000
2017,UKE21,2016,2259000
2017,UKE32,2016,1380000
2017,UKE41,2016,154000
2017,UKE42,2016,2403000
2017,UKE44,2016,827000
2017,UKF11,2016,241000
2017,UKF14,2016,8900000
2017,UKF21,2016,549000
2017,UKF22,2016,1934000
2017,UKF24,2016,48000
2017,UKF30,2016,298000
2017,UKG12,2016,16000
2017,UKG21,2016,283000
2017,UKG23,2016,249000
2017,UKG24,2016,1552000
2017,UKG31,2016,2751000
2017,UKG33,2016,4337000
2017,UKG39,2016,894000
2017,UKH12,2016,3242000
2017,UKH14,2016,9000
2017,UKH15,2016,896000
2017,UKH21,2016,727000
2017,UKH23,2016,3083000
2017,UKH25,2016,421000
2017,UKH34,2016,450000
2017,UKH36,2016,348000
2017,UKI31,2016,14436000
2017,UKI32,2016,5279000
2017,UKI33,2016,0
2017,UKI34,2016,198000
2017,UKI41,2016,242000
2017,UKI42,2016,573000
2017,UKI43,2016,728000
2017,UKI44,2016,1429000
2017,UKI51,2016,766000
2017,UKI63,2016,5000
2017,UKI71,2016,73000
2017,UKI73,2016,319000
2017,UKI74,2016,1620000
2017,UKI75,2016,288000
2017,UKJ11,2016,4094000
2017,UKJ12,2016,25000
2017,UKJ13,2016,139000
2017,UKJ14,2016,6073000
2017,UKJ21,2016,2447000
2017,UKJ25,2016,6598000
2017,UKJ27,2016,46000
2017,UKJ31,2016,726000
2017,UKJ32,2016,9528000
2017,UKJ36,2016,98000
2017,UKJ44,2016,337000
2017,UKK11,2016,2142000
2017,UKK12,2016,535000
2017,UKK13,2016,1287000
2017,UKK21,2016,112000
2017,UKK30,2016,28000
2017,UKK41,2016,2933000
2017,UKK43,2016,720000
2017,UKL12,2016,150000
2017,UKL14,2016,74000
2017,UKL15,2016,120000
2017,UKL18,2016,444000
2017,UKL22,2016,1333000
2017,UKL23,2016,0
2017,UKM50,2016,702000
2017,UKM62,2016,1282000
2017,UKM71,2016,403000
2017,UKM72,2016,2485000
2017,UKM73,2016,0
2017,UKM75,2016,14942000
2017,UKM77,2016,193000
2017,UKM82,2016,841000
2017,UKM83,2016,137000
2017,UKN06,2016,1747000
2017,UKN12,2016,1590000
2018,UKC12,2016,494000
2018,UKC14,2016,321000
2018,UKC22,2016,992000
2018,UKC23,2016,33000
2018,UKD12,2016,35000
2018,UKD33,2016,1654000
2018,UKD34,2016,914000
2018,UKD36,2016,4000
2018,UKD44,2016,3404000
2018,UKD45,2016,77000
2018,UKD47,2016,35000
2018,UKD63,2016,582000
2018,UKD72,2016,11916000
2018,UKE11,2016,73000
2018,UKE21,2016,2470000
2018,UKE32,2016,1196000
2018,UKE41,2016,141000
2018,UKE42,2016,2454000
2018,UKE44,2016,554000
2018,UKF11,2016,155000
2018,UKF14,2016,10184000
2018,UKF21,2016,537000
2018,UKF22,2016,1891000
2018,UKF24,2016,23000
2018,UKF30,2016,582000
2018,UKG12,2016,21000
2018,UKG21,2016,285000
2018,UKG23,2016,183000
2018,UKG24,2016,1400000
2018,UKG31,2016,3425000
2018,UKG33,2016,3625000
2018,UKG39,2016,831000
2018,UKH12,2016,3415000
2018,UKH14,2016,0
2018,UKH15,2016,585000
2018,UKH21,2016,778000
2018,UKH23,2016,1972000
2018,UKH25,2016,477000
2018,UKH34,2016,401000
2018,UKH36,2016,347000
2018,UKI31,2016,17526000
2018,UKI32,2016,10068000
2018,UKI33,2016,19000
2018,UKI34,2016,594000
2018,UKI41,2016,278000
2018,UKI42,2016,394000
2018,UKI43,2016,662000
2018,UKI44,2016,1310000
2018,UKI51,2016,784000
2018,UKI63,2016,40000
2018,UKI71,2016,32000
2018,UKI73,2016,614000
2018,UKI74,2016,2509000
2018,UKI75,2016,387000
2018,UKJ11,2016,4959000
2018,UKJ12,2016,96000
2018,UKJ13,2016,103000
2018,UKJ14,2016,7970000
2018,UKJ21,2016,2189000
2018,UKJ25,2016,6719000
2018,UKJ27,2016,46000
2018,UKJ31,2016,742000
2018,UKJ32,2016,9197000
2018,UKJ36,2016,95000
2018,UKJ44,2016,471000
2018,UKK11,2016,1653000
2018,UKK12,2016,940000
2018,UKK13,2016,1247000
