year,lep_id,lep_year_spec,graduate_startups
2014,E37000001,2014,62.0
2014,E37000002,2014,0.0
2014,E37000003,2014,0.0
2014,E37000004,2014,54.0
2014,E37000005,2014,209.0
2014,E37000006,2014,190.0
2014,E37000007,2014,35.0
2014,E37000008,2014,462.0
2014,E37000009,2014,132.0
2014,E37000010,2014,213.0
2014,E37000011,2014,22.0
2014,E37000012,2014,290.0
2014,E37000013,2014,9.0
2014,E37000014,2014,52.0
2014,E37000015,2014,377.0
2014,E37000016,2014,71.0
2014,E37000017,2014,55.0
2014,E37000018,2014,56.0
2014,E37000019,2014,1029.0
2014,E37000020,2014,373.0
2014,E37000021,2014,351.0
2014,E37000022,2014,292.0
2014,E37000023,2014,2138.0
2014,E37000024,2014,188.0
2014,E37000025,2014,363.0
2014,E37000026,2014,77.0
2014,E37000027,2014,101.0
2014,E37000029,2014,702.0
2014,E37000030,2014,44.0
2014,E37000031,2014,662.0
2014,E37000032,2014,148.0
2014,E37000034,2014,243.0
2014,E37000035,2014,0.0
2014,E37000036,2014,0.0
2014,E37000037,2014,174.0
2014,E37000038,2014,0.0
2014,E37000039,2014,11.0
2014,E37000040,2014,138.0
2015,E37000001,2014,71.0
2015,E37000002,2014,0.0
2015,E37000003,2014,0.0
2015,E37000004,2014,60.0
2015,E37000005,2014,202.0
2015,E37000006,2014,235.0
2015,E37000007,2014,35.0
2015,E37000008,2014,460.0
2015,E37000009,2014,62.0
2015,E37000010,2014,239.0
2015,E37000011,2014,24.0
2015,E37000012,2014,206.0
2015,E37000013,2014,16.0
2015,E37000014,2014,114.0
2015,E37000015,2014,340.0
2015,E37000016,2014,85.0
2015,E37000017,2014,45.0
2015,E37000018,2014,85.0
2015,E37000019,2014,1023.0
2015,E37000020,2014,397.0
2015,E37000021,2014,366.0
2015,E37000022,2014,315.0
2015,E37000023,2014,2147.0
2015,E37000024,2014,172.0
2015,E37000025,2014,377.0
2015,E37000026,2014,77.0
2015,E37000027,2014,108.0
2015,E37000029,2014,759.0
2015,E37000030,2014,58.0
2015,E37000031,2014,661.0
2015,E37000032,2014,218.0
2015,E37000034,2014,262.0
2015,E37000035,2014,0.0
2015,E37000036,2014,0.0
2015,E37000037,2014,118.0
2015,E37000038,2014,4.0
2015,E37000039,2014,22.0
2015,E37000040,2014,169.0
2016,E37000001,2014,100.0
2016,E37000002,2014,0.0
2016,E37000003,2014,0.0
2016,E37000004,2014,47.0
2016,E37000005,2014,201.0
2016,E37000006,2014,20.0
2016,E37000007,2014,55.0
2016,E37000008,2014,650.0
2016,E37000009,2014,1.0
2016,E37000010,2014,266.0
2016,E37000011,2014,20.0
2016,E37000012,2014,226.0
2016,E37000013,2014,37.0
2016,E37000014,2014,149.0
2016,E37000015,2014,382.0
2016,E37000016,2014,101.0
2016,E37000017,2014,70.0
2016,E37000018,2014,75.0
2016,E37000019,2014,1041.0
2016,E37000020,2014,430.0
2016,E37000021,2014,329.0
2016,E37000022,2014,325.0
2016,E37000023,2014,2390.0
2016,E37000024,2014,214.0
2016,E37000025,2014,399.0
2016,E37000026,2014,88.0
2016,E37000027,2014,154.0
2016,E37000029,2014,837.0
2016,E37000030,2014,122.0
2016,E37000031,2014,619.0
2016,E37000032,2014,271.0
2016,E37000034,2014,213.0
2016,E37000035,2014,0.0
2016,E37000036,2014,0.0
2016,E37000037,2014,227.0
2016,E37000038,2014,16.0
2016,E37000039,2014,16.0
2016,E37000040,2014,176.0
2017,E37000001,2017,23.0
2017,E37000002,2017,0.0
2017,E37000003,2017,0.0
2017,E37000004,2017,43.0
2017,E37000005,2017,197.0
2017,E37000006,2017,77.0
2017,E37000007,2017,76.0
2017,E37000008,2017,629.0
2017,E37000009,2017,3.0
2017,E37000010,2017,253.0
2017,E37000011,2017,24.0
2017,E37000012,2017,354.0
2017,E37000014,2017,138.0
2017,E37000015,2017,403.0
2017,E37000016,2017,126.0
2017,E37000017,2017,137.0
2017,E37000018,2017,82.0
2017,E37000019,2017,1027.0
2017,E37000020,2017,394.0
2017,E37000021,2017,330.0
2017,E37000022,2017,310.0
2017,E37000023,2017,2528.0
2017,E37000024,2017,188.0
2017,E37000025,2017,425.0
2017,E37000027,2017,139.0
2017,E37000029,2017,1101.0
2017,E37000030,2017,161.0
2017,E37000032,2017,298.0
2017,E37000034,2017,209.0
2017,E37000035,2017,16.0
2017,E37000036,2017,0.0
2017,E37000037,2017,280.0
2017,E37000038,2017,17.0
2017,E37000039,2017,27.0
2017,E37000040,2017,270.0
2017,E37000041,2017,588.0
2017,E37000042,2017,60.0
2018,E37000001,2017,28.0
2018,E37000002,2017,0.0
2018,E37000003,2017,0.0
2018,E37000004,2017,67.0
2018,E37000005,2017,197.0
2018,E37000006,2017,111.0
2018,E37000007,2017,38.0
2018,E37000008,2017,655.0
2018,E37000009,2017,81.0
2018,E37000010,2017,77.0
