year,nuts_id,nuts_year_spec,spinoff_investment
2014,UKC12,2013,0
2014,UKC14,2013,21012000
2014,UKC22,2013,3544000
2014,UKC23,2013,17000
2014,UKD12,2013,5000
2014,UKD33,2013,54800000
2014,UKD34,2013,1095000
2014,UKD36,2013,0
2014,UKD44,2013,7043000
2014,UKD45,2013,116000
2014,UKD47,2013,0
2014,UKD63,2013,0
2014,UKD72,2013,470000
2014,UKE11,2013,65000
2014,UKE21,2013,175000
2014,UKE32,2013,0
2014,UKE41,2013,2310000
2014,UKE42,2013,48814000
2014,UKE44,2013,1193000
2014,UKF11,2013,0
2014,UKF14,2013,5518000
2014,UKF21,2013,3162000
2014,UKF22,2013,200000
2014,UKF24,2013,58000
2014,UKF30,2013,135000
2014,UKG12,2013,0
2014,UKG21,2013,0
2014,UKG23,2013,85000
2014,UKG24,2013,4000
2014,UKG31,2013,29538000
2014,UKG33,2013,19009000
2014,UKG39,2013,1319000
2014,UKH12,2013,23749000
2014,UKH14,2013,0
2014,UKH15,2013,5754000
2014,UKH21,2013,0
2014,UKH23,2013,43000
2014,UKH25,2013,1627000
2014,UKH34,2013,1750000
2014,UKH36,2013,0
2014,UKI31,2013,48669000
2014,UKI32,2013,357860000
2014,UKI33,2013,0
2014,UKI34,2013,1000000
2014,UKI41,2013,37000
2014,UKI42,2013,21080000
2014,UKI43,2013,7670000
2014,UKI44,2013,35000
2014,UKI51,2013,85000
2014,UKI63,2013,120000
2014,UKI71,2013,0
2014,UKI73,2013,0
2014,UKI74,2013,0
2014,UKI75,2013,0
2014,UKJ11,2013,0
2014,UKJ12,2013,20000
2014,UKJ13,2013,0
2014,UKJ14,2013,101135000
2014,UKJ21,2013,160000
2014,UKJ25,2013,2578000
2014,UKJ27,2013,0
2014,UKJ31,2013,0
2014,UKJ32,2013,7659000
2014,UKJ36,2013,192000
2014,UKJ44,2013,1750000
2014,UKK11,2013,20902000
2014,UKK12,2013,34405000
2014,UKK13,2013,4000
2014,UKK21,2013,0
2014,UKK30,2013,0
2014,UKK41,2013,0
2014,UKK43,2013,10000
2014,UKL12,2013,119000
2014,UKL14,2013,1725000
2014,UKL15,2013,1006000
2014,UKL18,2013,4000000
2014,UKL22,2013,7016000
2014,UKL23,2013,0
2014,UKM21,2013,975000
2014,UKM22,2013,1300000
2014,UKM23,2013,0
2014,UKM25,2013,258038000
2014,UKM27,2013,0
