year,lep_id,lep_year_spec,consultancy_facilities_sme
2014,E37000001,2014,2929000
2014,E37000002,2014,14000
2014,E37000003,2014,226000
2014,E37000004,2014,1836000
2014,E37000005,2014,41000
2014,E37000006,2014,4213000
2014,E37000007,2014,20000
2014,E37000008,2014,5323000
2014,E37000009,2014,339000
2014,E37000010,2014,5259000
2014,E37000011,2014,329000
2014,E37000012,2014,984000
2014,E37000013,2014,2752000
2014,E37000014,2014,365000
2014,E37000015,2014,2927000
2014,E37000016,2014,3393000
2014,E37000017,2014,4036000
2014,E37000018,2014,176000
2014,E37000019,2014,8839000
2014,E37000020,2014,6871000
2014,E37000021,2014,1042000
2014,E37000022,2014,11318000
2014,E37000023,2014,21167000
2014,E37000024,2014,747000
2014,E37000025,2014,1884000
2014,E37000026,2014,360000
2014,E37000027,2014,2173000
2014,E37000029,2014,8971000
2014,E37000030,2014,9529000
2014,E37000031,2014,1358000
2014,E37000032,2014,1932000
2014,E37000034,2014,298000
2014,E37000035,2014,2589000
2014,E37000036,2014,1000
2014,E37000037,2014,3008000
2014,E37000038,2014,8000
2014,E37000039,2014,3939000
2014,E37000040,2014,885000
2015,E37000001,2014,4021000
2015,E37000002,2014,8000
2015,E37000003,2014,433000
2015,E37000004,2014,1942000
2015,E37000005,2014,22000
2015,E37000006,2014,4541000
2015,E37000007,2014,23000
2015,E37000008,2014,5755000
2015,E37000009,2014,199000
2015,E37000010,2014,6303000
2015,E37000011,2014,402000
2015,E37000012,2014,1454000
2015,E37000013,2014,3154000
2015,E37000014,2014,335000
2015,E37000015,2014,3310000
2015,E37000016,2014,3228000
2015,E37000017,2014,2935000
2015,E37000018,2014,134000
2015,E37000019,2014,4981000
2015,E37000020,2014,6079000
2015,E37000021,2014,1421000
2015,E37000022,2014,10735000
2015,E37000023,2014,23370000
2015,E37000024,2014,629000
2015,E37000025,2014,1934000
2015,E37000026,2014,239000
2015,E37000027,2014,3480000
2015,E37000029,2014,9239000
2015,E37000030,2014,9373000
2015,E37000031,2014,1284000
2015,E37000032,2014,2016000
2015,E37000034,2014,415000
2015,E37000035,2014,2222000
2015,E37000036,2014,68000
2015,E37000037,2014,2935000
2015,E37000038,2014,23000
2015,E37000039,2014,3382000
2015,E37000040,2014,914000
2016,E37000001,2014,2761000
2016,E37000002,2014,41000
2016,E37000003,2014,735000
2016,E37000004,2014,2299000
2016,E37000005,2014,35000
2016,E37000006,2014,4088000
2016,E37000007,2014,27000
2016,E37000008,2014,6883000
2016,E37000009,2014,117000
2016,E37000010,2014,6349000
2016,E37000011,2014,251000
2016,E37000012,2014,1318000
2016,E37000013,2014,3266000
2016,E37000014,2014,360000
2016,E37000015,2014,2993000
2016,E37000016,2014,3367000
2016,E37000017,2014,2766000
2016,E37000018,2014,182000
2016,E37000019,2014,2512000
2016,E37000020,2014,6657000
2016,E37000021,2014,1599000
2016,E37000022,2014,10938000
2016,E37000023,2014,25818000
2016,E37000024,2014,1444000
2016,E37000025,2014,1456000
2016,E37000026,2014,223000
2016,E37000027,2014,5147000
2016,E37000029,2014,9986000
2016,E37000030,2014,8176000
2016,E37000031,2014,1391000
2016,E37000032,2014,2835000
2016,E37000034,2014,438000
2016,E37000035,2014,2509000
2016,E37000036,2014,277000
2016,E37000037,2014,3395000
2016,E37000038,2014,34000
2016,E37000039,2014,3776000
2016,E37000040,2014,1260000
2017,E37000001,2017,894000
2017,E37000002,2017,139000
2017,E37000003,2017,917000
2017,E37000004,2017,2493000
2017,E37000005,2017,28000
2017,E37000006,2017,4337000
2017,E37000007,2017,31000
2017,E37000008,2017,9141000
2017,E37000009,2017,112000
2017,E37000010,2017,6696000
2017,E37000011,2017,1287000
2017,E37000012,2017,2751000
2017,E37000014,2017,298000
2017,E37000015,2017,2939000
2017,E37000016,2017,3653000
2017,E37000017,2017,3083000
2017,E37000018,2017,98000
2017,E37000019,2017,3238000
2017,E37000020,2017,5643000
2017,E37000021,2017,2483000
2017,E37000022,2017,11203000
2017,E37000023,2017,25956000
2017,E37000024,2017,905000
2017,E37000025,2017,1635000
2017,E37000027,2017,6073000
2017,E37000029,2017,10254000
2017,E37000030,2017,1135000
2017,E37000032,2017,1801000
2017,E37000034,2017,460000
2017,E37000035,2017,4094000
2017,E37000036,2017,283000
2017,E37000037,2017,2677000
2017,E37000038,2017,16000
2017,E37000039,2017,2259000
2017,E37000040,2017,1380000
2017,E37000041,2017,1221000
2017,E37000042,2017,3242000
2018,E37000001,2017,831000
2018,E37000002,2017,103000
2018,E37000003,2017,582000
2018,E37000004,2017,2235000
2018,E37000005,2017,44000
2018,E37000006,2017,3625000
2018,E37000007,2017,35000
2018,E37000008,2017,10339000
2018,E37000009,2017,232000
2018,E37000010,2017,6814000
2018,E37000011,2017,1247000
2018,E37000012,2017,3425000
2018,E37000014,2017,582000
2018,E37000015,2017,2572000
2018,E37000016,2017,3453000
2018,E37000017,2017,1972000
2018,E37000018,2017,73000
2018,E37000019,2017,3516000
2018,E37000020,2017,5619000
2018,E37000021,2017,2428000
2018,E37000022,2017,11916000
2018,E37000023,2017,35217000
2018,E37000024,2017,585000
2018,E37000025,2017,1346000
2018,E37000027,2017,7970000
2018,E37000029,2017,9939000
2018,E37000030,2017,1219000
2018,E37000032,2017,1583000
2018,E37000034,2017,494000
2018,E37000035,2017,4959000
2018,E37000036,2017,285000
2018,E37000037,2017,2593000
2018,E37000038,2017,21000
2018,E37000039,2017,2470000
2018,E37000040,2017,1196000
2018,E37000041,2017,1374000
2018,E37000042,2017,3415000
