year,nuts_id,nuts_year_spec,consultancy_facilities_non_sme
2014,UKC12,2013,82000
2014,UKC14,2013,1828000
2014,UKC22,2013,2309000
2014,UKC23,2013,47000
2014,UKD12,2013,59000
2014,UKD33,2013,3504000
2014,UKD34,2013,693000
2014,UKD36,2013,0
2014,UKD44,2013,319000
2014,UKD45,2013,282000
2014,UKD47,2013,93000
2014,UKD63,2013,2448000
2014,UKD72,2013,1002000
2014,UKE11,2013,1134000
2014,UKE21,2013,3435000
2014,UKE32,2013,2881000
2014,UKE41,2013,195000
2014,UKE42,2013,2645000
2014,UKE44,2013,1725000
2014,UKF11,2013,195000
2014,UKF14,2013,5834000
2014,UKF21,2013,1071000
2014,UKF22,2013,8386000
2014,UKF24,2013,49000
2014,UKF30,2013,335000
2014,UKG12,2013,22000
2014,UKG21,2013,33000
2014,UKG23,2013,50000
2014,UKG24,2013,1373000
2014,UKG31,2013,1247000
2014,UKG33,2013,6965000
2014,UKG39,2013,223000
2014,UKH12,2013,10198000
2014,UKH14,2013,0
2014,UKH15,2013,1043000
2014,UKH21,2013,152000
2014,UKH23,2013,226000
2014,UKH25,2013,2612000
2014,UKH34,2013,3000
2014,UKH36,2013,8868000
2014,UKI31,2013,12259000
2014,UKI32,2013,19872000
2014,UKI33,2013,21000
2014,UKI34,2013,80000
2014,UKI41,2013,94000
2014,UKI42,2013,2859000
2014,UKI43,2013,1217000
2014,UKI44,2013,136000
2014,UKI51,2013,681000
2014,UKI63,2013,44000
2014,UKI71,2013,70000
2014,UKI73,2013,25000
2014,UKI74,2013,192000
2014,UKI75,2013,604000
2014,UKJ11,2013,2173000
2014,UKJ12,2013,552000
2014,UKJ13,2013,74000
2014,UKJ14,2013,3851000
2014,UKJ21,2013,1540000
2014,UKJ25,2013,5249000
2014,UKJ27,2013,6000
2014,UKJ31,2013,1681000
2014,UKJ32,2013,6412000
2014,UKJ36,2013,59000
2014,UKJ44,2013,771000
2014,UKK11,2013,1370000
2014,UKK12,2013,1363000
2014,UKK13,2013,113000
2014,UKK21,2013,289000
2014,UKK30,2013,1000
2014,UKK41,2013,727000
2014,UKK43,2013,462000
2014,UKL12,2013,142000
2014,UKL14,2013,19000
2014,UKL15,2013,498000
2014,UKL18,2013,984000
2014,UKL22,2013,583000
2014,UKL23,2013,4000
2014,UKM21,2013,872000
2014,UKM22,2013,421000
2014,UKM23,2013,9000
2014,UKM25,2013,15175000
2014,UKM27,2013,1137000
2014,UKM34,2013,7919000
2014,UKM35,2013,28000
2014,UKM50,2013,857000
2014,UKM62,2013,614000
2014,UKN01,2013,2595000
2014,UKN04,2013,163000
2015,UKC12,2013,56000
2015,UKC14,2013,1231000
2015,UKC22,2013,1740000
2015,UKC23,2013,86000
2015,UKD12,2013,8000
2015,UKD33,2013,3563000
2015,UKD34,2013,950000
2015,UKD36,2013,0
2015,UKD44,2013,832000
2015,UKD45,2013,206000
2015,UKD47,2013,2000
2015,UKD63,2013,1995000
