year,nuts_id,nuts_year_spec,ce_cpd_income
2015,UKL15,2013,3976000.0
2015,UKL18,2013,1177000.0
2015,UKL22,2013,21155000.0
2015,UKL23,2013,260000.0
2015,UKM21,2013,1750000.0
2015,UKM22,2013,1232000.0
2015,UKM23,2013,926000.0
2015,UKM25,2013,18879000.0
2015,UKM27,2013,2790000.0
2015,UKM34,2013,23757000.0
2015,UKM35,2013,742000.0
2015,UKM50,2013,9142000.0
2015,UKM62,2013,2411000.0
2015,UKN01,2013,2633000.0
2015,UKN04,2013,1852000.0
2016,UKC12,2016,6796000.0
2016,UKC14,2016,1151000.0
2016,UKC22,2016,11205000.0
2016,UKC23,2016,954000.0
2016,UKD12,2016,4525000.0
2016,UKD33,2016,23911000.0
2016,UKD34,2016,6078000.0
2016,UKD36,2016,491000.0
2016,UKD44,2016,2218000.0
2016,UKD45,2016,9729000.0
2016,UKD47,2016,1932000.0
2016,UKD63,2016,3839000.0
2016,UKD72,2016,8402000.0
2016,UKE11,2016,1921000.0
2016,UKE21,2016,6749000.0
2016,UKE32,2016,6316000.0
2016,UKE41,2016,2639000.0
2016,UKE42,2016,5788000.0
2016,UKE44,2016,602000.0
2016,UKF11,2016,6521000.0
2016,UKF14,2016,9167000.0
2016,UKF21,2016,13540000.0
2016,UKF22,2016,2504000.0
2016,UKF24,2016,927000.0
2016,UKF30,2016,9794000.0
2016,UKG12,2016,861000.0
2016,UKG21,2016,1426000.0
2016,UKG23,2016,5189000.0
2016,UKG24,2016,1625000.0
2016,UKG31,2016,16748000.0
2016,UKG33,2016,16206000.0
2016,UKG39,2016,788000.0
2016,UKH12,2016,19460000.0
2016,UKH14,2016,382000.0
2016,UKH15,2016,4691000.0
2016,UKH21,2016,7820000.0
2016,UKH23,2016,5142000.0
2016,UKH25,2016,17933000.0
2016,UKH34,2016,1699000.0
2016,UKH36,2016,13342000.0
2016,UKI31,2016,65096000.0
2016,UKI32,2016,99306000.0
2016,UKI33,2016,0.0
2016,UKI34,2016,1821000.0
2016,UKI41,2016,645000.0
2016,UKI42,2016,796000.0
