year,nuts_id,nuts_year_spec,collaborative_research_cash
2015,UKC1,2013,2216000
2015,UKC2,2013,2957000
2015,UKD1,2013,1000
2015,UKD3,2013,1198000
2015,UKD4,2013,431000
2015,UKD6,2013,0
2015,UKD7,2013,2321000
2015,UKE1,2013,71000
2015,UKE2,2013,560000
2015,UKE3,2013,2327000
2015,UKE4,2013,2698000
2015,UKF1,2013,230000
2015,UKF2,2013,1163000
2015,UKF3,2013,112000
2015,UKG1,2013,10000
2015,UKG2,2013,440000
2015,UKG3,2013,389000
2015,UKH1,2013,6287000
2015,UKH2,2013,1083000
2015,UKH3,2013,611000
2015,UKI3,2013,30167000
2015,UKI4,2013,3060000
2015,UKI5,2013,73000
2015,UKI6,2013,166000
2015,UKI7,2013,2682000
2015,UKJ1,2013,1933000
2015,UKJ2,2013,1158000
2015,UKJ3,2013,664000
2015,UKJ4,2013,187000
2015,UKK1,2013,2925000
2015,UKK2,2013,102000
2015,UKK3,2013,136000
2015,UKK4,2013,779000
2015,UKL1,2013,11837000
2015,UKL2,2013,1347000
2015,UKM2,2013,4951000
2015,UKM3,2013,11859000
2015,UKM5,2013,1314000
2015,UKM6,2013,3189000
2015,UKN0,2013,2456000
2016,UKC1,2016,2157000
2016,UKC2,2016,2395000
2016,UKD1,2016,0
2016,UKD3,2016,1471000
2016,UKD4,2016,373000
2016,UKD6,2016,360000
2016,UKD7,2016,2435000
2016,UKE1,2016,192000
2016,UKE2,2016,210000
2016,UKE3,2016,2242000
2016,UKE4,2016,2907000
2016,UKF1,2016,314000
2016,UKF2,2016,1639000
2016,UKF3,2016,121000
2016,UKG1,2016,7000
2016,UKG2,2016,670000
2016,UKG3,2016,1090000
2016,UKH1,2016,5413000
2016,UKH2,2016,1151000
2016,UKH3,2016,758000
2016,UKI3,2016,36118000
2016,UKI4,2016,3799000
2016,UKI5,2016,145000
2016,UKI6,2016,223000
2016,UKI7,2016,3298000
2016,UKJ1,2016,4395000
2016,UKJ2,2016,812000
2016,UKJ3,2016,476000
2016,UKJ4,2016,277000
2016,UKK1,2016,2110000
2016,UKK2,2016,215000
2016,UKK3,2016,252000
2016,UKK4,2016,657000
2016,UKL1,2016,5239000
2016,UKL2,2016,824000
2016,UKM5,2016,1400000
2016,UKM6,2016,453000
2016,UKM7,2016,6021000
2016,UKM8,2016,11124000
2016,UKN0,2016,2804000
2017,UKC1,2016,2632000
2017,UKC2,2016,1452000
2017,UKD1,2016,0
2017,UKD3,2016,2638000
2017,UKD4,2016,2655000
2017,UKD6,2016,0
2017,UKD7,2016,4388000
2017,UKE1,2016,245000
2017,UKE2,2016,439000
2017,UKE3,2016,2054000
2017,UKE4,2016,3513000
2017,UKF1,2016,380000
2017,UKF2,2016,1580000
2017,UKF3,2016,114000
2017,UKG1,2016,3000
2017,UKG2,2016,1684000
2017,UKG3,2016,1877000
2017,UKH1,2016,3558000
2017,UKH2,2016,1453000
2017,UKH3,2016,642000
2017,UKI3,2016,42873000
2017,UKI4,2016,4811000
2017,UKI5,2016,162000
2017,UKI6,2016,88000
2017,UKI7,2016,3267000
2017,UKJ1,2016,3186000
2017,UKJ2,2016,702000
2017,UKJ3,2016,464000
2017,UKJ4,2016,298000
2017,UKK1,2016,2183000
2017,UKK2,2016,145000
2017,UKK3,2016,280000
2017,UKK4,2016,537000
2017,UKL1,2016,4564000
2017,UKL2,2016,1079000
2017,UKM5,2016,1291000
2017,UKM6,2016,1072000
2017,UKM7,2016,8494000
2017,UKM8,2016,14698000
2017,UKN0,2016,2313000
2018,UKC1,2016,2636000
2018,UKC2,2016,1093000
2018,UKD1,2016,0
2018,UKD3,2016,3886000
2018,UKD4,2016,2426000
2018,UKD6,2016,0
2018,UKD7,2016,5229000
2018,UKE1,2016,360000
2018,UKE2,2016,428000
2018,UKE3,2016,2347000
2018,UKE4,2016,3326000
2018,UKF1,2016,530000
2018,UKF2,2016,1460000
2018,UKF3,2016,139000
2018,UKG1,2016,0
2018,UKG2,2016,1876000
2018,UKG3,2016,3643000
2018,UKH1,2016,7530000
2018,UKH2,2016,245000
2018,UKH3,2016,961000
2018,UKI3,2016,51919000
2018,UKI4,2016,5884000
2018,UKI5,2016,174000
2018,UKI6,2016,69000
2018,UKI7,2016,0
2018,UKJ1,2016,1872000
2018,UKJ2,2016,641000
2018,UKJ3,2016,702000
2018,UKJ4,2016,292000
2018,UKK1,2016,1604000
2018,UKK2,2016,73000
2018,UKK3,2016,172000
2018,UKK4,2016,793000
2018,UKL1,2016,4180000
2018,UKL2,2016,835000
2018,UKM5,2016,1112000
2018,UKM6,2016,517000
2018,UKM7,2016,18933000
2018,UKM8,2016,16291000
2018,UKN0,2016,2401000
