year,lep_id,lep_year_spec,regeneration_development
2014,E37000001,2014,6483000
2014,E37000002,2014,0
2014,E37000003,2014,1854000
2014,E37000004,2014,299000
2014,E37000005,2014,1273000
2014,E37000006,2014,6222000
2014,E37000007,2014,557000
2014,E37000008,2014,6699000
2014,E37000009,2014,151000
2014,E37000010,2014,738000
2014,E37000011,2014,927000
2014,E37000012,2014,22398000
2014,E37000013,2014,483000
2014,E37000014,2014,830000
2014,E37000015,2014,1942000
2014,E37000016,2014,6439000
2014,E37000017,2014,12200000
2014,E37000018,2014,176000
2014,E37000019,2014,34092000
2014,E37000020,2014,5110000
2014,E37000021,2014,9524000
2014,E37000022,2014,3731000
2014,E37000023,2014,4377000
2014,E37000024,2014,719000
2014,E37000025,2014,1940000
2014,E37000026,2014,340000
2014,E37000027,2014,0
2014,E37000029,2014,6020000
2014,E37000030,2014,4063000
2014,E37000031,2014,1054000
2014,E37000032,2014,706000
2014,E37000034,2014,1776000
2014,E37000035,2014,0
2014,E37000036,2014,0
2014,E37000037,2014,5249000
2014,E37000038,2014,118000
2014,E37000039,2014,4071000
2014,E37000040,2014,2454000
2015,E37000001,2014,8335000
2015,E37000002,2014,0
2015,E37000003,2014,541000
2015,E37000004,2014,56000
2015,E37000005,2014,166000
2015,E37000006,2014,1804000
2015,E37000007,2014,39000
2015,E37000008,2014,11144000
2015,E37000009,2014,119000
2015,E37000010,2014,790000
2015,E37000011,2014,1746000
2015,E37000012,2014,29354000
2015,E37000013,2014,152000
2015,E37000014,2014,710000
2015,E37000015,2014,1794000
2015,E37000016,2014,8349000
2015,E37000017,2014,7515000
2015,E37000018,2014,193000
2015,E37000019,2014,8249000
2015,E37000020,2014,3211000
2015,E37000021,2014,6943000
2015,E37000022,2014,912000
2015,E37000023,2014,5026000
2015,E37000024,2014,1179000
2015,E37000025,2014,6537000
2015,E37000026,2014,234000
2015,E37000027,2014,5000
2015,E37000029,2014,1050000
2015,E37000030,2014,3979000
2015,E37000031,2014,714000
2015,E37000032,2014,602000
2015,E37000034,2014,1494000
2015,E37000035,2014,0
2015,E37000036,2014,0
2015,E37000037,2014,10769000
2015,E37000038,2014,244000
2015,E37000039,2014,2510000
2015,E37000040,2014,1556000
2016,E37000001,2014,12956000
2016,E37000002,2014,0
2016,E37000003,2014,387000
2016,E37000004,2014,87000
2016,E37000005,2014,436000
2016,E37000006,2014,3852000
2016,E37000007,2014,136000
2016,E37000008,2014,15562000
2016,E37000009,2014,94000
2016,E37000010,2014,584000
2016,E37000011,2014,1458000
2016,E37000012,2014,33734000
2016,E37000013,2014,0
2016,E37000014,2014,1186000
2016,E37000015,2014,1808000
2016,E37000016,2014,9793000
2016,E37000017,2014,8527000
2016,E37000018,2014,532000
2016,E37000019,2014,4386000
2016,E37000020,2014,1295000
2016,E37000021,2014,7584000
2016,E37000022,2014,2102000
2016,E37000023,2014,6039000
2016,E37000024,2014,577000
2016,E37000025,2014,6396000
2016,E37000026,2014,808000
2016,E37000027,2014,0
2016,E37000029,2014,2764000
2016,E37000030,2014,4971000
2016,E37000031,2014,1278000
2016,E37000032,2014,1372000
2016,E37000034,2014,1157000
2016,E37000035,2014,0
2016,E37000036,2014,180000
2016,E37000037,2014,4657000
2016,E37000038,2014,197000
2016,E37000039,2014,1047000
2016,E37000040,2014,1574000
2017,E37000001,2017,3127000
2017,E37000002,2017,0
2017,E37000003,2017,582000
2017,E37000004,2017,755000
2017,E37000005,2017,1403000
2017,E37000006,2017,2856000
2017,E37000007,2017,506000
2017,E37000008,2017,13559000
2017,E37000009,2017,547000
2017,E37000010,2017,802000
2017,E37000011,2017,544000
2017,E37000012,2017,40060000
2017,E37000014,2017,1983000
2017,E37000015,2017,4374000
2017,E37000016,2017,9470000
2017,E37000017,2017,10067000
2017,E37000018,2017,678000
2017,E37000019,2017,6087000
2017,E37000020,2017,5605000
2017,E37000021,2017,10757000
2017,E37000022,2017,3131000
2017,E37000023,2017,10624000
2017,E37000024,2017,346000
2017,E37000025,2017,3649000
2017,E37000027,2017,0
2017,E37000029,2017,4527000
2017,E37000030,2017,4585000
2017,E37000032,2017,7826000
2017,E37000034,2017,1619000
2017,E37000035,2017,7995000
2017,E37000036,2017,548000
2017,E37000037,2017,3438000
2017,E37000038,2017,194000
2017,E37000039,2017,1740000
2017,E37000040,2017,1212000
2017,E37000041,2017,1309000
2017,E37000042,2017,0
2018,E37000001,2017,3775000
2018,E37000002,2017,237000
2018,E37000003,2017,1646000
2018,E37000004,2017,1008000
2018,E37000005,2017,2714000
2018,E37000006,2017,4113000
2018,E37000007,2017,563000
2018,E37000008,2017,11219000
2018,E37000009,2017,429000
2018,E37000010,2017,1028000
2018,E37000011,2017,684000
2018,E37000012,2017,46212000
2018,E37000014,2017,2365000
2018,E37000015,2017,6745000
2018,E37000016,2017,11839000
2018,E37000017,2017,6451000
2018,E37000018,2017,1237000
2018,E37000019,2017,7953000
2018,E37000020,2017,3402000
2018,E37000021,2017,14346000
2018,E37000022,2017,3309000
2018,E37000023,2017,17382000
2018,E37000024,2017,527000
2018,E37000025,2017,4559000
2018,E37000027,2017,44000
2018,E37000029,2017,8823000
2018,E37000030,2017,6298000
2018,E37000032,2017,8376000
2018,E37000034,2017,2020000
2018,E37000035,2017,0
2018,E37000036,2017,699000
2018,E37000037,2017,6991000
2018,E37000038,2017,182000
2018,E37000039,2017,3147000
2018,E37000040,2017,2883000
2018,E37000041,2017,1046000
2018,E37000042,2017,0
