year,lep_id,lep_year_spec,contract_research_public_third
2014,E37000001,2014,206000
2014,E37000002,2014,1112000
2014,E37000003,2014,552000
2014,E37000004,2014,10907000
2014,E37000005,2014,28000
2014,E37000006,2014,19460000
2014,E37000007,2014,176000
2014,E37000008,2014,8461000
2014,E37000009,2014,651000
2014,E37000010,2014,6760000
2014,E37000011,2014,358000
2014,E37000012,2014,33697000
2014,E37000013,2014,7766000
2014,E37000014,2014,1979000
2014,E37000015,2014,32383000
2014,E37000016,2014,19766000
2014,E37000017,2014,6571000
2014,E37000018,2014,3412000
2014,E37000019,2014,7287000
2014,E37000020,2014,59700000
2014,E37000021,2014,12598000
2014,E37000022,2014,8072000
2014,E37000023,2014,175967000
2014,E37000024,2014,2696000
2014,E37000025,2014,27380000
2014,E37000026,2014,608000
2014,E37000027,2014,89084000
2014,E37000029,2014,16892000
2014,E37000030,2014,16481000
2014,E37000031,2014,2405000
2014,E37000032,2014,1411000
2014,E37000034,2014,607000
2014,E37000035,2014,2052000
2014,E37000036,2014,611000
2014,E37000037,2014,33240000
2014,E37000038,2014,242000
2014,E37000039,2014,14232000
2014,E37000040,2014,25302000
2015,E37000001,2014,437000
2015,E37000002,2014,478000
2015,E37000003,2014,437000
2015,E37000004,2014,11513000
2015,E37000005,2014,12000
2015,E37000006,2014,15070000
2015,E37000007,2014,140000
2015,E37000008,2014,17504000
2015,E37000009,2014,1409000
2015,E37000010,2014,6864000
2015,E37000011,2014,318000
2015,E37000012,2014,38249000
2015,E37000013,2014,7808000
2015,E37000014,2014,3291000
2015,E37000015,2014,32182000
2015,E37000016,2014,13772000
2015,E37000017,2014,6053000
2015,E37000018,2014,2589000
2015,E37000019,2014,7513000
2015,E37000020,2014,50812000
2015,E37000021,2014,14693000
2015,E37000022,2014,7535000
2015,E37000023,2014,181798000
2015,E37000024,2014,2108000
2015,E37000025,2014,28963000
2015,E37000026,2014,384000
2015,E37000027,2014,103425000
2015,E37000029,2014,17402000
2015,E37000030,2014,16892000
2015,E37000031,2014,2412000
2015,E37000032,2014,1547000
2015,E37000034,2014,865000
2015,E37000035,2014,1823000
2015,E37000036,2014,49000
2015,E37000037,2014,38810000
2015,E37000038,2014,455000
2015,E37000039,2014,13343000
2015,E37000040,2014,23340000
2016,E37000001,2014,329000
2016,E37000002,2014,362000
2016,E37000003,2014,202000
2016,E37000004,2014,11244000
2016,E37000005,2014,3000
2016,E37000006,2014,13146000
2016,E37000007,2014,221000
2016,E37000008,2014,19700000
2016,E37000009,2014,632000
2016,E37000010,2014,6884000
2016,E37000011,2014,279000
2016,E37000012,2014,37534000
2016,E37000013,2014,5847000
2016,E37000014,2014,3220000
2016,E37000015,2014,30997000
2016,E37000016,2014,13266000
2016,E37000017,2014,6560000
2016,E37000018,2014,2774000
2016,E37000019,2014,8201000
2016,E37000020,2014,55314000
2016,E37000021,2014,14094000
2016,E37000022,2014,7700000
2016,E37000023,2014,183267000
2016,E37000024,2014,2760000
2016,E37000025,2014,28513000
2016,E37000026,2014,626000
2016,E37000027,2014,111793000
2016,E37000029,2014,19862000
2016,E37000030,2014,15845000
2016,E37000031,2014,3031000
2016,E37000032,2014,2054000
2016,E37000034,2014,657000
2016,E37000035,2014,2220000
2016,E37000036,2014,31000
2016,E37000037,2014,43481000
2016,E37000038,2014,604000
2016,E37000039,2014,14328000
2016,E37000040,2014,33943000
2017,E37000001,2017,1245000
2017,E37000002,2017,173000
2017,E37000003,2017,30000
2017,E37000004,2017,11725000
2017,E37000005,2017,0
2017,E37000006,2017,11922000
2017,E37000007,2017,277000
2017,E37000008,2017,24510000
2017,E37000009,2017,826000
2017,E37000010,2017,8583000
2017,E37000011,2017,380000
2017,E37000012,2017,40801000
2017,E37000014,2017,5061000
2017,E37000015,2017,31814000
2017,E37000016,2017,16304000
2017,E37000017,2017,6075000
2017,E37000018,2017,1462000
2017,E37000019,2017,8313000
2017,E37000020,2017,60410000
2017,E37000021,2017,10123000
2017,E37000022,2017,8833000
2017,E37000023,2017,151301000
2017,E37000024,2017,2116000
2017,E37000025,2017,25741000
2017,E37000027,2017,107611000
2017,E37000029,2017,20353000
2017,E37000030,2017,17915000
2017,E37000032,2017,1720000
2017,E37000034,2017,338000
2017,E37000035,2017,2910000
2017,E37000036,2017,135000
2017,E37000037,2017,30004000
2017,E37000038,2017,280000
2017,E37000039,2017,14590000
2017,E37000040,2017,38099000
2017,E37000041,2017,3903000
2017,E37000042,2017,3820000
2018,E37000001,2017,1165000
2018,E37000002,2017,585000
2018,E37000003,2017,84000
2018,E37000004,2017,12180000
2018,E37000005,2017,0
2018,E37000006,2017,12665000
2018,E37000007,2017,142000
2018,E37000008,2017,21835000
2018,E37000009,2017,913000
2018,E37000010,2017,8752000
2018,E37000011,2017,827000
2018,E37000012,2017,47593000
2018,E37000014,2017,6692000
2018,E37000015,2017,36963000
2018,E37000016,2017,17153000
2018,E37000017,2017,4537000
2018,E37000018,2017,2008000
2018,E37000019,2017,8703000
2018,E37000020,2017,61454000
2018,E37000021,2017,9152000
2018,E37000022,2017,10450000
2018,E37000023,2017,148150000
2018,E37000024,2017,2290000
2018,E37000025,2017,24949000
2018,E37000027,2017,99996000
2018,E37000029,2017,19661000
2018,E37000030,2017,17254000
2018,E37000032,2017,1303000
2018,E37000034,2017,525000
2018,E37000035,2017,3366000
2018,E37000036,2017,211000
2018,E37000037,2017,27202000
2018,E37000038,2017,309000
2018,E37000039,2017,15259000
2018,E37000040,2017,27932000
2018,E37000041,2017,2735000
2018,E37000042,2017,3772000
