year,nuts_id,nuts_year_spec,gbp_turnover_per_active_spinoff
2014,UKC1,2013,114497
2015,UKC1,2013,188623
2016,UKC1,2016,222956
2017,UKC1,2016,239683
2014,UKC2,2013,218924
2015,UKC2,2013,228987
2016,UKC2,2016,248731
2017,UKC2,2016,275094
2014,UKD1,2013,6714
2015,UKD1,2013,7488
2016,UKD1,2016,9476
2017,UKD1,2016,16770
2014,UKD3,2013,82903
2015,UKD3,2013,99264
2016,UKD3,2016,85460
2017,UKD3,2016,94585
2014,UKD4,2013,67031
2015,UKD4,2013,68161
2016,UKD4,2016,67355
2017,UKD4,2016,61902
2014,UKD6,2013,0
2015,UKD6,2013,0
2016,UKD6,2016,0
2017,UKD6,2016,0
2014,UKD7,2013,83656
2015,UKD7,2013,89991
2016,UKD7,2016,102905
2017,UKD7,2016,112169
2014,UKE1,2013,48306
2015,UKE1,2013,66244
2016,UKE1,2016,97435
2017,UKE1,2016,97282
2014,UKE2,2013,202370
2015,UKE2,2013,88666
2016,UKE2,2016,112225
2017,UKE2,2016,44540
2014,UKE3,2013,0
2015,UKE3,2013,0
2016,UKE3,2016,0
2017,UKE3,2016,0
2014,UKE4,2013,145714
2015,UKE4,2013,149075
2016,UKE4,2016,166441
2017,UKE4,2016,234073
2014,UKF1,2013,57296
2015,UKF1,2013,91762
2016,UKF1,2016,82096
2017,UKF1,2016,71471
2014,UKF2,2013,234507
2015,UKF2,2013,310802
2016,UKF2,2016,128023
2017,UKF2,2016,94750
2014,UKF3,2013,14981
2015,UKF3,2013,16447
2016,UKF3,2016,16409
2017,UKF3,2016,16500
2014,UKG1,2013,0
2015,UKG1,2013,0
2016,UKG1,2016,0
2017,UKG1,2016,0
2014,UKG2,2013,6211
2015,UKG2,2013,4543
2016,UKG2,2016,24931
2017,UKG2,2016,22219
2014,UKG3,2013,177276
2015,UKG3,2013,230353
2016,UKG3,2016,253272
2017,UKG3,2016,213275
2014,UKH1,2013,135344
2015,UKH1,2013,74005
2016,UKH1,2016,37256
2017,UKH1,2016,21948
2014,UKH2,2013,38756
2015,UKH2,2013,34000
2016,UKH2,2016,35453
2017,UKH2,2016,34855
2014,UKH3,2013,14000
2015,UKH3,2013,9781
2016,UKH3,2016,31906
2017,UKH3,2016,32959
2014,UKI3,2013,112465
2015,UKI3,2013,152570
2016,UKI3,2016,177359
2017,UKI3,2016,210792
2014,UKI4,2013,194292
2015,UKI4,2013,132278
2016,UKI4,2016,159065
2017,UKI4,2016,118903
2014,UKI5,2013,18526
2015,UKI5,2013,16150
2016,UKI5,2016,89843
2017,UKI5,2016,99857
2014,UKI6,2013,32131
2015,UKI6,2013,33336
2016,UKI6,2016,33756
2017,UKI6,2016,33244
2014,UKI7,2013,1259714
2015,UKI7,2013,2683500
2016,UKI7,2016,1379666
2017,UKI7,2016,1978142
2014,UKJ1,2013,403991
2015,UKJ1,2013,563554
2016,UKJ1,2016,654546
2017,UKJ1,2016,1209622
2014,UKJ2,2013,438291
2015,UKJ2,2013,414405
2016,UKJ2,2016,316953
2017,UKJ2,2016,298917
2014,UKJ3,2013,142431
2015,UKJ3,2013,125890
2016,UKJ3,2016,150682
2017,UKJ3,2016,132243
2014,UKJ4,2013,58418
2015,UKJ4,2013,66716
2016,UKJ4,2016,23771
2017,UKJ4,2016,36375
2014,UKK1,2013,631967
2015,UKK1,2013,611630
2016,UKK1,2016,371165
2017,UKK1,2016,469153
2014,UKK2,2013,49585
2015,UKK2,2013,95838
2016,UKK2,2016,332285
2017,UKK2,2016,504000
2014,UKK3,2013,0
2015,UKK3,2013,158
2016,UKK3,2016,327
2017,UKK3,2016,1449
2014,UKK4,2013,323931
2015,UKK4,2013,376106
2016,UKK4,2016,329765
2017,UKK4,2016,272527
2014,UKL1,2013,78522
2015,UKL1,2013,66997
2016,UKL1,2016,61065
2017,UKL1,2016,81927
2014,UKL2,2013,75969
2015,UKL2,2013,73072
2016,UKL2,2016,95485
2017,UKL2,2016,96669
2014,UKM2,2013,485222
2015,UKM2,2013,486202
2014,UKM3,2013,2586477
2015,UKM3,2013,816278
2014,UKM5,2013,78606
2015,UKM5,2013,64840
2016,UKM5,2016,21056
2017,UKM5,2016,17761
2014,UKM6,2013,0
2015,UKM6,2013,0
2016,UKM6,2016,0
2017,UKM6,2016,0
2016,UKM7,2016,416509
2017,UKM7,2016,421141
2016,UKM8,2016,788069
2017,UKM8,2016,1001825
2014,UKN0,2013,3087887
2015,UKN0,2013,3576567
2016,UKN0,2016,3626633
2017,UKN0,2016,4415779
