year,nuts_id,nuts_year_spec,cash_as_proportion_public_funding
2015,UKC12,2013,inf
2015,UKC14,2013,0.1
2015,UKC22,2013,0.07
2015,UKC23,2013,0.51
2015,UKD12,2013,0.03
2015,UKD33,2013,inf
2015,UKD34,2013,0.1
2015,UKD36,2013,0.0
2015,UKD44,2013,0.01
2015,UKD45,2013,0.14
2015,UKD72,2013,0.09
2015,UKE11,2013,0.02
2015,UKE21,2013,0.03
2015,UKE32,2013,0.08
2015,UKE41,2013,0.07
2015,UKE42,2013,0.48
2015,UKE44,2013,0.14
2015,UKF11,2013,0.15
2015,UKF14,2013,0.03
2015,UKF21,2013,0.18
2015,UKF22,2013,0.04
2015,UKF24,2013,2.12
2015,UKF30,2013,0.05
2015,UKG12,2013,0.03
2015,UKG21,2013,0.17
2015,UKG23,2013,0.75
2015,UKG24,2013,0.01
2015,UKG31,2013,0.18
2015,UKG33,2013,0.01
2015,UKG39,2013,0.0
2015,UKH12,2013,0.07
2015,UKH15,2013,0.0
2015,UKH21,2013,0.06
2015,UKH23,2013,0.33
2015,UKH25,2013,0.27
2015,UKH34,2013,0.13
2015,UKH36,2013,0.16
2015,UKI31,2013,0.32
2015,UKI32,2013,0.3
2015,UKI33,2013,0.04
2015,UKI34,2013,0.0
2015,UKI42,2013,0.24
2015,UKI43,2013,inf
2015,UKI44,2013,0.04
2015,UKI51,2013,inf
2015,UKI63,2013,0.11
2015,UKI71,2013,0.03
2015,UKI73,2013,0.2
2015,UKI74,2013,0.78
2015,UKJ11,2013,0.13
2015,UKJ12,2013,0.0
2015,UKJ13,2013,0.31
2015,UKJ14,2013,0.13
2015,UKJ21,2013,0.34
2015,UKJ25,2013,0.05
2015,UKJ27,2013,0.0
2015,UKJ31,2013,0.02
2015,UKJ32,2013,0.01
2015,UKJ44,2013,0.27
2015,UKK11,2013,0.08
2015,UKK12,2013,0.83
2015,UKK13,2013,0.0
2015,UKK21,2013,0.06
2015,UKK30,2013,0.54
2015,UKK41,2013,0.15
2015,UKK43,2013,0.03
2015,UKL12,2013,0.01
2015,UKL14,2013,0.21
2015,UKL15,2013,0.16
2015,UKL18,2013,0.94
2015,UKL22,2013,0.13
2015,UKL23,2013,0.03
2015,UKM21,2013,0.08
2015,UKM22,2013,0.18
2015,UKM23,2013,0.04
2015,UKM25,2013,0.27
2015,UKM27,2013,1.27
2015,UKM34,2013,0.39
2015,UKM35,2013,0.44
2015,UKM50,2013,0.23
2015,UKM62,2013,0.57
2015,UKN01,2013,0.15
2015,UKN04,2013,0.04
2016,UKC12,2016,inf
2016,UKC14,2016,0.1
2016,UKC22,2016,0.05
2016,UKC23,2016,0.41
2016,UKD33,2016,inf
2016,UKD34,2016,0.12
2016,UKD36,2016,0.14
2016,UKD44,2016,0.01
2016,UKD45,2016,0.11
2016,UKD63,2016,6.92
2016,UKD72,2016,0.11
2016,UKE11,2016,0.04
2016,UKE21,2016,0.02
2016,UKE32,2016,0.09
2016,UKE41,2016,0.07
2016,UKE42,2016,1.21
2016,UKE44,2016,0.21
2016,UKF11,2016,0.18
2016,UKF14,2016,0.07
2016,UKF21,2016,0.17
2016,UKF22,2016,0.05
2016,UKF24,2016,0.38
2016,UKF30,2016,0.05
2016,UKG12,2016,0.02
2016,UKG21,2016,0.5
2016,UKG23,2016,0.45
2016,UKG24,2016,0.02
2016,UKG31,2016,0.09
2016,UKG33,2016,0.03
2016,UKG39,2016,0.14
2016,UKH12,2016,0.07
2016,UKH15,2016,0.01
2016,UKH21,2016,0.03
