year,nuts_id,nuts_year_spec,graduate_startups
2014,UKC12,2013,243
2014,UKC14,2013,20
2014,UKC22,2013,261
2014,UKC23,2013,82
2014,UKD12,2013,35
2014,UKD33,2013,264
2014,UKD34,2013,112
2014,UKD36,2013,1
2014,UKD44,2013,95
2014,UKD45,2013,934
2014,UKD47,2013,0
2014,UKD63,2013,0
2014,UKD72,2013,292
2014,UKE11,2013,56
2014,UKE21,2013,11
2014,UKE32,2013,138
2014,UKE41,2013,2
2014,UKE42,2013,256
2014,UKE44,2013,104
2014,UKF11,2013,118
2014,UKF14,2013,344
2014,UKF21,2013,176
2014,UKF22,2013,175
2014,UKF24,2013,77
2014,UKF30,2013,52
2014,UKG12,2013,0
2014,UKG21,2013,0
2014,UKG23,2013,144
2014,UKG24,2013,4
2014,UKG31,2013,290
2014,UKG33,2013,190
2014,UKG39,2013,62
2014,UKH12,2013,9
2014,UKH14,2013,0
2014,UKH15,2013,188
2014,UKH21,2013,558
2014,UKH23,2013,55
2014,UKH25,2013,0
2014,UKH34,2013,17
2014,UKH36,2013,0
2014,UKI31,2013,436
2014,UKI32,2013,532
2014,UKI33,2013,0
2014,UKI34,2013,0
2014,UKI41,2013,20
2014,UKI42,2013,8
2014,UKI43,2013,114
2014,UKI44,2013,65
2014,UKI51,2013,13
2014,UKI63,2013,950
2014,UKI71,2013,0
2014,UKI73,2013,0
2014,UKI74,2013,0
2014,UKI75,2013,0
2014,UKJ11,2013,0
2014,UKJ12,2013,27
2014,UKJ13,2013,0
2014,UKJ14,2013,101
2014,UKJ21,2013,54
2014,UKJ25,2013,201
2014,UKJ27,2013,0
2014,UKJ31,2013,580
2014,UKJ32,2013,122
2014,UKJ36,2013,12
2014,UKJ44,2013,27
2014,UKK11,2013,4
2014,UKK12,2013,170
2014,UKK13,2013,22
2014,UKK21,2013,132
2014,UKK30,2013,209
2014,UKK41,2013,48
2014,UKK43,2013,23
2014,UKL12,2013,53
2014,UKL14,2013,476
2014,UKL15,2013,207
2014,UKL18,2013,88
2014,UKL22,2013,409
2014,UKL23,2013,0
2014,UKM21,2013,10
2014,UKM22,2013,0
2014,UKM23,2013,2
2014,UKM25,2013,352
2014,UKM27,2013,25
2014,UKM34,2013,116
2014,UKM35,2013,0
2014,UKM50,2013,1
2014,UKM62,2013,0
2014,UKN01,2013,0
2014,UKN04,2013,4
2015,UKC12,2013,262
2015,UKC14,2013,19
2015,UKC22,2013,289
2015,UKC23,2013,69
2015,UKD12,2013,35
2015,UKD33,2013,249
2015,UKD34,2013,90
2015,UKD36,2013,1
2015,UKD44,2013,91
2015,UKD45,2013,932
2015,UKD47,2013,0
2015,UKD63,2013,0
2015,UKD72,2013,315
2015,UKE11,2013,85
2015,UKE21,2013,22
2015,UKE32,2013,169
2015,UKE41,2013,1
2015,UKE42,2013,288
2015,UKE44,2013,86
2015,UKF11,2013,67
2015,UKF14,2013,393
2015,UKF21,2013,214
2015,UKF22,2013,152
2015,UKF24,2013,77
2015,UKF30,2013,114
2015,UKG12,2013,4
2015,UKG21,2013,0
2015,UKG23,2013,212
2015,UKG24,2013,6
2015,UKG31,2013,206
2015,UKG33,2013,235
2015,UKG39,2013,71
2015,UKH12,2013,16
2015,UKH14,2013,0
2015,UKH15,2013,172
2015,UKH21,2013,559
2015,UKH23,2013,45
2015,UKH25,2013,0
2015,UKH34,2013,28
2015,UKH36,2013,0
2015,UKI31,2013,380
2015,UKI32,2013,566
2015,UKI33,2013,0
2015,UKI34,2013,0
2015,UKI41,2013,37
2015,UKI42,2013,20
2015,UKI43,2013,148
2015,UKI44,2013,102
2015,UKI51,2013,16
2015,UKI63,2013,878
2015,UKI71,2013,0
2015,UKI73,2013,0
2015,UKI74,2013,0
2015,UKI75,2013,0
2015,UKJ11,2013,0
2015,UKJ12,2013,25
2015,UKJ13,2013,0
2015,UKJ14,2013,108
2015,UKJ21,2013,60
2015,UKJ25,2013,229
2015,UKJ27,2013,0
2015,UKJ31,2013,476
2015,UKJ32,2013,283
2015,UKJ36,2013,10
2015,UKJ44,2013,30
2015,UKK11,2013,27
2015,UKK12,2013,91
2015,UKK13,2013,24
2015,UKK21,2013,62
2015,UKK30,2013,202
2015,UKK41,2013,62
2015,UKK43,2013,23
2015,UKL12,2013,57
2015,UKL14,2013,623
2015,UKL15,2013,177
2015,UKL18,2013,70
2015,UKL22,2013,483
2015,UKL23,2013,0
2015,UKM21,2013,12
2015,UKM22,2013,0
2015,UKM23,2013,5
2015,UKM25,2013,360
2015,UKM27,2013,29
2015,UKM34,2013,140
2015,UKM35,2013,1
2015,UKM50,2013,7
2015,UKM62,2013,0
2015,UKN01,2013,0
2015,UKN04,2013,0
2016,UKC12,2016,213
2016,UKC14,2016,6
2016,UKC22,2016,321
2016,UKC23,2016,72
2016,UKD12,2016,55
2016,UKD33,2016,311
2016,UKD34,2016,70
2016,UKD36,2016,1
2016,UKD44,2016,100
2016,UKD45,2016,941
2016,UKD47,2016,0
2016,UKD63,2016,0
2016,UKD72,2016,325
2016,UKE11,2016,75
2016,UKE21,2016,16
2016,UKE32,2016,176
2016,UKE41,2016,0
2016,UKE42,2016,315
2016,UKE44,2016,99
2016,UKF11,2016,159
2016,UKF14,2016,491
2016,UKF21,2016,240
2016,UKF22,2016,89
2016,UKF24,2016,88
2016,UKF30,2016,149
2016,UKG12,2016,16
2016,UKG21,2016,0
2016,UKG23,2016,266
2016,UKG24,2016,5
2016,UKG31,2016,226
2016,UKG33,2016,20
2016,UKG39,2016,100
2016,UKH12,2016,37
2016,UKH14,2016,0
2016,UKH15,2016,214
2016,UKH21,2016,528
2016,UKH23,2016,70
2016,UKH25,2016,0
2016,UKH34,2016,28
2016,UKH36,2016,0
2016,UKI31,2016,570
2016,UKI32,2016,593
2016,UKI33,2016,0
2016,UKI34,2016,0
2016,UKI41,2016,27
2016,UKI42,2016,28
2016,UKI43,2016,225
2016,UKI44,2016,72
2016,UKI51,2016,15
2016,UKI63,2016,860
2016,UKI71,2016,0
2016,UKI73,2016,0
2016,UKI74,2016,0
2016,UKI75,2016,0
2016,UKJ11,2016,0
2016,UKJ12,2016,3
2016,UKJ13,2016,0
2016,UKJ14,2016,154
2016,UKJ21,2016,47
2016,UKJ25,2016,258
2016,UKJ27,2016,0
2016,UKJ31,2016,491
2016,UKJ32,2016,346
2016,UKJ36,2016,8
2016,UKJ44,2016,94
2016,UKK11,2016,29
2016,UKK12,2016,198
2016,UKK13,2016,20
2016,UKK21,2016,1
2016,UKK30,2016,201
2016,UKK41,2016,85
2016,UKK43,2016,16
2016,UKL12,2016,57
2016,UKL14,2016,738
2016,UKL15,2016,210
2016,UKL18,2016,49
2016,UKL22,2016,489
2016,UKL23,2016,0
2016,UKM50,2016,26
2016,UKM62,2016,0
2016,UKM71,2016,21
2016,UKM72,2016,0
2016,UKM73,2016,5
2016,UKM75,2016,403
