year,nuts_id,nuts_year_spec,spinoff_revenue
2014,UKC1,2013,41677000
2014,UKC2,2013,84286000
2014,UKD1,2013,235000
2014,UKD3,2013,38799000
2014,UKD4,2013,71120000
2014,UKD6,2013,0
2014,UKD7,2013,27272000
2014,UKE1,2013,2995000
2014,UKE2,2013,5464000
2014,UKE3,2013,0
2014,UKE4,2013,60326000
2014,UKF1,2013,28763000
2014,UKF2,2013,116550000
2014,UKF3,2013,809000
2014,UKG1,2013,0
2014,UKG2,2013,1056000
2014,UKG3,2013,119130000
2014,UKH1,2013,44799000
2014,UKH2,2013,25037000
2014,UKH3,2013,280000
2014,UKI3,2013,130010000
2014,UKI4,2013,52459000
2014,UKI5,2013,352000
2014,UKI6,2013,30686000
2014,UKI7,2013,8818000
2014,UKJ1,2013,97766000
2014,UKJ2,2013,132364000
2014,UKJ3,2013,111239000
2014,UKJ4,2013,2512000
2014,UKK1,2013,175687000
2014,UKK2,2013,6942000
2014,UKK3,2013,0
2014,UKK4,2013,42435000
2014,UKL1,2013,77188000
2014,UKL2,2013,34870000
2014,UKM2,2013,260079000
2014,UKM3,2013,574198000
2014,UKM5,2013,2594000
2014,UKM6,2013,0
2014,UKN0,2013,219240000
2015,UKC1,2013,71677000
2015,UKC2,2013,91824000
2015,UKD1,2013,322000
2015,UKD3,2013,43081000
2015,UKD4,2013,72047000
2015,UKD6,2013,0
2015,UKD7,2013,31407000
2015,UKE1,2013,5962000
2015,UKE2,2013,3458000
2015,UKE3,2013,0
2015,UKE4,2013,63208000
2015,UKF1,2013,47533000
2015,UKF2,2013,157577000
2015,UKF3,2013,1875000
2015,UKG1,2013,0
2015,UKG2,2013,1086000
2015,UKG3,2013,147196000
2015,UKH1,2013,25310000
2015,UKH2,2013,21284000
2015,UKH3,2013,313000
2015,UKI3,2013,176371000
2015,UKI4,2013,48017000
2015,UKI5,2013,323000
2015,UKI6,2013,29336000
2015,UKI7,2013,10734000
2015,UKJ1,2013,155541000
2015,UKJ2,2013,142141000
2015,UKJ3,2013,105748000
2015,UKJ4,2013,3536000
2015,UKK1,2013,135782000
2015,UKK2,2013,6517000
2015,UKK3,2013,34000
2015,UKK4,2013,53031000
2015,UKL1,2013,72893000
2015,UKL2,2013,39167000
2015,UKM2,2013,271787000
