year,nuts_id,nuts_year_spec,collaborative_research_cash
2015,UKC12,2013,1794000.0
2015,UKC14,2013,422000.0
2015,UKC22,2013,2884000.0
2015,UKC23,2013,73000.0
2015,UKD12,2013,1000.0
2015,UKD33,2013,946000.0
2015,UKD34,2013,252000.0
2015,UKD36,2013,0.0
2015,UKD44,2013,127000.0
2015,UKD45,2013,304000.0
2015,UKD47,2013,0.0
2015,UKD63,2013,0.0
2015,UKD72,2013,2321000.0
2015,UKE11,2013,71000.0
2015,UKE21,2013,560000.0
2015,UKE32,2013,2327000.0
2015,UKE41,2013,153000.0
2015,UKE42,2013,1935000.0
2015,UKE44,2013,610000.0
2015,UKF11,2013,131000.0
2015,UKF14,2013,99000.0
2015,UKF21,2013,475000.0
2015,UKF22,2013,637000.0
2015,UKF24,2013,51000.0
2015,UKF30,2013,112000.0
2015,UKG12,2013,10000.0
2015,UKG21,2013,269000.0
2015,UKG23,2013,95000.0
2015,UKG24,2013,76000.0
2015,UKG31,2013,65000.0
2015,UKG33,2013,324000.0
2015,UKG39,2013,0.0
2015,UKH12,2013,6226000.0
2015,UKH14,2013,0.0
2015,UKH15,2013,61000.0
2015,UKH21,2013,100000.0
2015,UKH23,2013,205000.0
2015,UKH25,2013,778000.0
2015,UKH34,2013,295000.0
2015,UKH36,2013,316000.0
2015,UKI31,2013,23647000.0
2015,UKI32,2013,6311000.0
2015,UKI33,2013,209000.0
2015,UKI34,2013,0.0
2015,UKI41,2013,0.0
2015,UKI42,2013,2540000.0
2015,UKI43,2013,337000.0
2015,UKI44,2013,183000.0
2015,UKI51,2013,73000.0
2015,UKI63,2013,166000.0
2015,UKI71,2013,55000.0
2015,UKI73,2013,3000.0
2015,UKI74,2013,2624000.0
2015,UKI75,2013,0.0
2015,UKJ11,2013,680000.0
2015,UKJ12,2013,0.0
2015,UKJ13,2013,23000.0
2015,UKJ14,2013,1230000.0
2015,UKJ21,2013,708000.0
2015,UKJ25,2013,450000.0
2015,UKJ27,2013,0.0
2015,UKJ31,2013,31000.0
2015,UKJ32,2013,633000.0
2015,UKJ36,2013,0.0
2015,UKJ44,2013,187000.0
2015,UKK11,2013,591000.0
2015,UKK12,2013,2334000.0
2015,UKK13,2013,0.0
2015,UKK21,2013,102000.0
2015,UKK30,2013,136000.0
2015,UKK41,2013,177000.0
2015,UKK43,2013,602000.0
2015,UKL12,2013,69000.0
2015,UKL14,2013,680000.0
2015,UKL15,2013,138000.0
2015,UKL18,2013,10950000.0
2015,UKL22,2013,1339000.0
2015,UKL23,2013,8000.0
2015,UKM21,2013,196000.0
2015,UKM22,2013,24000.0
2015,UKM23,2013,4000.0
2015,UKM25,2013,4168000.0
2015,UKM27,2013,559000.0
2015,UKM34,2013,11596000.0
2015,UKM35,2013,263000.0
2015,UKM50,2013,1314000.0
2015,UKM62,2013,3189000.0
2015,UKN01,2013,2034000.0
2015,UKN04,2013,422000.0
2016,UKC12,2016,1607000.0
2016,UKC14,2016,550000.0
2016,UKC22,2016,2382000.0
2016,UKC23,2016,13000.0
2016,UKD12,2016,0.0
2016,UKD33,2016,1142000.0
2016,UKD34,2016,306000.0
2016,UKD36,2016,23000.0
2016,UKD44,2016,175000.0
2016,UKD45,2016,198000.0
2016,UKD47,2016,0.0
2016,UKD63,2016,360000.0
2016,UKD72,2016,2435000.0
2016,UKE11,2016,192000.0
2016,UKE21,2016,210000.0
2016,UKE32,2016,2242000.0
2016,UKE41,2016,146000.0
2016,UKE42,2016,2063000.0
2016,UKE44,2016,698000.0
2016,UKF11,2016,211000.0
2016,UKF14,2016,103000.0
2016,UKF21,2016,671000.0
2016,UKF22,2016,913000.0
2016,UKF24,2016,55000.0
2016,UKF30,2016,121000.0
2016,UKG12,2016,7000.0
2016,UKG21,2016,509000.0
