year,nuts_id,nuts_year_spec,regeneration_development
2014,UKC1,2013,2351000
2014,UKC2,2013,1365000
2014,UKD1,2013,557000
2014,UKD3,2013,1942000
2014,UKD4,2013,34092000
2014,UKD6,2013,1854000
2014,UKD7,2013,3731000
2014,UKE1,2013,176000
2014,UKE2,2013,4071000
2014,UKE3,2013,2454000
2014,UKE4,2013,1039000
2014,UKF1,2013,6699000
2014,UKF2,2013,9864000
2014,UKF3,2013,830000
2014,UKG1,2013,118000
2014,UKG2,2013,706000
2014,UKG3,2013,35103000
2014,UKH1,2013,1202000
2014,UKH2,2013,12914000
2014,UKH3,2013,3621000
2014,UKI3,2013,1836000
2014,UKI4,2013,445000
2014,UKI5,2013,1737000
2014,UKI6,2013,44000
2014,UKI7,2013,315000
2014,UKJ1,2013,0
2014,UKJ2,2013,991000
2014,UKJ3,2013,6066000
2014,UKJ4,2013,442000
2014,UKK1,2013,6176000
2014,UKK2,2013,151000
2014,UKK3,2013,1273000
2014,UKK4,2013,6439000
2014,UKL1,2013,26298000
2014,UKL2,2013,7408000
2014,UKM2,2013,1561000
2014,UKM3,2013,6577000
2014,UKM5,2013,875000
2014,UKM6,2013,1264000
2014,UKN0,2013,10246000
2015,UKC1,2013,2005000
2015,UKC2,2013,6026000
2015,UKD1,2013,39000
2015,UKD3,2013,1794000
2015,UKD4,2013,8249000
2015,UKD6,2013,541000
2015,UKD7,2013,912000
2015,UKE1,2013,193000
2015,UKE2,2013,2510000
2015,UKE3,2013,1556000
2015,UKE4,2013,701000
2015,UKF1,2013,11144000
2015,UKF2,2013,7177000
2015,UKF3,2013,710000
2015,UKG1,2013,244000
2015,UKG2,2013,602000
2015,UKG3,2013,39493000
2015,UKH1,2013,1331000
2015,UKH2,2013,7995000
2015,UKH3,2013,3913000
2015,UKI3,2013,1961000
2015,UKI4,2013,610000
2015,UKI5,2013,1914000
2015,UKI6,2013,70000
2015,UKI7,2013,471000
2015,UKJ1,2013,5000
2015,UKJ2,2013,716000
2015,UKJ3,2013,1180000
2015,UKJ4,2013,66000
2015,UKK1,2013,12515000
2015,UKK2,2013,119000
2015,UKK3,2013,166000
2015,UKK4,2013,8349000
2015,UKL1,2013,14215000
2015,UKL2,2013,4054000
2015,UKM2,2013,1201000
2015,UKM3,2013,2585000
2015,UKM5,2013,1189000
2015,UKM6,2013,819000
2015,UKN0,2013,9080000
2016,UKC1,2016,3313000
2016,UKC2,2016,4240000
2016,UKD1,2016,136000
2016,UKD3,2016,1808000
2016,UKD4,2016,4386000
2016,UKD6,2016,387000
2016,UKD7,2016,2102000
2016,UKE1,2016,532000
2016,UKE2,2016,1047000
2016,UKE3,2016,1574000
2016,UKE4,2016,248000
2016,UKF1,2016,15562000
2016,UKF2,2016,8392000
2016,UKF3,2016,1186000
2016,UKG1,2016,197000
2016,UKG2,2016,1552000
2016,UKG3,2016,50542000
2016,UKH1,2016,577000
2016,UKH2,2016,8995000
2016,UKH3,2016,4635000
2016,UKI3,2016,2482000
2016,UKI4,2016,260000
2016,UKI5,2016,1493000
2016,UKI6,2016,0
2016,UKI7,2016,1804000
2016,UKJ1,2016,2000
2016,UKJ2,2016,597000
2016,UKJ3,2016,2838000
2016,UKJ4,2016,336000
2016,UKK1,2016,6115000
2016,UKK2,2016,94000
2016,UKK3,2016,436000
2016,UKK4,2016,9793000
2016,UKL1,2016,19767000
2016,UKL2,2016,4165000
2016,UKM5,2016,1266000
2016,UKM6,2016,691000
