year,nuts_id,nuts_year_spec,contract_research_public_third
2014,UKC12,2013,607000
2014,UKC14,2013,4207000
2014,UKC22,2013,22981000
2014,UKC23,2013,192000
2014,UKD12,2013,176000
2014,UKD33,2013,30994000
2014,UKD34,2013,1364000
2014,UKD36,2013,25000
2014,UKD44,2013,4997000
2014,UKD45,2013,2152000
2014,UKD47,2013,138000
2014,UKD63,2013,552000
2014,UKD72,2013,8072000
2014,UKE11,2013,3412000
2014,UKE21,2013,14232000
2014,UKE32,2013,25302000
2014,UKE41,2013,1009000
2014,UKE42,2013,43837000
2014,UKE44,2013,622000
2014,UKF11,2013,142000
2014,UKF14,2013,8319000
2014,UKF21,2013,8312000
2014,UKF22,2013,4286000
2014,UKF24,2013,608000
2014,UKF30,2013,1979000
2014,UKG12,2013,242000
2014,UKG21,2013,611000
2014,UKG23,2013,975000
2014,UKG24,2013,436000
2014,UKG31,2013,33697000
2014,UKG33,2013,19460000
2014,UKG39,2013,206000
2014,UKH12,2013,7766000
2014,UKH14,2013,0
2014,UKH15,2013,2696000
2014,UKH21,2013,809000
2014,UKH23,2013,6571000
2014,UKH25,2013,0
2014,UKH34,2013,12787000
2014,UKH36,2013,118000
2014,UKI31,2013,61479000
2014,UKI32,2013,97411000
2014,UKI33,2013,1327000
2014,UKI34,2013,1065000
2014,UKI41,2013,363000
2014,UKI42,2013,1417000
2014,UKI43,2013,1802000
2014,UKI44,2013,509000
2014,UKI51,2013,7843000
2014,UKI63,2013,137000
2014,UKI71,2013,1243000
2014,UKI73,2013,1119000
2014,UKI74,2013,252000
2014,UKI75,2013,0
2014,UKJ11,2013,2052000
2014,UKJ12,2013,616000
2014,UKJ13,2013,1112000
2014,UKJ14,2013,89084000
2014,UKJ21,2013,10669000
2014,UKJ25,2013,6536000
2014,UKJ27,2013,238000
2014,UKJ31,2013,599000
2014,UKJ32,2013,16293000
2014,UKJ36,2013,224000
2014,UKJ44,2013,3576000
2014,UKK11,2013,31898000
2014,UKK12,2013,1342000
2014,UKK13,2013,358000
2014,UKK21,2013,651000
2014,UKK30,2013,28000
2014,UKK41,2013,2704000
2014,UKK43,2013,17062000
2014,UKL12,2013,7460000
2014,UKL14,2013,1034000
2014,UKL15,2013,504000
2014,UKL18,2013,740000
2014,UKL22,2013,1342000
2014,UKL23,2013,354000
2014,UKM21,2013,6000000
2014,UKM22,2013,7938000
2014,UKM23,2013,1253000
2014,UKM25,2013,131000
2014,UKM27,2013,1301000
2014,UKM34,2013,29895000
2014,UKM35,2013,2267000
2014,UKM50,2013,3894000
2014,UKM62,2013,2440000
2014,UKN01,2013,11796000
2014,UKN04,2013,5452000
2015,UKC12,2013,865000
2015,UKC14,2013,4413000
2015,UKC22,2013,24142000
2015,UKC23,2013,408000
2015,UKD12,2013,140000
2015,UKD33,2013,30655000
2015,UKD34,2013,1518000
2015,UKD36,2013,9000
2015,UKD44,2013,5818000
2015,UKD45,2013,1566000
2015,UKD47,2013,129000
2015,UKD63,2013,437000
2015,UKD72,2013,7535000
2015,UKE11,2013,2589000
2015,UKE21,2013,13343000
2015,UKE32,2013,23340000
2015,UKE41,2013,726000
2015,UKE42,2013,36628000
2015,UKE44,2013,115000
2015,UKF11,2013,70000
2015,UKF14,2013,17434000
2015,UKF21,2013,12249000
2015,UKF22,2013,2444000
2015,UKF24,2013,384000
2015,UKF30,2013,3291000
2015,UKG12,2013,455000
2015,UKG21,2013,49000
2015,UKG23,2013,864000
2015,UKG24,2013,683000
2015,UKG31,2013,38249000
2015,UKG33,2013,15070000
2015,UKG39,2013,437000
2015,UKH12,2013,7808000
2015,UKH14,2013,10000
2015,UKH15,2013,2098000
2015,UKH21,2013,1236000
2015,UKH23,2013,6053000
2015,UKH25,2013,0
2015,UKH34,2013,12985000
2015,UKH36,2013,605000
2015,UKI31,2013,74338000
2015,UKI32,2013,87763000
2015,UKI33,2013,2430000
2015,UKI34,2013,1186000
2015,UKI41,2013,398000
2015,UKI42,2013,757000
2015,UKI43,2013,1594000
2015,UKI44,2013,586000
2015,UKI51,2013,9972000
2015,UKI63,2013,89000
2015,UKI71,2013,1274000
2015,UKI73,2013,1008000
2015,UKI74,2013,403000
2015,UKI75,2013,0
2015,UKJ11,2013,1823000
2015,UKJ12,2013,785000
2015,UKJ13,2013,478000
2015,UKJ14,2013,103425000
2015,UKJ21,2013,11426000
2015,UKJ25,2013,6704000
2015,UKJ27,2013,87000
2015,UKJ31,2013,622000
2015,UKJ32,2013,16780000
2015,UKJ36,2013,160000
2015,UKJ44,2013,3302000
2015,UKK11,2013,37247000
2015,UKK12,2013,1563000
2015,UKK13,2013,318000
2015,UKK21,2013,1409000
2015,UKK30,2013,12000
2015,UKK41,2013,1681000
2015,UKK43,2013,12091000
2015,UKL12,2013,4875000
2015,UKL14,2013,1425000
2015,UKL15,2013,346000
2015,UKL18,2013,821000
2015,UKL22,2013,1235000
2015,UKL23,2013,158000
2015,UKM21,2013,2592000
2015,UKM22,2013,7854000
2015,UKM23,2013,379000
2015,UKM25,2013,3492000
2015,UKM27,2013,837000
2015,UKM34,2013,29192000
2015,UKM35,2013,1217000
2015,UKM50,2013,3002000
2015,UKM62,2013,2420000
2015,UKN01,2013,14371000
2015,UKN04,2013,2962000
