year,nuts_id,nuts_year_spec,ce_cpd_learner_days
2014,UKC1,2013,287933000
2014,UKC2,2013,139797000
2014,UKD1,2013,114020000
2014,UKD3,2013,174022000
2014,UKD4,2013,106049000
2014,UKD6,2013,29620000
2014,UKD7,2013,30487000
2014,UKE1,2013,20827000
2014,UKE2,2013,17493000
2014,UKE3,2013,15969000
2014,UKE4,2013,36439000
2014,UKF1,2013,32839000
2014,UKF2,2013,132211000
2014,UKF3,2013,45798000
2014,UKG1,2013,722000
2014,UKG2,2013,33434000
2014,UKG3,2013,143378000
2014,UKH1,2013,83370000
2014,UKH2,2013,29813000
2014,UKH3,2013,368763000
2014,UKI3,2013,957341000
2014,UKI4,2013,186875000
2014,UKI5,2013,11358000
2014,UKI6,2013,47936000
2014,UKI7,2013,72273000
2014,UKJ1,2013,119889000
2014,UKJ2,2013,101218000
2014,UKJ3,2013,161345000
2014,UKJ4,2013,69240000
2014,UKK1,2013,77844000
2014,UKK2,2013,11186000
2014,UKK3,2013,463000
2014,UKK4,2013,11100000
2014,UKL1,2013,180016000
2014,UKL2,2013,68851000
2014,UKM2,2013,82882000
2014,UKM3,2013,21550000
2014,UKM5,2013,14225000
2014,UKM6,2013,18969000
2014,UKN0,2013,80141000
2015,UKC1,2013,245932000
2015,UKC2,2013,76219000
2015,UKD1,2013,30281000
2015,UKD3,2013,171783000
2015,UKD4,2013,108512000
2015,UKD6,2013,24836000
2015,UKD7,2013,35775000
2015,UKE1,2013,14537000
2015,UKE2,2013,17365000
2015,UKE3,2013,10533000
2015,UKE4,2013,40162000
2015,UKF1,2013,24867000
2015,UKF2,2013,98348000
2015,UKF3,2013,45527000
2015,UKG1,2013,452000
2015,UKG2,2013,28306000
2015,UKG3,2013,367230000
2015,UKH1,2013,85376000
2015,UKH2,2013,32169000
2015,UKH3,2013,371017000
2015,UKI3,2013,867836000
2015,UKI4,2013,192569000
2015,UKI5,2013,8823000
2015,UKI6,2013,18855000
2015,UKI7,2013,77160000
2015,UKJ1,2013,102115000
2015,UKJ2,2013,93500000
2015,UKJ3,2013,168565000
2015,UKJ4,2013,72147000
2015,UKK1,2013,69657000
2015,UKK2,2013,22192000
2015,UKK3,2013,578000
2015,UKK4,2013,7099000
2015,UKL1,2013,150115000
2015,UKL2,2013,82373000
2015,UKM2,2013,65552000
2015,UKM3,2013,20102000
2015,UKM5,2013,16687000
2015,UKM6,2013,23032000
2015,UKN0,2013,42038000
2016,UKC1,2016,193764000
2016,UKC2,2016,69730000
2016,UKD1,2016,20899000
2016,UKD3,2016,180135000
2016,UKD4,2016,90740000
2016,UKD6,2016,24110000
2016,UKD7,2016,39951000
2016,UKE1,2016,9510000
2016,UKE2,2016,14226000
2016,UKE3,2016,10726000
2016,UKE4,2016,35144000
2016,UKF1,2016,29217000
2016,UKF2,2016,84257000
2016,UKF3,2016,45485000
2016,UKG1,2016,3446000
2016,UKG2,2016,40118000
2016,UKG3,2016,316420000
2016,UKH1,2016,78768000
2016,UKH2,2016,37600000
2016,UKH3,2016,263181000
2016,UKI3,2016,903247000
2016,UKI4,2016,184495000
2016,UKI5,2016,11692000
2016,UKI6,2016,19265000
2016,UKI7,2016,83620000
2016,UKJ1,2016,111852000
2016,UKJ2,2016,116349000
2016,UKJ3,2016,145685000
2016,UKJ4,2016,94969000
2016,UKK1,2016,72374000
2016,UKK2,2016,24006000
2016,UKK3,2016,691000
2016,UKK4,2016,7156000
2016,UKL1,2016,154967000
2016,UKL2,2016,112937000
2016,UKM5,2016,26830000
2016,UKM6,2016,23120000
2016,UKM7,2016,57729000
2016,UKM8,2016,22774000
2016,UKN0,2016,38737000
2017,UKC1,2016,194090000
2017,UKC2,2016,51286000
2017,UKD1,2016,18343000
2017,UKD3,2016,306013000
2017,UKD4,2016,77520000
2017,UKD6,2016,16242000
2017,UKD7,2016,52979000
2017,UKE1,2016,5559000
2017,UKE2,2016,12773000
2017,UKE3,2016,35221000
2017,UKE4,2016,50547000
2017,UKF1,2016,33053000
2017,UKF2,2016,89043000
2017,UKF3,2016,45247000
2017,UKG1,2016,3326000
2017,UKG2,2016,32610000
2017,UKG3,2016,285086000
2017,UKH1,2016,68990000
2017,UKH2,2016,49856000
2017,UKH3,2016,188406000
2017,UKI3,2016,820558000
2017,UKI4,2016,150280000
2017,UKI5,2016,9511000
2017,UKI6,2016,17862000
2017,UKI7,2016,90421000
2017,UKJ1,2016,195738000
2017,UKJ2,2016,94170000
2017,UKJ3,2016,86522000
2017,UKJ4,2016,98793000
2017,UKK1,2016,76059000
2017,UKK2,2016,23172000
2017,UKK3,2016,691000
2017,UKK4,2016,10431000
2017,UKL1,2016,160578000
