year,nuts_id,nuts_year_spec,consultancy_facilities_non_sme
2014,UKC1,2013,1910000.0
2014,UKC2,2013,2356000.0
2014,UKD1,2013,59000.0
2014,UKD3,2013,4197000.0
2014,UKD4,2013,694000.0
2014,UKD6,2013,2448000.0
2014,UKD7,2013,1002000.0
2014,UKE1,2013,1134000.0
2014,UKE2,2013,3435000.0
2014,UKE3,2013,2881000.0
2014,UKE4,2013,4565000.0
2014,UKF1,2013,6029000.0
2014,UKF2,2013,9506000.0
2014,UKF3,2013,335000.0
2014,UKG1,2013,22000.0
2014,UKG2,2013,1456000.0
2014,UKG3,2013,8435000.0
2014,UKH1,2013,11241000.0
2014,UKH2,2013,2990000.0
2014,UKH3,2013,8871000.0
2014,UKI3,2013,32232000.0
2014,UKI4,2013,4306000.0
2014,UKI5,2013,681000.0
2014,UKI6,2013,44000.0
2014,UKI7,2013,891000.0
2014,UKJ1,2013,6650000.0
2014,UKJ2,2013,6795000.0
2014,UKJ3,2013,8152000.0
2014,UKJ4,2013,771000.0
2014,UKK1,2013,2846000.0
2014,UKK2,2013,289000.0
2014,UKK3,2013,1000.0
2014,UKK4,2013,1189000.0
2014,UKL1,2013,1643000.0
2014,UKL2,2013,587000.0
2014,UKM2,2013,17614000.0
2014,UKM3,2013,7947000.0
2014,UKM5,2013,857000.0
2014,UKM6,2013,614000.0
2014,UKN0,2013,2758000.0
2015,UKC1,2013,1287000.0
2015,UKC2,2013,1826000.0
2015,UKD1,2013,8000.0
2015,UKD3,2013,4513000.0
2015,UKD4,2013,1040000.0
2015,UKD6,2013,1995000.0
2015,UKD7,2013,661000.0
2015,UKE1,2013,1204000.0
2015,UKE2,2013,4481000.0
2015,UKE3,2013,3882000.0
2015,UKE4,2013,5712000.0
2015,UKF1,2013,5882000.0
2015,UKF2,2013,8449000.0
2015,UKF3,2013,1117000.0
2015,UKG1,2013,9000.0
2015,UKG2,2013,1573000.0
2015,UKG3,2013,9469000.0
2015,UKH1,2013,12440000.0
2015,UKH2,2013,2703000.0
2015,UKH3,2013,8555000.0
2015,UKI3,2013,29911000.0
2015,UKI4,2013,3918000.0
2015,UKI5,2013,656000.0
2015,UKI6,2013,133000.0
2015,UKI7,2013,670000.0
2015,UKJ1,2013,6619000.0
2015,UKJ2,2013,7558000.0
2015,UKJ3,2013,9528000.0
2015,UKJ4,2013,1084000.0
2015,UKK1,2013,2953000.0
2015,UKK2,2013,191000.0
2015,UKK3,2013,0.0
2015,UKK4,2013,1196000.0
2015,UKL1,2013,1870000.0
2015,UKL2,2013,498000.0
2015,UKM2,2013,18148000.0
2015,UKM3,2013,9191000.0
2015,UKM5,2013,1294000.0
2015,UKM6,2013,405000.0
2015,UKN0,2013,2508000.0
2016,UKC1,2016,1844000.0
2016,UKC2,2016,2322000.0
2016,UKD1,2016,190000.0
2016,UKD3,2016,4804000.0
2016,UKD4,2016,997000.0
2016,UKD6,2016,1644000.0
2016,UKD7,2016,893000.0
2016,UKE1,2016,1184000.0
2016,UKE2,2016,3628000.0
2016,UKE3,2016,3188000.0
2016,UKE4,2016,3478000.0
2016,UKF1,2016,5574000.0
2016,UKF2,2016,7183000.0
2016,UKF3,2016,563000.0
2016,UKG1,2016,102000.0
2016,UKG2,2016,1428000.0
2016,UKG3,2016,8624000.0
2016,UKH1,2016,9877000.0
2016,UKH2,2016,3280000.0
2016,UKH3,2016,7267000.0
2016,UKI3,2016,35243000.0
2016,UKI4,2016,3552000.0
2016,UKI5,2016,653000.0
2016,UKI6,2016,131000.0
2016,UKI7,2016,909000.0
2016,UKJ1,2016,6569000.0
2016,UKJ2,2016,9092000.0
2016,UKJ3,2016,8500000.0
2016,UKJ4,2016,1373000.0
2016,UKK1,2016,2496000.0
2016,UKK2,2016,71000.0
2016,UKK3,2016,1000.0
2016,UKK4,2016,1463000.0
2016,UKL1,2016,1166000.0
2016,UKL2,2016,595000.0
2016,UKM5,2016,1248000.0
2016,UKM6,2016,147000.0
2016,UKM7,2016,21540000.0
2016,UKM8,2016,7355000.0
2016,UKN0,2016,2482000.0
2017,UKC1,2016,1761000.0
2017,UKC2,2016,2775000.0
2017,UKD1,2016,94000.0
2017,UKD3,2016,3623000.0
2017,UKD4,2016,541000.0
2017,UKD6,2016,1749000.0
2017,UKD7,2016,966000.0
2017,UKE1,2016,842000.0
2017,UKE2,2016,4002000.0
2017,UKE3,2016,2942000.0
2017,UKE4,2016,2863000.0
2017,UKF1,2016,7599000.0
2017,UKF2,2016,7135000.0
2017,UKF3,2016,686000.0
2017,UKG1,2016,156000.0
2017,UKG2,2016,1500000.0
2017,UKG3,2016,8411000.0
2017,UKH1,2016,15278000.0
2017,UKH2,2016,3573000.0
2017,UKH3,2016,123000.0
2017,UKI3,2016,38364000.0
2017,UKI4,2016,4182000.0
2017,UKI5,2016,588000.0
2017,UKI6,2016,25000.0
2017,UKI7,2016,1342000.0
2017,UKJ1,2016,6211000.0
2017,UKJ2,2016,8920000.0
2017,UKJ3,2016,8078000.0
2017,UKJ4,2016,1756000.0
2017,UKK1,2016,2363000.0
2017,UKK2,2016,114000.0
2017,UKK3,2016,6000.0
2017,UKK4,2016,1267000.0
2017,UKL1,2016,1355000.0
2017,UKL2,2016,1573000.0
2017,UKM5,2016,764000.0
2017,UKM6,2016,307000.0
2017,UKM7,2016,20141000.0
2017,UKM8,2016,7480000.0
2017,UKN0,2016,2366000.0
2018,UKC1,2016,1670000.0
2018,UKC2,2016,3732000.0
2018,UKD1,2016,55000.0
2018,UKD3,2016,3899000.0
2018,UKD4,2016,1134000.0
2018,UKD6,2016,1718000.0
2018,UKD7,2016,1642000.0
2018,UKE1,2016,1069000.0
2018,UKE2,2016,4142000.0
2018,UKE3,2016,3263000.0
2018,UKE4,2016,2935000.0
2018,UKF1,2016,5827000.0
2018,UKF2,2016,7217000.0
2018,UKF3,2016,612000.0
2018,UKG1,2016,137000.0
2018,UKG2,2016,1852000.0
2018,UKG3,2016,15086000.0
2018,UKH1,2016,14380000.0
2018,UKH2,2016,3647000.0
2018,UKH3,2016,148000.0
2018,UKI3,2016,34154000.0
2018,UKI4,2016,5215000.0
2018,UKI5,2016,585000.0
2018,UKI6,2016,0.0
2018,UKI7,2016,1015000.0
2018,UKJ1,2016,6032000.0
2018,UKJ2,2016,9768000.0
2018,UKJ3,2016,7870000.0
2018,UKJ4,2016,1378000.0
2018,UKK1,2016,3079000.0
2018,UKK2,2016,67000.0
2018,UKK3,2016,5000.0
2018,UKK4,2016,820000.0
2018,UKL1,2016,1594000.0
2018,UKL2,2016,1404000.0
2018,UKM5,2016,728000.0
2018,UKM6,2016,224000.0
2018,UKM7,2016,19351000.0
2018,UKM8,2016,7511000.0
2018,UKN0,2016,3069000.0
