year,lep_id,lep_year_spec,ip_revenue
2018,E37000022,2017,2842000.0
2018,E37000023,2017,65513000.0
2018,E37000024,2017,1015000.0
2018,E37000025,2017,26288000.0
2018,E37000027,2017,83973000.0
2018,E37000029,2017,4066000.0
2018,E37000030,2017,88000.0
2018,E37000032,2017,46000.0
2018,E37000034,2017,0.0
2018,E37000035,2017,32000.0
2018,E37000036,2017,428000.0
2018,E37000037,2017,5707000.0
2018,E37000038,2017,0.0
2018,E37000039,2017,2190000.0
2018,E37000040,2017,17371000.0
2018,E37000041,2017,3515000.0
2018,E37000042,2017,26816000.0
