year,lep_id,lep_year_spec,contract_research_non_sme
2014,E37000001,2014,28000
2014,E37000002,2014,4000
2014,E37000003,2014,476000
2014,E37000004,2014,1803000
2014,E37000005,2014,16000
2014,E37000006,2014,12156000
2014,E37000007,2014,6000
2014,E37000008,2014,15328000
2014,E37000009,2014,215000
2014,E37000010,2014,5284000
2014,E37000011,2014,32000
2014,E37000012,2014,9397000
2014,E37000013,2014,24958000
2014,E37000014,2014,438000
2014,E37000015,2014,26074000
2014,E37000016,2014,2783000
2014,E37000017,2014,32000
2014,E37000018,2014,1949000
2014,E37000019,2014,1311000
2014,E37000020,2014,16507000
2014,E37000021,2014,11054000
2014,E37000022,2014,7369000
2014,E37000023,2014,114811000
2014,E37000024,2014,49000
2014,E37000025,2014,10658000
2014,E37000026,2014,82000
2014,E37000027,2014,51588000
2014,E37000029,2014,7855000
2014,E37000030,2014,457000
2014,E37000031,2014,10392000
2014,E37000032,2014,1233000
2014,E37000034,2014,11000
2014,E37000035,2014,4173000
2014,E37000036,2014,670000
2014,E37000037,2014,13948000
2014,E37000038,2014,128000
2014,E37000039,2014,2462000
2014,E37000040,2014,15155000
2015,E37000001,2014,64000
2015,E37000002,2014,212000
2015,E37000003,2014,1087000
2015,E37000004,2014,2470000
2015,E37000005,2014,0
2015,E37000006,2014,11680000
2015,E37000007,2014,3000
2015,E37000008,2014,14110000
2015,E37000009,2014,107000
2015,E37000010,2014,5257000
2015,E37000011,2014,57000
2015,E37000012,2014,11974000
2015,E37000013,2014,24336000
2015,E37000014,2014,541000
2015,E37000015,2014,31040000
2015,E37000016,2014,2259000
2015,E37000017,2014,208000
2015,E37000018,2014,1805000
2015,E37000019,2014,1501000
2015,E37000020,2014,15161000
2015,E37000021,2014,9895000
2015,E37000022,2014,7701000
2015,E37000023,2014,118035000
2015,E37000024,2014,248000
2015,E37000025,2014,10696000
2015,E37000026,2014,99000
2015,E37000027,2014,63547000
2015,E37000029,2014,9144000
2015,E37000030,2014,701000
2015,E37000031,2014,8797000
2015,E37000032,2014,998000
2015,E37000034,2014,13000
2015,E37000035,2014,4645000
2015,E37000036,2014,961000
2015,E37000037,2014,15351000
2015,E37000038,2014,15000
2015,E37000039,2014,2573000
2015,E37000040,2014,13953000
2016,E37000001,2014,111000
2016,E37000002,2014,89000
2016,E37000003,2014,245000
2016,E37000004,2014,3008000
2016,E37000005,2014,0
2016,E37000006,2014,14852000
2016,E37000007,2014,4000
2016,E37000008,2014,15110000
2016,E37000009,2014,215000
2016,E37000010,2014,7193000
2016,E37000011,2014,47000
2016,E37000012,2014,12468000
2016,E37000013,2014,27291000
2016,E37000014,2014,1776000
2016,E37000015,2014,30537000
2016,E37000016,2014,3182000
2016,E37000017,2014,242000
2016,E37000018,2014,1790000
2016,E37000019,2014,1845000
2016,E37000020,2014,14873000
2016,E37000021,2014,11317000
2016,E37000022,2014,6686000
2016,E37000023,2014,114748000
2016,E37000024,2014,476000
2016,E37000025,2014,10351000
2016,E37000026,2014,226000
2016,E37000027,2014,56935000
2016,E37000029,2014,8229000
2016,E37000030,2014,688000
2016,E37000031,2014,9097000
2016,E37000032,2014,694000
2016,E37000034,2014,53000
2016,E37000035,2014,5546000
2016,E37000036,2014,1273000
2016,E37000037,2014,14465000
2016,E37000038,2014,30000
2016,E37000039,2014,2146000
2016,E37000040,2014,18598000
2017,E37000001,2017,346000
2017,E37000002,2017,0
2017,E37000003,2017,2185000
2017,E37000004,2017,2998000
2017,E37000005,2017,0
2017,E37000006,2017,13898000
2017,E37000007,2017,0
2017,E37000008,2017,19013000
2017,E37000009,2017,215000
2017,E37000010,2017,5718000
2017,E37000011,2017,92000
2017,E37000012,2017,19446000
2017,E37000014,2017,329000
2017,E37000015,2017,42546000
2017,E37000016,2017,3755000
2017,E37000017,2017,84000
2017,E37000018,2017,1525000
2017,E37000019,2017,1759000
2017,E37000020,2017,15158000
2017,E37000021,2017,12781000
2017,E37000022,2017,6911000
2017,E37000023,2017,113326000
2017,E37000024,2017,505000
2017,E37000025,2017,10661000
2017,E37000027,2017,62454000
2017,E37000029,2017,10114000
2017,E37000030,2017,799000
2017,E37000032,2017,434000
2017,E37000034,2017,106000
2017,E37000035,2017,5283000
2017,E37000036,2017,550000
2017,E37000037,2017,15337000
2017,E37000038,2017,33000
2017,E37000039,2017,2246000
2017,E37000040,2017,21151000
2017,E37000041,2017,8490000
2017,E37000042,2017,26098000
2018,E37000001,2017,34000
2018,E37000002,2017,0
2018,E37000003,2017,1670000
2018,E37000004,2017,2685000
2018,E37000005,2017,35000
2018,E37000006,2017,14667000
2018,E37000007,2017,0
2018,E37000008,2017,19339000
2018,E37000009,2017,162000
2018,E37000010,2017,6443000
2018,E37000011,2017,63000
2018,E37000012,2017,17024000
2018,E37000014,2017,402000
2018,E37000015,2017,25060000
2018,E37000016,2017,4183000
2018,E37000017,2017,77000
2018,E37000018,2017,1583000
2018,E37000019,2017,1980000
2018,E37000020,2017,14210000
2018,E37000021,2017,13804000
2018,E37000022,2017,6045000
2018,E37000023,2017,119388000
2018,E37000024,2017,539000
2018,E37000025,2017,10262000
2018,E37000027,2017,74613000
2018,E37000029,2017,9569000
2018,E37000030,2017,855000
2018,E37000032,2017,341000
2018,E37000034,2017,60000
2018,E37000035,2017,4739000
2018,E37000036,2017,797000
2018,E37000037,2017,19034000
2018,E37000038,2017,28000
2018,E37000039,2017,2957000
2018,E37000040,2017,24722000
2018,E37000041,2017,10715000
2018,E37000042,2017,31539000
