year,lep_id,lep_year_spec,contract_research_sme
2014,E37000001,2014,0.0
2014,E37000002,2014,99000.0
2014,E37000003,2014,0.0
2014,E37000004,2014,354000.0
2014,E37000005,2014,0.0
2014,E37000006,2014,1661000.0
2014,E37000007,2014,8000.0
2014,E37000008,2014,1434000.0
2014,E37000009,2014,61000.0
2014,E37000010,2014,463000.0
2014,E37000011,2014,67000.0
2014,E37000012,2014,2529000.0
2014,E37000013,2014,462000.0
2014,E37000014,2014,155000.0
2014,E37000015,2014,3415000.0
2014,E37000016,2014,333000.0
2014,E37000017,2014,227000.0
2014,E37000018,2014,187000.0
2014,E37000019,2014,294000.0
2014,E37000020,2014,1707000.0
2014,E37000021,2014,1333000.0
2014,E37000022,2014,1954000.0
2014,E37000023,2014,8252000.0
2014,E37000024,2014,118000.0
2014,E37000025,2014,1045000.0
2014,E37000026,2014,10000.0
2014,E37000027,2014,2327000.0
2014,E37000029,2014,1600000.0
2014,E37000030,2014,404000.0
2014,E37000031,2014,1464000.0
2014,E37000032,2014,15000.0
2014,E37000034,2014,181000.0
2014,E37000035,2014,298000.0
2014,E37000036,2014,125000.0
2014,E37000037,2014,571000.0
2014,E37000038,2014,111000.0
2014,E37000039,2014,143000.0
2014,E37000040,2014,2515000.0
2015,E37000001,2014,0.0
2015,E37000002,2014,48000.0
2015,E37000003,2014,39000.0
2015,E37000004,2014,378000.0
2015,E37000005,2014,5000.0
2015,E37000006,2014,752000.0
2015,E37000007,2014,0.0
2015,E37000008,2014,2477000.0
2015,E37000009,2014,132000.0
2015,E37000010,2014,804000.0
2015,E37000011,2014,135000.0
2015,E37000012,2014,2268000.0
2015,E37000013,2014,830000.0
2015,E37000014,2014,167000.0
2015,E37000015,2014,3659000.0
2015,E37000016,2014,514000.0
2015,E37000017,2014,210000.0
2015,E37000018,2014,116000.0
2015,E37000019,2014,1321000.0
2015,E37000020,2014,2177000.0
2015,E37000021,2014,1318000.0
2015,E37000022,2014,2418000.0
2015,E37000023,2014,8298000.0
2015,E37000024,2014,61000.0
2015,E37000025,2014,1356000.0
2015,E37000026,2014,16000.0
2015,E37000027,2014,2440000.0
2015,E37000029,2014,2051000.0
2015,E37000030,2014,84000.0
2015,E37000031,2014,1164000.0
2015,E37000032,2014,10000.0
2015,E37000034,2014,254000.0
2015,E37000035,2014,589000.0
2015,E37000036,2014,225000.0
2015,E37000037,2014,821000.0
2015,E37000038,2014,1000.0
2015,E37000039,2014,151000.0
2015,E37000040,2014,3601000.0
2016,E37000001,2014,78000.0
2016,E37000002,2014,19000.0
2016,E37000003,2014,49000.0
2016,E37000004,2014,387000.0
2016,E37000005,2014,0.0
2016,E37000006,2014,953000.0
2016,E37000007,2014,0.0
2016,E37000008,2014,2064000.0
2016,E37000009,2014,211000.0
