year,nuts_id,nuts_year_spec,ce_cpd_income
2014,UKC1,2013,7909000
2014,UKC2,2013,11831000
2014,UKD1,2013,4170000
2014,UKD3,2013,32680000
2014,UKD4,2013,14925000
2014,UKD6,2013,3718000
2014,UKD7,2013,6952000
2014,UKE1,2013,2853000
2014,UKE2,2013,7852000
2014,UKE3,2013,7789000
2014,UKE4,2013,11641000
2014,UKF1,2013,18117000
2014,UKF2,2013,23891000
2014,UKF3,2013,10357000
2014,UKG1,2013,1154000
2014,UKG2,2013,7610000
2014,UKG3,2013,41406000
2014,UKH1,2013,25676000
2014,UKH2,2013,31980000
2014,UKH3,2013,19201000
2014,UKI3,2013,144005000
2014,UKI4,2013,18556000
2014,UKI5,2013,3142000
2014,UKI6,2013,4030000
2014,UKI7,2013,11888000
2014,UKJ1,2013,49128000
2014,UKJ2,2013,10198000
2014,UKJ3,2013,26439000
2014,UKJ4,2013,9113000
2014,UKK1,2013,13743000
2014,UKK2,2013,3982000
2014,UKK3,2013,28000
2014,UKK4,2013,1974000
2014,UKL1,2013,10692000
2014,UKL2,2013,25139000
2014,UKM2,2013,28644000
2014,UKM3,2013,30084000
2014,UKM5,2013,7541000
2014,UKM6,2013,2258000
2014,UKN0,2013,6734000
2015,UKC1,2013,7464000
2015,UKC2,2013,11601000
2015,UKD1,2013,4433000
2015,UKD3,2013,32243000
2015,UKD4,2013,15840000
2015,UKD6,2013,3795000
2015,UKD7,2013,5885000
2015,UKE1,2013,2496000
2015,UKE2,2013,6912000
2015,UKE3,2013,7417000
2015,UKE4,2013,11118000
2015,UKF1,2013,14562000
2015,UKF2,2013,19192000
2015,UKF3,2013,10417000
2015,UKG1,2013,722000
2015,UKG2,2013,7385000
2015,UKG3,2013,36283000
2015,UKH1,2013,25309000
2015,UKH2,2013,31005000
2015,UKH3,2013,17252000
2015,UKI3,2013,149647000
2015,UKI4,2013,18769000
2015,UKI5,2013,3084000
2015,UKI6,2013,3228000
2015,UKI7,2013,10558000
2015,UKJ1,2013,41656000
2015,UKJ2,2013,10057000
2015,UKJ3,2013,25365000
2015,UKJ4,2013,9326000
2015,UKK1,2013,12958000
2015,UKK2,2013,4881000
2015,UKK3,2013,30000
2015,UKK4,2013,2321000
2015,UKL1,2013,9796000
2015,UKL2,2013,21415000
2015,UKM2,2013,25577000
2015,UKM3,2013,24499000
2015,UKM5,2013,9142000
2015,UKM6,2013,2411000
2015,UKN0,2013,4485000
2016,UKC1,2016,7947000
2016,UKC2,2016,12159000
2016,UKD1,2016,4525000
2016,UKD3,2016,30480000
2016,UKD4,2016,13879000
2016,UKD6,2016,3839000
2016,UKD7,2016,8402000
2016,UKE1,2016,1921000
2016,UKE2,2016,6749000
2016,UKE3,2016,6316000
2016,UKE4,2016,9029000
2016,UKF1,2016,15688000
2016,UKF2,2016,16971000
2016,UKF3,2016,9794000
