year,nuts_id,nuts_year_spec,house_price_normalised
2018,UKC1,2016,3.684
2018,UKC2,2016,4.473
2018,UKD1,2016,4.86
2018,UKD3,2016,5.274
2018,UKD4,2016,4.514
2018,UKD6,2016,5.684
2018,UKD7,2016,4.536
2018,UKE1,2016,7.623
2018,UKE2,2016,7.695
2018,UKE3,2016,4.555
2018,UKE4,2016,4.86
2018,UKF1,2016,5.422
2018,UKF2,2016,6.899
2018,UKF3,2016,6.024
2018,UKG1,2016,6.805
2018,UKG2,2016,5.6
2018,UKG3,2016,5.717
2018,UKH1,2016,7.191
2018,UKH2,2016,9.339
2018,UKH3,2016,7.607
2018,UKI3,2016,11.684
2018,UKI4,2016,9.764
2018,UKI5,2016,9.426
2018,UKI6,2016,9.127
2018,UKI7,2016,11.485
2018,UKJ1,2016,8.615
2018,UKJ2,2016,8.846
2018,UKJ3,2016,8.746
2018,UKJ4,2016,7.701
2018,UKK1,2016,7.963
2018,UKK2,2016,7.918
2018,UKK3,2016,8.078
2018,UKK4,2016,7.71
2018,UKL1,2016,4.722
2018,UKL2,2016,5.821
2018,UKM5,2016,4.418
2018,UKM6,2016,5.001
2018,UKM7,2016,5.061
2018,UKM8,2016,4.17
2018,UKM9,2016,4.274
