year,nuts_id,nuts_year_spec,ratio_house_price_salary
2011,UKC1,2018,3.322
2012,UKC1,2018,3.286
2013,UKC1,2018,3.02
2014,UKC1,2018,2.966
2015,UKC1,2018,3.068
2016,UKC1,2018,3.085
2017,UKC1,2018,2.888
2011,UKC2,2018,3.601
2012,UKC2,2018,3.52
2013,UKC2,2018,3.803
2014,UKC2,2018,3.579
2015,UKC2,2018,3.498
2017,UKC2,2018,3.641
2011,UKD1,2018,3.575
2012,UKD1,2018,3.49
2013,UKD1,2018,3.981
2014,UKD1,2018,3.576
2015,UKD1,2018,3.194
2016,UKD1,2018,3.665
2017,UKD1,2018,3.661
2011,UKD3,2018,3.46
2012,UKD3,2018,3.624
2013,UKD3,2018,3.533
2014,UKD3,2018,3.681
2015,UKD3,2018,3.921
2016,UKD3,2018,4.221
2017,UKD3,2018,4.267
2011,UKD4,2018,3.867
2012,UKD4,2018,3.589
2013,UKD4,2018,3.638
2014,UKD4,2018,3.553
2015,UKD4,2018,3.542
2016,UKD4,2018,3.645
2017,UKD4,2018,3.748
2011,UKD6,2018,4.463
2012,UKD6,2018,4.221
2013,UKD6,2018,4.392
2014,UKD6,2018,4.695
2015,UKD6,2018,4.986
2016,UKD6,2018,5.05
2017,UKD6,2018,5.111
2011,UKD7,2018,3.483
2012,UKD7,2018,3.292
2013,UKD7,2018,3.567
2014,UKD7,2018,3.618
2015,UKD7,2018,3.167
2016,UKD7,2018,3.299
2017,UKD7,2018,3.498
2011,UKE1,2018,3.4
2012,UKE1,2018,3.314
2013,UKE1,2018,3.325
2014,UKE1,2018,3.451
2015,UKE1,2018,3.47
2016,UKE1,2018,3.61
2017,UKE1,2018,3.749
2011,UKE2,2018,6.259
2012,UKE2,2018,6.052
2013,UKE2,2018,5.86
2014,UKE2,2018,5.969
2015,UKE2,2018,6.063
2016,UKE2,2018,6.174
2017,UKE2,2018,6.264
2011,UKE3,2018,3.291
2012,UKE3,2018,3.214
2013,UKE3,2018,3.12
2014,UKE3,2018,3.41
2015,UKE3,2018,3.31
2016,UKE3,2018,3.32
2017,UKE3,2018,3.496
2011,UKE4,2018,3.762
2012,UKE4,2018,3.661
2013,UKE4,2018,3.431
2014,UKE4,2018,3.614
2015,UKE4,2018,3.564
2016,UKE4,2018,3.809
2017,UKE4,2018,3.883
2011,UKF1,2018,3.691
2012,UKF1,2018,3.572
2013,UKF1,2018,3.531
2014,UKF1,2018,3.628
2015,UKF1,2018,3.934
2016,UKF1,2018,3.963
2017,UKF1,2018,4.117
2011,UKF2,2018,4.465
2012,UKF2,2018,4.378
2013,UKF2,2018,4.551
2014,UKF2,2018,4.833
2015,UKF2,2018,4.948
2016,UKF2,2018,6.05
2017,UKF2,2018,5.502
2011,UKF3,2018,3.992
2012,UKF3,2018,4.112
2013,UKF3,2018,4.367
2014,UKF3,2018,3.948
2015,UKF3,2018,4.219
2016,UKF3,2018,4.685
2017,UKF3,2018,4.66
2011,UKG1,2018,5.185
2012,UKG1,2018,5.093
2013,UKG1,2018,5.234
2014,UKG1,2018,5.263
2015,UKG1,2018,5.354
2016,UKG1,2018,5.449
2017,UKG1,2018,5.62
2011,UKG2,2018,4.358
2012,UKG2,2018,4.283
2013,UKG2,2018,4.107
2015,UKG2,2018,4.427
2016,UKG2,2018,4.595
2017,UKG2,2018,4.773
2011,UKG3,2018,3.694
2012,UKG3,2018,3.626
2013,UKG3,2018,3.578
2014,UKG3,2018,3.764
2015,UKG3,2018,3.838
2016,UKG3,2018,4.074
2017,UKG3,2018,4.053
2011,UKH1,2018,4.95
2012,UKH1,2018,4.726
2013,UKH1,2018,4.549
2014,UKH1,2018,4.853
2015,UKH1,2018,5.255
2016,UKH1,2018,5.518
2017,UKH1,2018,5.871
2011,UKH2,2018,5.852
2012,UKH2,2018,5.691
2013,UKH2,2018,6.024
2014,UKH2,2018,6.494
2015,UKH2,2018,7.3
2016,UKH2,2018,8.062
2017,UKH2,2018,8.022
2011,UKH3,2018,4.887
2012,UKH3,2018,4.9
2013,UKH3,2018,4.806
2014,UKH3,2018,4.966
2016,UKH3,2018,6.171
2017,UKH3,2018,7.206
2014,UKI3,2018,16.821
2015,UKI3,2018,16.265
2016,UKI3,2018,15.897
2017,UKI3,2018,16.21
2014,UKI4,2018,8.709
2015,UKI4,2018,9.645
2016,UKI4,2018,10.134
2017,UKI4,2018,10.212
2014,UKI5,2018,6.668
2015,UKI5,2018,7.593
2016,UKI5,2018,8.334
2017,UKI5,2018,8.148
2014,UKI6,2018,8.399
2015,UKI6,2018,9.239
2016,UKI6,2018,10.726
2017,UKI6,2018,10.855
2014,UKI7,2018,9.274
2015,UKI7,2018,10.08
2016,UKI7,2018,11.06
2017,UKI7,2018,11.366
2011,UKJ1,2018,5.704
2012,UKJ1,2018,6.022
2013,UKJ1,2018,6.276
2014,UKJ1,2018,6.878
2015,UKJ1,2018,7.502
2016,UKJ1,2018,8.014
2017,UKJ1,2018,8.195
2011,UKJ2,2018,6.378
2012,UKJ2,2018,6.436
2013,UKJ2,2018,6.492
2014,UKJ2,2018,7.122
2015,UKJ2,2018,7.652
2016,UKJ2,2018,8.157
2017,UKJ2,2018,8.187
2011,UKJ3,2018,5.343
2012,UKJ3,2018,5.198
2013,UKJ3,2018,5.241
2014,UKJ3,2018,5.627
2015,UKJ3,2018,5.964
2016,UKJ3,2018,6.01
2017,UKJ3,2018,6.637
