year,lep_id,lep_year_spec,air_pollution_mean_pm10
2007,E37000001,-2014,19.67164571830986
2007,E37000002,-2014,17.345569859245042
2007,E37000003,-2014,13.939024647266315
2007,E37000004,-2014,17.69736995206136
2007,E37000005,-2014,15.862725124293785
2007,E37000006,-2014,16.524129696385543
2007,E37000007,-2014,9.71469093507638
2007,E37000008,-2014,15.286802164583332
2007,E37000009,-2014,15.364531071698112
2007,E37000010,-2014,17.015428497854078
2007,E37000011,-2014,15.490969822775265
2007,E37000012,-2014,16.58191720411664
2007,E37000013,-2014,16.413706694612422
2007,E37000014,-2014,15.162350322024151
2007,E37000015,-2014,15.678269451410657
2007,E37000016,-2014,14.691482346978939
2007,E37000017,-2014,18.230272914634146
2007,E37000018,-2014,14.22357295105293
2007,E37000019,-2014,12.538119454545454
2007,E37000020,-2014,13.193931361888112
2007,E37000021,-2014,16.542469944263818
2007,E37000022,-2014,15.058185013850416
2007,E37000023,-2014,22.445221065313888
2007,E37000024,-2014,15.975232923747276
2007,E37000025,-2014,10.033102963745835
2007,E37000026,-2014,16.648361741881065
2007,E37000027,-2014,16.508132943656577
2007,E37000029,-2014,17.726155932914047
2007,E37000030,-2014,16.975597429009976
2007,E37000031,-2014,16.942822050686377
2007,E37000032,-2014,14.984911535635561
2007,E37000033,-2014,15.707604579626974
2007,E37000034,-2014,12.581003754740836
2007,E37000035,-2014,17.613221325396825
2007,E37000036,-2014,13.824326414961186
2007,E37000037,-2014,16.423525274229902
2007,E37000038,-2014,15.534213819124423
2007,E37000039,-2014,12.31850970283635
2007,E37000040,-2014,14.959809796444954
2008,E37000001,-2014,17.867089633802816
2008,E37000002,-2014,16.004619795265516
2008,E37000003,-2014,13.306226080246914
2008,E37000004,-2014,16.107753032917866
2008,E37000005,-2014,14.801422272855133
2008,E37000006,-2014,16.200863826506023
2008,E37000007,-2014,8.835145159224442
2008,E37000008,-2014,16.09057831875
2008,E37000009,-2014,14.40045170188679
2008,E37000010,-2014,15.323984158321412
2008,E37000011,-2014,14.659365520361995
2008,E37000012,-2014,15.73859053173242
2008,E37000013,-2014,18.09082419598681
2008,E37000014,-2014,18.171828428694653
2008,E37000015,-2014,14.345258644200626
2008,E37000016,-2014,13.418554334611981
2008,E37000017,-2014,17.760473676829267
2008,E37000018,-2014,17.388830853727946
2008,E37000019,-2014,11.792024107792207
2008,E37000020,-2014,13.251330876573428
2008,E37000021,-2014,17.243183260566653
2008,E37000022,-2014,14.083134598337951
2008,E37000023,-2014,19.544062536461638
2008,E37000024,-2014,17.77691848148148
2008,E37000025,-2014,9.832170013194979
2008,E37000026,-2014,17.036379780683255
2008,E37000027,-2014,15.648288336527406
2008,E37000029,-2014,15.73341603773585
2008,E37000030,-2014,17.692726845740598
2008,E37000031,-2014,16.81569949524815
2008,E37000032,-2014,14.43707360764144
2008,E37000033,-2014,14.67922411764706
2008,E37000034,-2014,13.656421542351453
2008,E37000035,-2014,15.894363873015873
2008,E37000036,-2014,13.60991064749471
2008,E37000037,-2014,14.939844357625846
2008,E37000038,-2014,15.075993692396311
2008,E37000039,-2014,13.63636929427132
2008,E37000040,-2014,15.738516648509176
2009,E37000001,-2014,17.921240197183096
2009,E37000002,-2014,16.054739053103006
2009,E37000003,-2014,13.756671203703704
2009,E37000004,-2014,16.271853656120165
2009,E37000005,-2014,14.260333963431787
2009,E37000006,-2014,16.113071609638556
2009,E37000007,-2014,8.98317862646886
2009,E37000008,-2014,16.112763647916665
2009,E37000009,-2014,14.590963652830188
2009,E37000010,-2014,15.858378018597994
2009,E37000011,-2014,15.052007892156864
2009,E37000012,-2014,15.708609239565467
2009,E37000013,-2014,17.924013500549755
2009,E37000014,-2014,18.334593313686025
2009,E37000015,-2014,14.909807985893417
2009,E37000016,-2014,13.042788284646404
2009,E37000017,-2014,17.17207829268293
2009,E37000018,-2014,17.52332192942516
2009,E37000019,-2014,12.17133889090909
2009,E37000020,-2014,13.396642302622379
2009,E37000021,-2014,16.71438227124942
2009,E37000022,-2014,14.519639246537396
2009,E37000023,-2014,19.595858040583384
2009,E37000024,-2014,18.04199482352941
2009,E37000025,-2014,9.894446173712527
2009,E37000026,-2014,16.679679417967105
2009,E37000027,-2014,16.30514132234573
2009,E37000029,-2014,16.228648605870024
2009,E37000030,-2014,17.673812039250084
2009,E37000031,-2014,16.57721961351637
2009,E37000032,-2014,14.506134654665688
2009,E37000033,-2014,15.340482668579627
2009,E37000034,-2014,13.606314715549939
2009,E37000035,-2014,16.60183624603175
2009,E37000036,-2014,13.820478540931546
2009,E37000037,-2014,15.295654019534187
2009,E37000038,-2014,15.326530253456221
2009,E37000039,-2014,13.626162547117
2009,E37000040,-2014,15.832180409977067
2010,E37000001,-2014,17.458778619718313
2010,E37000002,-2014,15.749307626359567
2010,E37000003,-2014,13.810305154320988
2010,E37000004,-2014,14.729802023010546
2010,E37000005,-2014,13.607515080168774
2010,E37000006,-2014,15.938470110843372
2010,E37000007,-2014,9.898530451821387
2010,E37000008,-2014,16.146051652083333
2010,E37000009,-2014,13.672812316981133
2010,E37000010,-2014,14.88453895565093
2010,E37000011,-2014,14.449702790346908
2010,E37000012,-2014,15.534553556317896
2010,E37000013,-2014,16.94212462479384
2010,E37000014,-2014,17.619743412880965
2010,E37000015,-2014,15.312665501567396
2010,E37000016,-2014,12.474643617586311
2010,E37000017,-2014,16.680000091463413
2010,E37000018,-2014,17.16573798804781
2010,E37000019,-2014,12.55266483961039
2010,E37000020,-2014,13.76022045402098
2010,E37000021,-2014,16.663421267998142
