year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
2007,UKC1,2006,11.04
2007,UKC2,2006,9.85
2007,UKD1,2006,9.72
2007,UKD2,2006,14.01
2007,UKD3,2006,15.68
2007,UKD4,2006,12.54
2007,UKD5,2006,14.95
2007,UKE1,2006,14.22
2007,UKE2,2006,11.92
2007,UKE3,2006,15.24
2007,UKE4,2006,14.55
2007,UKF1,2006,15.29
2007,UKF2,2006,16.53
2007,UKF3,2006,15.16
2007,UKG1,2006,15.35
2007,UKG2,2006,14.18
2007,UKG3,2006,19.18
2007,UKH1,2006,16.15
2007,UKH2,2006,17.89
2007,UKH3,2006,17.1
2007,UKI1,2006,25.15
2007,UKI2,2006,21.76
2007,UKJ1,2006,17.03
2007,UKJ2,2006,17.56
2007,UKJ3,2006,16.86
2007,UKJ4,2006,16.83
2007,UKK1,2006,15.76
2007,UKK2,2006,15.12
2007,UKK3,2006,15.86
2007,UKK4,2006,14.57
2007,UKL1,2006,13.24
2007,UKL2,2006,13.4
2007,UKM2,2006,8.99
2007,UKM3,2006,9.58
2007,UKM5,2006,8.21
2007,UKM6,2006,8.38
2007,UKN0,2006,11.0
2008,UKC1,2006,11.25
2008,UKC2,2006,9.61
2008,UKD1,2006,8.84
2008,UKD2,2006,13.37
2008,UKD3,2006,14.35
2008,UKD4,2006,11.79
2008,UKD5,2006,13.95
2008,UKE1,2006,17.39
2008,UKE2,2006,12.68
2008,UKE3,2006,16.01
2008,UKE4,2006,14.11
2008,UKF1,2006,16.09
2008,UKF2,2006,17.14
2008,UKF3,2006,18.15
2008,UKG1,2006,15.01
2008,UKG2,2006,13.86
2008,UKG3,2006,17.53
2008,UKH1,2006,17.91
2008,UKH2,2006,17.7
2008,UKH3,2006,18.58
2008,UKI1,2006,21.14
2008,UKI2,2006,19.14
2008,UKJ1,2006,15.89
2008,UKJ2,2006,16.0
2008,UKJ3,2006,15.26
2008,UKJ4,2006,17.62
2008,UKK1,2006,14.72
2008,UKK2,2006,14.04
2008,UKK3,2006,14.8
2008,UKK4,2006,13.24
2008,UKL1,2006,11.55
2008,UKL2,2006,11.94
2008,UKM2,2006,8.63
2008,UKM3,2006,8.59
2008,UKM5,2006,8.92
2008,UKM6,2006,7.2
2008,UKN0,2006,10.07
2009,UKC1,2006,11.31
2009,UKC2,2006,9.65
2009,UKD1,2006,8.98
2009,UKD2,2006,13.82
2009,UKD3,2006,14.91
2009,UKD4,2006,12.17
2009,UKD5,2006,14.37
2009,UKE1,2006,17.52
2009,UKE2,2006,12.64
2009,UKE3,2006,16.04
2009,UKE4,2006,14.38
2009,UKF1,2006,16.11
2009,UKF2,2006,16.7
2009,UKF3,2006,18.3
2009,UKG1,2006,15.15
2009,UKG2,2006,14.0
2009,UKG3,2006,17.43
2009,UKH1,2006,18.04
2009,UKH2,2006,17.12
2009,UKH3,2006,18.45
2009,UKI1,2006,21.19
2009,UKI2,2006,19.19
2009,UKJ1,2006,16.33
2009,UKJ2,2006,16.13
2009,UKJ3,2006,15.87
2009,UKJ4,2006,17.69
2009,UKK1,2006,15.23
2009,UKK2,2006,14.11
2009,UKK3,2006,14.26
2009,UKK4,2006,12.68
2009,UKL1,2006,10.99
2009,UKL2,2006,11.94
2009,UKM2,2006,9.01
2009,UKM3,2006,8.79
2009,UKM5,2006,10.0
2009,UKM6,2006,7.44
2009,UKN0,2006,9.3
2010,UKC1,2010,12.18
2010,UKC2,2010,10.88
2010,UKD1,2010,9.9
2010,UKD3,2010,15.31
2010,UKD4,2010,12.55
2010,UKD6,2010,13.81
2010,UKD7,2010,14.51
2010,UKE1,2010,17.17
2010,UKE2,2010,13.02
2010,UKE3,2010,16.23
2010,UKE4,2010,14.76
2010,UKF1,2010,16.14
2010,UKF2,2010,16.55
2010,UKF3,2010,17.54
2010,UKG1,2010,14.55
2010,UKG2,2010,13.54
2010,UKG3,2010,17.29
2010,UKH1,2010,16.64
2010,UKH2,2010,16.71
2010,UKH3,2010,17.28
2010,UKI1,2010,21.28
2010,UKI2,2010,18.37
2010,UKJ1,2010,15.98
2010,UKJ2,2010,14.54
2010,UKJ3,2010,14.81
2010,UKJ4,2010,15.99
2010,UKK1,2010,14.53
2010,UKK2,2010,13.33
2010,UKK3,2010,13.6
2010,UKK4,2010,12.18
2010,UKL1,2010,10.72
2010,UKL2,2010,11.0
2010,UKM2,2010,10.22
2010,UKM3,2010,9.96
2010,UKM5,2010,10.39
2010,UKM6,2010,8.18
2010,UKN0,2010,9.93
2011,UKC1,2010,12.52
2011,UKC2,2010,11.12
2011,UKD1,2010,10.17
2011,UKD3,2010,16.16
2011,UKD4,2010,13.24
2011,UKD6,2010,14.75
2011,UKD7,2010,15.32
2011,UKE1,2010,17.96
2011,UKE2,2010,13.64
2011,UKE3,2010,17.04
2011,UKE4,2010,15.56
2011,UKF1,2010,16.9
2011,UKF2,2010,17.68
2011,UKF3,2010,18.47
2011,UKG1,2010,15.54
2011,UKG2,2010,14.61
2011,UKG3,2010,18.31
2011,UKH1,2010,17.88
2011,UKH2,2010,18.9
2011,UKH3,2010,18.74
2011,UKI1,2010,23.31
2011,UKI2,2010,20.44
2011,UKJ1,2010,17.59
2011,UKJ2,2010,16.86
2011,UKJ3,2010,16.65
2011,UKJ4,2010,17.23
2011,UKK1,2010,15.73
2011,UKK2,2010,14.7
2011,UKK3,2010,15.21
2011,UKK4,2010,13.51
2011,UKL1,2010,11.7
2011,UKL2,2010,12.26
2011,UKM2,2010,10.24
2011,UKM3,2010,10.06
2011,UKM5,2010,11.11
2011,UKM6,2010,8.51
2011,UKN0,2010,9.98
2012,UKC1,2010,11.07
2012,UKC2,2010,9.85
2012,UKD1,2010,8.85
2012,UKD3,2010,13.83
2012,UKD4,2010,11.58
2012,UKD6,2010,13.05
2012,UKD7,2010,13.43
2012,UKE1,2010,15.89
2012,UKE2,2010,12.12
2012,UKE3,2010,14.86
2012,UKE4,2010,13.48
2012,UKF1,2010,14.74
2012,UKF2,2010,15.35
2012,UKF3,2010,16.23
2012,UKG1,2010,13.58
2012,UKG2,2010,12.84
2012,UKG3,2010,15.55
2012,UKH1,2010,15.6
2012,UKH2,2010,16.04
2012,UKH3,2010,16.2
2012,UKI1,2010,19.64
2012,UKI2,2010,17.32
2012,UKJ1,2010,15.05
2012,UKJ2,2010,14.53
2012,UKJ3,2010,14.31
2012,UKJ4,2010,15.03
2012,UKK1,2010,13.63
2012,UKK2,2010,12.79
2012,UKK3,2010,12.93
2012,UKK4,2010,11.72
2012,UKL1,2010,10.49
2012,UKL2,2010,10.55
2012,UKM2,2010,9.17
2012,UKM3,2010,8.69
2012,UKM5,2010,10.3
2012,UKM6,2010,7.68
2012,UKN0,2010,8.8
2013,UKC1,2013,11.69
2013,UKC2,2013,10.56
2013,UKD1,2013,9.72
2013,UKD3,2013,14.45
2013,UKD4,2013,12.17
2013,UKD6,2013,13.51
2013,UKD7,2013,13.87
2013,UKE1,2013,16.97
2013,UKE2,2013,12.54
2013,UKE3,2013,15.79
2013,UKE4,2013,14.14
2013,UKF1,2013,15.93
2013,UKF2,2013,16.12
2013,UKF3,2013,17.7
2013,UKG1,2013,14.49
2013,UKG2,2013,13.54
2013,UKG3,2013,16.65
2013,UKH1,2013,16.8
2013,UKH2,2013,16.34
2013,UKH3,2013,17.04
2013,UKI3,2013,20.96
2013,UKI4,2013,20.27
2013,UKI5,2013,18.34
2013,UKI6,2013,16.99
2013,UKI7,2013,18.32
