,year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
150,2010,UKJ3,2016,26.838490000000004
151,2010,UKJ4,2016,23.74583
152,2010,UKK1,2016,23.57892
153,2010,UKK2,2016,18.75826
154,2010,UKK3,2016,21.71486
155,2010,UKK4,2016,18.08052
156,2010,UKL1,2016,19.11128
157,2010,UKL2,2016,20.56403
158,2010,UKM5,2016,16.67384
159,2010,UKM6,2016,15.07797
160,2010,UKM7,2016,21.43538
161,2010,UKM8,2016,20.40194
162,2010,UKM9,2016,17.19125
163,2010,UKN0,2016,22.51881
164,2011,UKC1,2016,19.82067
165,2011,UKC2,2016,21.68293
166,2011,UKD1,2016,17.73719
167,2011,UKD3,2016,22.78094
168,2011,UKD4,2016,20.7922
169,2011,UKD6,2016,19.99749
170,2011,UKD7,2016,20.044220000000006
171,2011,UKE1,2016,24.93411
172,2011,UKE2,2016,22.6556
173,2011,UKE3,2016,24.3095
174,2011,UKE4,2016,23.06303
175,2011,UKF1,2016,23.29052
176,2011,UKF2,2016,24.45984
177,2011,UKF3,2016,23.45767
178,2011,UKG1,2016,23.25656
179,2011,UKG2,2016,22.61865
180,2011,UKG3,2016,27.49972
181,2011,UKH1,2016,24.62027
182,2011,UKH2,2016,24.90439
183,2011,UKH3,2016,24.49866
184,2011,UKI3,2016,27.77153
185,2011,UKI4,2016,26.99988
186,2011,UKI5,2016,24.96966
187,2011,UKI6,2016,22.78348
188,2011,UKI7,2016,26.68375
189,2011,UKJ1,2016,24.95715
190,2011,UKJ2,2016,23.56938
191,2011,UKJ3,2016,25.4178
192,2011,UKJ4,2016,25.20982
193,2011,UKK1,2016,24.05821
194,2011,UKK2,2016,19.96825
195,2011,UKK3,2016,25.20375
196,2011,UKK4,2016,21.14709
197,2011,UKL1,2016,22.28621
198,2011,UKL2,2016,20.645570000000006
199,2011,UKM5,2016,17.48507
200,2011,UKM6,2016,17.00831
201,2011,UKM7,2016,21.96741
202,2011,UKM8,2016,19.94787
203,2011,UKM9,2016,18.11922
204,2011,UKN0,2016,22.09937
205,2012,UKC1,2016,18.45394
206,2012,UKC2,2016,18.23371
207,2012,UKD1,2016,14.48139
208,2012,UKD3,2016,19.10894
209,2012,UKD4,2016,17.583820000000006
210,2012,UKD6,2016,18.36366
211,2012,UKD7,2016,18.10919
212,2012,UKE1,2016,21.5389
213,2012,UKE2,2016,21.27905
214,2012,UKE3,2016,20.08261
215,2012,UKE4,2016,20.51762
216,2012,UKF1,2016,20.04328
217,2012,UKF2,2016,19.872020000000006
218,2012,UKF3,2016,19.75131
219,2012,UKG1,2016,19.31716
220,2012,UKG2,2016,18.58628
221,2012,UKG3,2016,21.70144
222,2012,UKH1,2016,20.96915
223,2012,UKH2,2016,20.29958
224,2012,UKH3,2016,20.84317
225,2012,UKI3,2016,22.50176
226,2012,UKI4,2016,22.31595
227,2012,UKI5,2016,21.02105
228,2012,UKI6,2016,19.12508
229,2012,UKI7,2016,21.77203
230,2012,UKJ1,2016,20.35471
231,2012,UKJ2,2016,18.96634
232,2012,UKJ3,2016,21.51456
233,2012,UKJ4,2016,20.95085
234,2012,UKK1,2016,20.57928
235,2012,UKK2,2016,16.99544
236,2012,UKK3,2016,19.14002
237,2012,UKK4,2016,16.86521
238,2012,UKL1,2016,18.06145
239,2012,UKL2,2016,17.47298
240,2012,UKM5,2016,15.71591
241,2012,UKM6,2016,14.97386
242,2012,UKM7,2016,18.3923
243,2012,UKM8,2016,15.8682
244,2012,UKM9,2016,15.156720000000002
245,2012,UKN0,2016,18.91129
246,2013,UKC1,2016,18.91696
247,2013,UKC2,2016,20.40907
248,2013,UKD1,2016,16.61174
249,2013,UKD3,2016,20.11842
250,2013,UKD4,2016,18.69989
251,2013,UKD6,2016,18.86444
252,2013,UKD7,2016,18.23362
253,2013,UKE1,2016,23.9612
254,2013,UKE2,2016,21.51268
255,2013,UKE3,2016,21.333
256,2013,UKE4,2016,22.80924
257,2013,UKF1,2016,23.9408
258,2013,UKF2,2016,21.28149
259,2013,UKF3,2016,21.8749
260,2013,UKG1,2016,20.78802
261,2013,UKG2,2016,19.62207
262,2013,UKG3,2016,23.48339
263,2013,UKH1,2016,22.05569
264,2013,UKH2,2016,21.64366
265,2013,UKH3,2016,21.916970000000006
266,2013,UKI3,2016,23.88368
267,2013,UKI4,2016,23.45295
268,2013,UKI5,2016,22.05251
269,2013,UKI6,2016,20.10625
270,2013,UKI7,2016,22.9506
271,2013,UKJ1,2016,21.81946
272,2013,UKJ2,2016,19.61923
273,2013,UKJ3,2016,22.35769
274,2013,UKJ4,2016,22.23822
275,2013,UKK1,2016,22.26073
276,2013,UKK2,2016,18.06983
277,2013,UKK3,2016,20.35205
278,2013,UKK4,2016,19.02334
279,2013,UKL1,2016,19.92333
280,2013,UKL2,2016,18.81415
281,2013,UKM5,2016,16.41721
282,2013,UKM6,2016,15.89154
283,2013,UKM7,2016,18.68964
284,2013,UKM8,2016,17.39335
285,2013,UKM9,2016,16.697570000000002
286,2013,UKN0,2016,20.07101
287,2014,UKC1,2016,19.83401
288,2014,UKC2,2016,18.67784
289,2014,UKD1,2016,17.174879999999998
290,2014,UKD3,2016,19.90864
