NUTS_ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC1,18.11546,19.55692,18.98853,21.77902,19.82067,18.45394,18.91696,19.83401,14.86939,14.74104,15.59401,16.52658
UKC2,18.41302,21.47742,20.24778,21.52075,21.68293,18.23371,20.40907,18.67784,14.83341,14.23,15.13324,14.45701
UKD1,15.61504,16.71831,15.92198,16.29927,17.73719,14.48139,16.61174,17.17488,23.16192,13.88901,13.07683,13.55887
UKD3,21.48617,19.88093,20.71168,21.64401,22.78094,19.10894,20.11842,19.90864,17.70824,17.70834,15.60775,15.77303
UKD4,20.02794,19.71177,20.71713,20.34803,20.7922,17.58382,18.69989,21.69913,21.03027,16.89963,15.11899,15.47726
UKD6,20.37077,18.58806,19.15685,19.09152,19.99749,18.36366,18.86444,18.45496,16.20727,16.41668,14.78325,15.21965
UKD7,20.61435,23.70331,21.1679,22.76854,20.04422,18.10919,18.23362,18.05693,18.9852,17.36479,15.29522,16.78901
UKE1,22.45812,24.87508,23.33222,23.45321,24.93411,21.5389,23.9612,26.29265,20.37677,19.38174,19.60917,21.98302
UKE2,19.24794,22.08298,21.81672,21.94999,22.6556,21.27905,21.51268,27.83339,22.2948,18.7124,16.67488,17.92214
UKE3,24.77086,24.13835,23.56652,22.47527,24.3095,20.08261,21.333,23.05034,19.14094,18.80491,17.33876,18.6813
UKE4,20.96587,21.74934,21.93367,21.97943,23.06303,20.51762,22.80924,21.15646,18.05492,18.84865,16.79321,20.3268
UKF1,22.86316,26.12187,23.23267,24.67847,23.29052,20.04328,23.9408,23.31178,19.59632,20.54292,19.06337,19.55696
UKF2,24.15987,23.59293,22.91815,22.28817,24.45984,19.87202,21.28149,22.25721,19.58762,20.58209,19.53225,18.83321
UKF3,21.48515,23.23971,22.03143,22.05157,23.45767,19.75131,21.8749,24.42469,19.98314,20.08674,18.82478,19.74577
UKG1,25.17357,24.0005,23.80245,22.43126,23.25656,19.31716,20.78802,21.42422,17.89793,19.4191,18.59296,20.49984
UKG2,22.44077,22.11308,21.58481,20.86207,22.61865,18.58628,19.62207,24.62801,20.78164,19.09665,18.05821,17.91911
UKG3,29.43859,27.12424,25.77664,25.60397,27.49972,21.70144,23.48339,22.81959,20.83175,20.15596,18.83002,19.26961
UKH1,23.05329,23.75446,23.44425,22.77805,24.62027,20.96915,22.05569,22.80629,21.28169,20.49494,20.07136,20.49011
UKH2,25.05505,24.42506,23.06924,24.20408,24.90439,20.29958,21.64366,21.65009,18.0092,19.55615,19.27649,19.31434
UKH3,28.2018,26.39068,24.15762,23.95617,24.49866,20.84317,21.91697,22.47201,19.98904,21.41178,20.64415,21.0455
UKI3,33.27215,24.72531,24.64973,25.40249,27.77153,22.50176,23.88368,24.10369,22.41501,20.80101,20.43419,21.20671
UKI4,32.92873,24.14755,24.21735,24.66427,26.99988,22.31595,23.45295,23.4618,21.45452,20.96316,20.27398,21.70354
UKI5,27.11182,26.97153,23.28411,24.11037,24.96966,21.02105,22.05251,21.88444,20.14338,20.9595,20.34527,22.09186
UKI6,24.5872,21.7917,21.85086,21.31645,22.78348,19.12508,20.10625,22.18008,17.68112,19.38563,18.17014,19.46517
UKI7,28.1859,24.16749,24.36832,23.63615,26.68375,21.77203,22.9506,22.39307,20.09696,19.86921,19.21269,20.16895
UKJ1,25.60594,22.98168,22.68602,22.54185,24.95715,20.35471,21.81946,22.26671,19.31251,20.77365,19.92124,20.11308
UKJ2,23.70892,23.12,22.00052,20.49103,23.56938,18.96634,19.61923,24.45649,21.08157,20.03112,19.01974,19.15791
UKJ3,29.15812,27.70355,28.18598,26.83849,25.4178,21.51456,22.35769,19.7998,20.48713,20.44543,17.98189,19.60709
UKJ4,27.76618,24.10651,24.31209,23.74583,25.20982,20.95085,22.23822,21.66793,19.30989,20.97232,21.52501,22.09746
UKK1,25.00414,25.15031,26.74354,23.57892,24.05821,20.57928,22.26073,21.60518,20.0244,18.81891,18.10789,19.6745
UKK2,22.99629,20.57314,20.84429,18.75826,19.96825,16.99544,18.06983,18.77564,17.99994,18.33452,16.98279,17.49167
UKK3,22.6729,23.01403,19.6174,21.71486,25.20375,19.14002,20.35205,22.54212,21.54124,18.70713,18.14315,18.55021
UKK4,21.16149,19.32804,18.28691,18.08052,21.14709,16.86521,19.02334,18.80846,20.75612,17.65452,16.26595,15.67823
UKL1,21.63958,20.09061,20.64047,19.11128,22.28621,18.06145,19.92333,22.87997,20.54782,19.41292,15.34229,16.84403
UKL2,28.33514,25.84834,22.41427,20.56403,20.64557,17.47298,18.81415,19.80284,19.06514,17.46152,15.59868,16.62257
UKM5,16.24886,15.87322,16.81269,16.67384,17.48507,15.71591,16.41721,19.38004,15.42455,13.54409,12.29587,12.68433
UKM6,17.91529,14.01352,13.85385,15.07797,17.00831,14.97386,15.89154,16.07044,15.06364,11.50442,10.86846,10.47011
UKM7,19.41598,19.37502,17.84372,21.43538,21.96741,18.3923,18.68964,23.39146,18.16297,14.47043,14.39279,14.22783
UKM8,18.39942,17.46342,17.73944,20.40194,19.94787,15.8682,17.39335,17.38296,14.06257,12.88488,12.6574,13.11398
UKM9,15.79617,15.0571,15.38672,17.19125,18.11922,15.15672,16.69757,16.54108,14.98022,13.23749,13.14011,13.04207
UKN0,23.14202,19.95946,20.05127,22.51881,22.09937,18.91129,20.07101,19.38254,15.67224,17.34782,14.99293,17.91923
