,year,nuts_id,nuts_year_spec,eurostat_private_rd_fte_workforce_data
0,2012,UKH2,2013,8936.0
1,2013,UKH2,2013,11516.0
2,2014,UKH2,2013,10868.0
3,2015,UKH2,2013,11388.0
4,2016,UKH2,2013,12107.0
5,2012,UKJ1,2013,16990.0
6,2013,UKJ1,2013,18690.0
7,2014,UKJ1,2013,20295.0
8,2015,UKJ1,2013,21159.0
9,2016,UKJ1,2013,21467.0
10,2012,UKD6,2013,4433.0
11,2013,UKD6,2013,4480.0
12,2014,UKD6,2013,4998.0
13,2015,UKD6,2013,5233.0
14,2016,UKD6,2013,4525.0
15,2012,UKK3,2013,367.0
16,2013,UKK3,2013,337.0
17,2014,UKK3,2013,392.0
18,2015,UKK3,2013,505.0
19,2016,UKK3,2013,512.0
20,2012,UKD1,2013,1112.0
21,2013,UKD1,2013,918.0
22,2014,UKD1,2013,1407.0
23,2015,UKD1,2013,1770.0
24,2016,UKD1,2013,1727.0
25,2012,UKF1,2013,8904.0
26,2013,UKF1,2013,10720.0
27,2014,UKF1,2013,11463.0
28,2015,UKF1,2013,11355.0
29,2016,UKF1,2013,12176.0
30,2012,UKK4,2013,715.0
31,2013,UKK4,2013,811.0
32,2014,UKK4,2013,1473.0
33,2015,UKK4,2013,1642.0
34,2016,UKK4,2013,1735.0
35,2012,UKK2,2013,2242.0
36,2013,UKK2,2013,2277.0
37,2014,UKK2,2013,2558.0
38,2015,UKK2,2013,2791.0
39,2016,UKK2,2013,2884.0
40,2012,UKH1,2013,14623.0
41,2013,UKH1,2013,15536.0
42,2014,UKH1,2013,16993.0
43,2015,UKH1,2013,18162.0
44,2016,UKH1,2013,18835.0
45,2012,UKE1,2013,0.0
46,2013,UKE1,2013,1463.0
47,2014,UKE1,2013,1662.0
48,2015,UKE1,2013,1657.0
49,2016,UKE1,2013,1678.0
50,2012,UKL2,2013,2444.0
51,2013,UKL2,2013,3175.0
52,2014,UKL2,2013,2225.0
53,2015,UKL2,2013,2183.0
54,2016,UKL2,2013,2397.0
55,2012,UKM2,2013,4089.0
56,2013,UKM2,2013,4942.0
57,2014,UKM2,2013,4961.0
58,2015,UKM2,2013,5917.0
59,2016,UKM2,2013,5972.0
60,2012,UKH3,2013,5577.0
61,2013,UKH3,2013,5550.0
