year,nuts_id,nuts_year_spec,eurostat_private_rd_headcount_workforce_data
2012,UKH2,2013,10364
2013,UKH2,2013,13607
2014,UKH2,2013,13114
2015,UKH2,2013,14193
2016,UKH2,2013,14960
2012,UKJ1,2013,21222
2013,UKJ1,2013,23977
2014,UKJ1,2013,26535
2015,UKJ1,2013,26565
2016,UKJ1,2013,29705
2012,UKD6,2013,6002
2013,UKD6,2013,5932
2014,UKD6,2013,6931
2015,UKD6,2013,7019
2016,UKD6,2013,6576
2012,UKK3,2013,456
2013,UKK3,2013,428
2014,UKK3,2013,515
2015,UKK3,2013,665
2016,UKK3,2013,666
2012,UKD1,2013,1505
2013,UKD1,2013,1215
2014,UKD1,2013,1952
2015,UKD1,2013,2374
2016,UKD1,2013,2509
2012,UKF1,2013,11158
2013,UKF1,2013,13739
2014,UKF1,2013,14480
2015,UKF1,2013,14585
2016,UKF1,2013,16544
2012,UKK4,2013,888
2013,UKK4,2013,1028
2014,UKK4,2013,1935
2015,UKK4,2013,2165
2016,UKK4,2013,2257
2012,UKK2,2013,2786
2013,UKK2,2013,2888
2014,UKK2,2013,3359
2015,UKK2,2013,3680
2016,UKK2,2013,3751
2012,UKH1,2013,16960
2013,UKH1,2013,18357
2014,UKH1,2013,20504
2015,UKH1,2013,22636
2016,UKH1,2013,23274
2012,UKE1,2013,1726
2013,UKE1,2013,2284
2014,UKE1,2013,2559
2015,UKE1,2013,2476
2016,UKE1,2013,2601
2012,UKL2,2013,3448
2013,UKL2,2013,4489
2014,UKL2,2013,3272
2015,UKL2,2013,3451
2016,UKL2,2013,4001
2012,UKM2,2013,1557
2013,UKM2,2013,1602
2014,UKM2,2013,2465
2015,UKM2,2013,8294
2016,UKM2,2013,9389
2012,UKH3,2013,6468
2013,UKH3,2013,6558
2014,UKH3,2013,7019
2015,UKH3,2013,7233
2016,UKH3,2013,7527
2012,UKK1,2013,14420
2013,UKK1,2013,15387
2014,UKK1,2013,15623
2015,UKK1,2013,16145
2016,UKK1,2013,17220
2012,UKD3,2013,4353
2013,UKD3,2013,4220
2014,UKD3,2013,5287
2015,UKD3,2013,6224
2016,UKD3,2013,6868
2012,UKJ3,2013,10115
2013,UKJ3,2013,11151
2014,UKJ3,2013,11274
2015,UKJ3,2013,11834
2016,UKJ3,2013,11444
2012,UKG1,2013,9187
2013,UKG1,2013,9379
2014,UKG1,2013,12053
2015,UKG1,2013,12333
2016,UKG1,2013,11560
2012,UKM6,2013,446
2013,UKM6,2013,469
2014,UKM6,2013,426
2015,UKM6,2013,465
2016,UKM6,2013,494
2012,UKI4,2013,2355
2013,UKI4,2013,3962
2014,UKI4,2013,5829
2015,UKI4,2013,5481
2016,UKI4,2013,5565
2012,UKI3,2013,7137
2013,UKI3,2013,9171
2014,UKI3,2013,11708
2015,UKI3,2013,12778
2016,UKI3,2013,14921
2012,UKJ4,2013,4037
2013,UKJ4,2013,3664
2014,UKJ4,2013,3941
2015,UKJ4,2013,4193
2016,UKJ4,2013,4281
2012,UKD4,2013,3467
2013,UKD4,2013,3365
2014,UKD4,2013,3612
2015,UKD4,2013,4103
2016,UKD4,2013,4909
2012,UKF2,2013,4159
2013,UKF2,2013,4700
2014,UKF2,2013,5293
2015,UKF2,2013,5307
2016,UKF2,2013,5906
2012,UKF3,2013,761
2013,UKF3,2013,850
2014,UKF3,2013,960
2015,UKF3,2013,969
2016,UKF3,2013,1113
2012,UKD7,2013,2219
2013,UKD7,2013,2513
2014,UKD7,2013,3389
2015,UKD7,2013,3514
2016,UKD7,2013,4561
2012,UKM5,2013,3650
2013,UKM5,2013,4629
2014,UKM5,2013,4208
2015,UKM5,2013,1978
2016,UKM5,2013,3249
2012,UKE2,2013,2372
